District,Number Of Account,Total Outstanding,Demand Raised,Recovery Amt,Recovery %,Overdues
Dimapur,453,1808.2,733.95,175.61,24,558.34
Kiphire,309,730.15,6.07,1.56,26,4.51
Kohima,309,912.99,239.02,18.34,8,220.68
Longleng,216,388.03,6.55,1.36,21,5.19
Mokokchung,212,933.89,237.82,44.21,19,193.61
Mon,96,178.24,11.95,2,17,9.95
Peren,145,336.39,20.2,3.85,19,16.35
Phek,224,570.25,77.44,9.85,13,67.59
Tuensang,253,366.18,9.48,1.5,16,7.98
Wokha,102,441.26,303.2,0.08,0,303.12
Zunheboto,222,484.8,18.11,1.75,10,16.36
