District,Target Amt,Sanctioned No.,Sanctioned Amt,Disbursed No.,Disbursed Amt,O/S No.,O/S Amt,NPA No.,NPA Amt
Dimapur,346,8,97.17,8,40.67,915,9070.8,17,150.39
Kiphire,0,0,0,0,,2,15.81,0,0
Kohima,144,7,71.06,7,54.23,287,3490.65,7,61.18
Longleng,0,0,0,0,,1,19.08,0,0
Mokokchung,151,2,12.3,2,12.3,180,1498.91,2,6.09
Mon,0,0,0,0,0,27,123.32,3,10.53
Peren,0,0,0,0,,14,114.23,0,0
Phek,0,0,0,0,,8,38.69,1,1.06
Tuensang,0,0,0,0,0,11,41.18,2,3.86
Wokha,0,0,0,0,0,44,279.15,0,0
Zunheboto,0,0,0,0,0,27,62.1,7,14.36
