district,Number Of Account,Total Out- standing,Demand Raised,Recovery Amount,Recovery %,Overdues
Dimapur,10,7.78,2.86,0.67,23,2.19
Kiphire,1,1.47,1.47,1.32,90,0.15
Kohima,4,2.16,1.96,1.79,91,0.17
Longleng,0,0,0,0,,0
Mokokchung,12,8.21,1.92,0.46,24,1.46
Mon,0,0,0,0,,0
Peren,0,0,0,0,,0
Phek,1,0.06,0.05,0.05,100,0
Tuensang,0,0,0,0,,0
Wokha,0,0,0,0,,0
Zunheboto,2,1.53,0.54,0.54,100,0
