District,Number of Pending Cases At the Beginning Of the Quarter,Amount of Pending Cases At the Beginning Of the Quarter,Number of Cases add during The Quarter,Amount of Cases Add during the Quarter,Number of Cases Settled during The Quarter,Amount of Cases settled during the quarter,Number of Pending Cases at the close of the Quarter,Amount of Pending Cases at the clase of the Quarter
Dimapur,356,307.1,0,0,0,0,356,307.1
Kiphire,0,0,0,0,0,0,0,0
Kohima,401,300.75,0,0,0,0,401,300.75
Longleng,91,18.28,0,0,0,0,91,18.28
Mokokchung,449,101.52,0,0,0,0,449,101.52
Mon,134,24.11,0,0,0,0,134,24.11
Peren,951,692.77,0,0,0,0,951,692.77
Phek,1120,940.15,0,0,0,0,1120,940.15
Tuensang,263,92.06,0,0,0,0,263,92.06
Wokha,132,42.92,0,0,0,0,132,42.92
Zunheboto,489,224.79,0,0,0,0,489,224.79
