district,Current Year Number of Cards issued,Current Year Limit Sanctioned,O/S Position Number of Cards issued,O/S Position Limit Sanctioned
Dimapur,168,142.1,6163,4992
Kiphire,41,13.28,723,335.46
Kohima,32,6.7,2605,1910.38
Longleng,2,1.18,281,99.34
Mokokchung,408,345.41,9854,6834.13
Mon,20,6,467,256.05
Peren,87,59.12,3277,2076.46
Phek,301,177.2,2940,1763.84
Tuensang,431,291,4940,3020.15
Wokha,97,48.9,1372,893.94
Zunheboto,268,172.75,1038,468.46
