District,sc_st_loans,sc_st_amount,women_loans,women_amount
Agra,1518.0,7360.34,,
Aligarh,635.0,3252.27,,
Ambedkar Nagar,434.0,1426.71,,
Amethi,238.0,1169.64,,
Auraiya,98.0,412.04,,
Ayodhya,683.0,3263.86,,
Azamgarh,1694.0,5316.38,,
Bahraich,121.0,650.55,,
Ballia,350.0,1213.84,,
Balrampur,161.0,463.53,22.0,2.53
Banda,85.0,335.67,30.0,3.86
Barabanki,375.0,2182.86,96.0,12.28
Bareilly,1100.0,3535.61,255.0,29.42
Basti,574.0,2092.4,54.0,8.62
Bhadohi,486.0,1376.14,,
Bijnor,460.0,1676.31,160.0,14.29
Budaun,340.0,1007.9,109.0,6.59
Bulandshahr,472.0,1860.79,,
Chandauli,372.0,1187.9,48.0,7.26
Chitrakoot,51.0,189.45,6.0,0.42
Deoria,405.0,1782.54,79.0,10.92
Etah,48.0,374.1,48.0,4.71
Etawah,130.0,430.99,65.0,9.36
Farrukhabad,183.0,670.79,72.0,9.62
Fatehpur,379.0,1912.15,68.0,8.6
Firozabad,390.0,2258.43,,
Gautam Buddha Nagar,816.0,10457.84,300.0,55.37
Ghaziabad,1419.0,10218.79,,
Ghazipur,955.0,3310.9,,
Gonda,295.0,972.73,52.0,5.69
Gorakhpur,957.0,4694.77,260.0,39.91
Hamirpur,74.0,422.18,,
Hapur,94.0,23.3,86.0,18.16
Hardoi,405.0,2003.39,,
Hathras,151.0,658.38,80.0,10.32
Jalaun,95.0,516.39,47.0,5.98
Jaunpur,1176.0,3181.24,57.0,6.02
Jhansi,605.0,1819.97,,
Kannauj,163.0,619.49,22.0,2.89
Kanpur Dehat,167.0,603.59,35.0,4.46
Kanpur Nagar,1786.0,10804.93,523.0,76.06
Kasganj,38.0,6.83,34.0,4.22
Kaushambi,193.0,707.41,,
Kheri,206.0,923.36,,
Kushi Nagar,327.0,1029.2,47.0,7.29
Lalitpur,2744.0,6711.42,,
Lucknow,2812.0,15644.61,,
Maharajganj,213.0,766.23,,
Mahoba,55.0,189.1,28.0,4.91
Mainpuri,2204.0,8508.38,,
Mathura,589.0,2328.12,203.0,29.08
Mau,641.0,1746.91,68.0,10.74
Meerut,622.0,4125.58,431.0,74.45
Mirzapur,288.0,1057.34,89.0,16.07
Moradabad,1046.0,4426.4,198.0,26.88
Muzaffarnagar,608.0,2408.12,,
Pilibhit,67.0,12.52,58.0,7.51
Pratapgarh,301.0,1148.77,,
Prayagraj,1206.0,5215.35,291.0,41.72
Rae Bareli,9165.0,42766.19,,
Rampur,283.0,888.09,58.0,4.92
Saharanpur,447.0,1900.2,,
Sambhal,160.0,690.44,21.0,1.88
Sant Kabeer Nagar,152.0,639.94,,
Shahjahanpur,240.0,701.73,83.0,9.67
Shravasti,59.0,121.98,,
Siddharth Nagar,277.0,904.91,37.0,3.97
Sitapur,178.0,800.44,,
Sonbhadra,4201.0,21001.34,53.0,8.06
Sultanpur,255.0,1191.16,,
Unnao,339.0,1477.09,95.0,8.79
Varanasi,1490.0,6550.89,437.0,65.53
