District,target_no,target_amt,achievement_no,achievement_amt,achievement_pct_no,achievement_pct_amt
Agra,1770.0,938.0,143.0,92.98,8.08,9.91
Aligarh,2420.0,1280.62,76.0,18.19,3.14,1.42
Ambedkar Nagar,1560.0,826.79,314.0,74.68,20.13,9.03
Amethi,260.0,139.3,131.0,51.23,50.38,36.78
Auraiya,1800.0,950.36,116.0,18.73,6.44,1.97
Ayodhya,220.0,116.83,104.0,30.12,47.27,25.78
Azamgarh,2600.0,1377.23,31.0,26.7,1.19,1.94
Baghpat,1300.0,686.37,242.0,131.86,18.62,19.21
Bahraich,1560.0,823.42,24.0,9.41,1.54,1.14
Ballia,350.0,184.23,306.0,43.07,87.43,23.38
Balrampur,120.0,61.78,8.0,2.55,6.67,4.13
Banda,1290.0,685.25,14.0,4.91,1.09,0.72
Barabanki,1260.0,668.39,18.0,1.91,1.43,0.29
Bareilly,310.0,161.76,159.0,50.75,51.29,31.37
Basti,2180.0,1152.56,437.0,107.85,20.05,9.36
Bijnor,1860.0,982.93,111.0,22.11,5.97,2.25
Budaun,2310.0,1222.21,45.0,13.08,1.95,1.07
Bulandshahr,330.0,173.0,109.0,14.76,33.03,8.53
Chandauli,2090.0,1103.13,62.0,9.8,2.97,0.89
Chitrakoot,830.0,440.35,4.0,9.9,0.48,2.25
Deoria,2190.0,1159.3,404.0,74.36,18.45,6.41
Etah,160.0,83.13,6.0,1.12,3.75,1.35
Etawah,1490.0,789.72,141.0,27.82,9.46,3.52
Farrukhabad,140.0,73.02,12.0,29.03,8.57,39.76
Fatehpur,3000.0,1587.3,294.0,47.06,9.8,2.96
Firozabad,180.0,94.36,11.0,15.94,6.11,16.89
Gautam Buddha Nagar,90.0,47.18,52.0,8.08,57.78,17.13
Ghaziabad,90.0,47.18,116.0,20.88,100.0,44.26
Ghazipur,330.0,173.0,6.0,10.69,1.82,6.18
Gonda,330.0,173.0,31.0,16.61,9.39,9.6
Gorakhpur,3060.0,1618.75,497.0,148.35,16.24,9.16
Hamirpur,1980.0,1045.84,8.0,3.73,0.4,0.36
Hapur,80.0,42.69,4.0,1.65,5.0,3.87
Hardoi,2050.0,1086.28,84.0,29.01,4.1,2.67
Jalaun,2570.0,1357.01,17.0,4.83,0.66,0.36
Jaunpur,430.0,229.16,14.0,10.37,3.26,4.53
Jhansi,1470.0,775.11,124.0,81.75,8.44,10.55
Kannauj,1840.0,971.7,90.0,22.95,4.89,2.36
Kanpur Dehat,200.0,105.6,75.0,20.88,37.5,19.77
Kanpur Nagar,200.0,105.6,117.0,20.64,58.5,19.55
Kaushambi,160.0,84.25,102.0,43.92,63.75,52.13
Kushi Nagar,290.0,152.78,248.0,33.56,85.52,21.97
Lalitpur,1320.0,695.36,135.0,69.43,10.23,9.98
Lucknow,1330.0,705.47,177.0,112.89,13.31,16.0
Maharajganj,240.0,128.06,174.0,34.59,72.5,27.01
Mahoba,630.0,335.88,5.0,6.41,0.79,1.91
Mainpuri,1910.0,1011.02,80.0,21.75,4.19,2.15
Mathura,200.0,105.6,44.0,16.71,22.0,15.82
Mau,180.0,94.36,9.0,8.48,5.0,8.99
Meerut,240.0,128.06,70.0,17.16,29.17,13.4
Mirzapur,2120.0,1122.23,80.0,13.64,3.77,1.22
Moradabad,160.0,83.13,53.0,15.23,33.13,18.32
Muzaffarnagar,180.0,94.36,126.0,85.15,70.0,90.24
Pratapgarh,740.0,393.17,203.0,50.84,27.43,12.93
Prayagraj,2310.0,1222.21,542.0,216.16,23.46,17.69
Rae Bareli,370.0,195.46,787.0,155.61,100.0,79.61
Rampur,120.0,61.78,97.0,6.5,80.83,10.52
Saharanpur,220.0,116.83,108.0,30.97,49.09,26.51
Sambhal,160.0,83.13,1.0,0.01,0.63,0.01
Sant Kabeer Nagar,180.0,94.36,144.0,16.88,80.0,17.89
Shahjahanpur,310.0,161.76,44.0,6.46,14.19,3.99
Shamli,1620.0,857.12,154.0,48.03,9.51,5.6
Shravasti,210.0,112.34,5.0,1.47,2.38,1.31
Siddharth Nagar,1190.0,629.08,87.0,14.92,7.31,2.37
Sitapur,390.0,206.7,31.0,18.69,7.95,9.04
Sonbhadra,2790.0,1478.33,73.0,19.82,2.62,1.34
Sultanpur,3370.0,1782.76,475.0,167.94,14.09,9.42
Unnao,2740.0,1449.13,135.0,20.37,4.93,1.41
Varanasi,2150.0,1146.94,168.0,62.59,7.81,5.46
