District,shishu_no,shishu_amt,kishore_no,kishore_amt,tarun_no,tarun_amt,total_no,total_amt
Agra,17289.0,38.0,,,,,,
Ambedkar Nagar,10200.0,29.62,,,,,,
Amroha,4014.0,10.19,,,,,,
Bijnor,15386.0,45.18,43.47,1992.0,38.73,26.88,581.0,44.58
Budaun,3160.0,8.51,7.82,1173.0,23.37,17.86,258.0,17.51
Bulandshahr,11713.0,30.43,28.95,1544.0,31.04,22.65,438.0,34.85
Chitrakoot,4600.0,12.85,12.61,821.0,9.47,7.8,55.0,4.3
Etah,2131.0,3.16,2.91,827.0,15.77,13.94,171.0,11.94
Etawah,25319.0,2.81,2.12,795.0,19.18,16.49,264.0,17.35
Farrukhabad,1792.0,3.34,2.43,1616.0,33.93,23.77,300.0,17.85
Fatehpur,2812.0,7.34,7.1,795.0,16.93,15.73,196.0,13.03
Firozabad,5999.0,14.84,14.15,1521.0,30.08,23.39,327.0,23.54
Ghaziabad,11959.0,28.26,26.28,3768.0,83.5,70.97,1279.0,93.78
Ghazipur,11720.0,31.03,30.03,1889.0,35.14,26.75,307.0,23.83
Gonda,3215.0,7.36,6.68,1515.0,26.25,20.04,219.0,13.9
Gorakhpur,44501.0,134.45,132.06,6373.0,108.05,94.75,1286.0,98.9
Hapur,9238.0,22.49,21.68,982.0,20.44,15.32,196.0,13.54
Hardoi,4230.0,6.37,5.5,2471.0,44.33,36.73,371.0,25.12
Hathras,5413.0,13.56,13.08,797.0,15.24,13.18,186.0,13.35
Jalaun,1469.0,2.81,2.42,681.0,14.42,12.67,107.0,7.21
Jaunpur,23093.0,77.76,65.03,3508.0,53.55,46.0,405.0,28.41
Kannauj,2997.0,6.74,6.06,1562.0,29.07,18.71,241.0,13.38
Kanpur Dehat,2980.0,8.19,7.58,1324.0,22.32,18.42,167.0,10.3
Kanpur Nagar,7951.0,15.97,13.58,5122.0,121.58,104.83,1509.0,103.74
Kheri,5328.0,13.2,12.36,1311.0,26.2,20.3,226.0,17.77
Kushi Nagar,39708.0,92.43,91.79,2874.0,44.07,37.83,351.0,26.97
Lalitpur,994.0,2.17,1.31,858.0,14.5,10.5,144.0,9.29
Lucknow,21477.0,37.99,31.62,8606.0,184.31,151.29,2185.0,154.12
Mahoba,410.0,0.71,0.56,196.0,3.6,3.01,15.0,1.12
Mathura,12486.0,36.13,35.32,1732.0,35.39,31.77,492.0,37.07
Mau,7807.0,24.9,24.27,1890.0,27.56,24.05,213.0,15.08
Meerut,11775.0,21.72,19.47,2954.0,63.67,47.77,855.0,63.2
Mirzapur,14554.0,46.18,35.98,2025.0,24.36,21.9,254.0,14.6
Moradabad,3875.0,9.91,8.62,3784.0,82.45,58.3,858.0,62.62
Muzaffarnagar,17314.0,51.54,48.87,2251.0,39.84,29.97,399.0,30.74
Pratapgarh,3812.0,10.07,9.03,1674.0,36.32,25.62,308.0,23.35
Prayagraj,28384.0,86.01,82.47,3964.0,79.89,61.78,802.0,51.95
Rampur,3829.0,8.36,7.38,1445.0,25.04,17.81,232.0,15.9
Saharanpur,17845.0,53.17,50.98,2418.0,43.67,35.67,485.0,38.88
Sambhal,2638.0,6.84,5.92,1191.0,20.24,11.68,117.0,9.38
Sant Kabeer Nagar,2821.0,9.28,8.9,1197.0,23.18,19.49,250.0,20.58
Shahjahanpur,3435.0,9.17,8.81,884.0,18.95,16.48,275.0,20.48
Shamli,4625.0,13.15,12.69,540.0,10.2,7.28,108.0,8.46
Shravasti,321.0,0.73,0.59,269.0,5.13,3.93,30.0,2.15
Siddharth Nagar,8514.0,4.21,3.73,1015.0,21.89,18.07,233.0,19.25
Sitapur,5974.0,11.36,10.57,1453.0,26.2,19.91,184.0,13.69
Sonbhadra,16406.0,46.73,46.02,2872.0,32.36,26.21,242.0,16.92
Sultanpur,5902.0,16.01,15.35,1055.0,23.27,17.32,314.0,21.92
Unnao,4785.0,10.24,9.28,1827.0,34.3,27.65,333.0,20.58
