District,claims_paid_no,claims_rejected_no,claims_under_process_no,claims_pending_no,claims_total_no,claims_amount_crore
Azamgarh,273709.4,60442.0,22.08,,,
Bahraich,167955.11,92375.31,55.0,,,
Balrampur,89.0,3.0,0.0,0.0,92.0,178.0
Bareilly,618601.55,149134.0,24.11,20.0,1064.0,1914.0
Basti,137.0,7.0,0.0,0.0,144.0,274.0
Bhadohi,176.0,19.0,1.0,4.0,200.0,352.0
Bijnor,449.0,23.0,6.0,14.0,492.0,898.0
Budaun,287.0,15.0,0.0,6.0,308.0,574.0
Bulandshahr,443.0,37.0,2.0,24.0,506.0,886.0
Chandauli,160.0,7.0,0.0,3.0,170.0,320.0
Chitrakoot,41.0,7.0,0.0,0.0,48.0,82.0
Deoria,188.0,8.0,1.0,1.0,198.0,376.0
Etah,334079.6,47706.56,14.28,14.0,611.0,1138.0
Etawah,126.0,11.0,3.0,0.0,140.0,252.0
Farrukhabad,189720.0,40863.0,21.54,4.0,576.0,1068.0
Fatehpur,51.0,9.0,0.0,5.0,65.0,99.0
Firozabad,228.0,10.0,1.0,6.0,245.0,456.0
Gautam Buddha Nagar,86.0,19.0,0.0,6.0,111.0,172.0
Ghaziabad,941535.68,258292.28,27.43,20.0,795.0,1508.0
Ghazipur,45.0,3.0,1.0,1.0,50.0,87.0
Gonda,24.0,11.0,0.0,4.0,39.0,48.0
Gorakhpur,417164.4,229532.12,55.02,7.0,71.0,100.0
Hamirpur,18.0,3.0,3.0,9.0,33.0,36.0
Hapur,37.0,8.0,0.0,3.0,48.0,72.0
Hardoi,60.0,37.0,1.0,14.0,112.0,119.0
Hathras,214361.6,88692.0,41.37,2.0,59.0,46.0
Jalaun,56.0,25.0,1.0,2.0,84.0,111.0
Jaunpur,46.0,9.0,0.0,4.0,59.0,92.0
Jhansi,276853.51,131381.4,47.46,8.0,59.0,74.0
Kannauj,202781.78,87784.23,43.29,11.0,70.0,66.0
Kanpur Dehat,144442.46,61870.0,42.83,6.0,49.0,84.0
Kanpur Nagar,199.0,38.0,1.0,18.0,256.0,397.0
Kaushambi,56517.83,20724.0,36.67,1.0,28.0,46.0
Kheri,91.0,25.0,1.0,16.0,133.0,179.0
Kushi Nagar,11.0,6.0,0.0,2.0,19.0,22.0
Lalitpur,15.0,2.0,0.0,0.0,17.0,29.0
Lucknow,247.0,84.0,3.0,35.0,369.0,493.0
Mahoba,25.0,25.0,0.0,2.0,52.0,50.0
Mainpuri,175014.6,67001.0,38.28,5.0,100.0,167.0
Mathura,106.0,26.0,1.0,3.0,136.0,211.0
Mau,17.0,5.0,0.0,1.0,23.0,34.0
Meerut,163.0,32.0,0.0,13.0,208.0,323.0
Mirzapur,65.0,29.0,1.0,11.0,106.0,130.0
Moradabad,76.0,9.0,0.0,9.0,94.0,149.0
Muzaffarnagar,118.0,22.0,2.0,16.0,158.0,234.0
Pratapgarh,200811.8,93447.44,0.0,7.0,51.0,81.0
Prayagraj,350873.2,167170.66,47.64,11.0,107.0,144.0
Rae Bareli,82.0,10.0,2.0,8.0,102.0,162.0
Rampur,500699.46,198775.22,39.7,3.0,70.0,124.0
Saharanpur,93.0,22.0,1.0,9.0,125.0,184.0
Sambhal,9.0,2.0,1.0,0.0,12.0,18.0
Sant Kabeer Nagar,6.0,1.0,0.0,1.0,8.0,12.0
Shahjahanpur,79.0,9.0,0.0,3.0,91.0,158.0
Shamli,31.0,17.0,1.0,5.0,54.0,60.0
Shravasti,9.0,2.0,0.0,0.0,11.0,18.0
Siddharth Nagar,9.0,0.0,0.0,0.0,9.0,18.0
Sitapur,64.0,31.0,1.0,12.0,108.0,128.0
Sonbhadra,35.0,22.0,5.0,7.0,69.0,69.0
Sultanpur,35.0,2.0,1.0,0.0,38.0,70.0
Unnao,54.0,18.0,0.0,10.0,82.0,108.0
Varanasi,78.0,14.0,0.0,8.0,100.0,154.0
