District,claims_paid_no,claims_rejected_no,claims_under_process_no
Agra,193552.0,593685.0,787237.0
Aligarh,155661.0,446008.0,601669.0
Ambedkar Nagar,63376.0,247853.0,311229.0
Amethi,36328.0,158425.0,194753.0
Amroha,74247.0,184179.0,258426.0
Auraiya,27245.0,103160.0,130405.0
Ayodhya,116993.0,473163.0,590156.0
Azamgarh,70222.0,335236.0,405458.0
Baghpat,34303.0,115198.0,149501.0
Bahraich,126888.0,359685.0,486573.0
Ballia,94782.0,325838.0,420620.0
Balrampur,42618.0,206403.0,249021.0
Banda,76427.0,232998.0,309425.0
Barabanki,155183.0,438247.0,593430.0
Bareilly,153380.0,695959.0,849339.0
Basti,55926.0,288121.0,344047.0
Bhadohi,40942.0,180167.0,221109.0
Bijnor,102340.0,423426.0,525766.0
Budaun,66508.0,385506.0,452014.0
Bulandshahr,71066.0,273225.0,344291.0
Chandauli,43170.0,208585.0,251755.0
Chitrakoot,40092.0,147928.0,188020.0
Deoria,72444.0,257756.0,330200.0
Etah,76295.0,200213.0,276508.0
Etawah,39472.0,191882.0,231354.0
Farrukhabad,84519.0,289497.0,374016.0
Fatehpur,89575.0,370400.0,459975.0
Firozabad,71114.0,274062.0,345176.0
Gautam Buddha Nagar,141580.0,365007.0,506587.0
Ghaziabad,167767.0,422730.0,590497.0
Ghazipur,67020.0,276475.0,343495.0
Gonda,89268.0,360937.0,450205.0
Gorakhpur,130864.0,503736.0,634600.0
Hamirpur,44139.0,150532.0,194671.0
Hapur,23844.0,75297.0,99141.0
Hardoi,143173.0,468296.0,611469.0
Jalaun,51200.0,159756.0,210956.0
Jaunpur,78839.0,356902.0,435741.0
Jhansi,55790.0,266928.0,322718.0
Kannauj,61296.0,201783.0,263079.0
Kanpur Dehat,46933.0,199667.0,246600.0
Kanpur Nagar,176483.0,796949.0,973432.0
Kasganj,65992.0,193281.0,259273.0
Kaushambi,40462.0,272871.0,313333.0
Kheri,95919.0,342610.0,438529.0
Kushi Nagar,56169.0,232367.0,288536.0
Lalitpur,26793.0,121533.0,148326.0
Lucknow,275327.0,1049157.0,1324484.0
Mahoba,44001.0,112013.0,156014.0
Mainpuri,62297.0,204625.0,266922.0
Mathura,84218.0,288389.0,372607.0
Mau,44700.0,163382.0,208082.0
Meerut,123701.0,384523.0,508224.0
Mirzapur,85348.0,311019.0,396367.0
Moradabad,112474.0,371502.0,483976.0
Muzaffarnagar,75494.0,300870.0,376364.0
Pilibhit,60661.0,274809.0,335470.0
Pratapgarh,94567.0,352732.0,447299.0
Prayagraj,176333.0,1014520.0,1190853.0
Rae Bareli,114865.0,490354.0,605219.0
Rampur,77531.0,297454.0,374985.0
Saharanpur,79673.0,416676.0,496349.0
Sambhal,42435.0,131577.0,174012.0
Sant Kabeer Nagar,30934.0,164655.0,195589.0
Shahjahanpur,82187.0,459410.0,541597.0
Shamli,29459.0,78069.0,107528.0
Shravasti,39709.0,117756.0,157465.0
Siddharth Nagar,44476.0,233730.0,278206.0
Sitapur,148260.0,499464.0,647724.0
Sonbhadra,67150.0,223767.0,290917.0
Sultanpur,104127.0,376640.0,480767.0
Unnao,114906.0,387276.0,502182.0
Varanasi,130148.0,531030.0,661178.0
