District,rural_no,urban_no,male_no,female_no,total_pmjdy_no,active_no,balance_amt_crore,zero_balance_no,rupay_issued_no,rupay_active_no,active_pct,rupay_active_pct
Amethi,639152.0,65483.0,332463.0,372172.0,704635.0,626660.0,362.75,23362.0,612369.0,623102.0,99.43,97.72
Balrampur,440601.0,70838.0,230363.0,281076.0,511439.0,447455.0,213.45,30079.0,311272.0,427059.0,95.44,69.56
Banda,391576.0,91533.0,243618.0,239491.0,483109.0,353489.0,172.82,26750.0,161952.0,365318.0,103.35,45.82
Bareilly,1088123.0,624919.0,800539.0,912503.0,1713042.0,1618048.0,506.91,83158.0,1423865.0,1472893.0,91.03,88.0
Basti,730160.0,102869.0,372054.0,460975.0,833029.0,734891.0,244.55,87453.0,629347.0,564123.0,76.76,85.64
Budaun,875913.0,455601.0,591814.0,739700.0,1331514.0,1302474.0,285.89,51854.0,1173240.0,963854.0,74.0,90.08
Bulandshahr,812240.0,299062.0,471978.0,639324.0,1111302.0,1012512.0,352.0,77055.0,970829.0,791913.0,78.21,95.88
Deoria,740715.0,310328.0,398133.0,652910.0,1051043.0,963146.0,305.2,159108.0,722383.0,777980.0,80.77,75.0
Etah,325239.0,372958.0,330682.0,367515.0,698197.0,660075.0,204.85,76676.0,555514.0,518375.0,78.53,84.16
Etawah,303226.0,195595.0,223644.0,275177.0,498821.0,467844.0,171.83,55370.0,388000.0,380556.0,81.34,82.93
Farrukhabad,480343.0,289416.0,352313.0,417446.0,769759.0,680390.0,219.52,84888.0,611656.0,608868.0,89.49,89.9
Fatehpur,805881.0,199494.0,491154.0,514221.0,1005375.0,909369.0,499.09,31026.0,849845.0,844646.0,92.88,93.45
Firozabad,474742.0,564233.0,488970.0,550005.0,1038975.0,921104.0,228.32,98533.0,845752.0,783751.0,85.09,91.82
Ghaziabad,173601.0,651775.0,393940.0,431436.0,825376.0,759966.0,343.22,57167.0,691662.0,603442.0,79.4,91.01
Ghazipur,1134060.0,186433.0,578352.0,742141.0,1320493.0,1205622.0,461.39,234628.0,775625.0,1039272.0,86.2,64.33
Gonda,784666.0,229626.0,458540.0,555752.0,1014292.0,907825.0,964.02,44806.0,651030.0,844068.0,92.98,71.71
Gorakhpur,1034502.0,559195.0,602543.0,991154.0,1593697.0,1519402.0,450.47,167536.0,1154396.0,1120760.0,73.76,75.98
Hamirpur,268275.0,72850.0,166444.0,174681.0,341125.0,304386.0,135.66,10376.0,230398.0,271886.0,89.32,75.69
Hapur,168222.0,91581.0,112198.0,147605.0,259803.0,212337.0,83.32,22950.0,206015.0,194784.0,91.73,97.02
Hardoi,1271529.0,253007.0,695892.0,828644.0,1524536.0,1447357.0,502.06,125243.0,1187420.0,1196583.0,82.67,82.04
Jalaun,359245.0,131400.0,234593.0,256052.0,490645.0,444770.0,166.89,16761.0,270746.0,381397.0,85.75,60.87
Jaunpur,1740625.0,332027.0,861359.0,1211293.0,2072652.0,1917218.0,576.86,335767.0,1085810.0,1683958.0,87.83,56.63
Kannauj,563855.0,57837.0,287686.0,334006.0,621692.0,522656.0,207.42,66998.0,477330.0,506423.0,96.89,91.33
Kanpur Nagar,395594.0,796729.0,566740.0,625583.0,1192323.0,1100276.0,495.14,68921.0,1001460.0,970531.0,88.21,91.02
Kaushambi,548688.0,70190.0,297667.0,321211.0,618878.0,550935.0,218.45,29456.0,542495.0,522949.0,94.92,98.47
Kheri,1239243.0,173145.0,654788.0,757600.0,1412388.0,1298354.0,374.34,60831.0,709025.0,1208354.0,93.07,54.61
Kushi Nagar,1003761.0,146449.0,482522.0,667688.0,1150210.0,1088214.0,278.81,158947.0,694118.0,819951.0,75.35,63.79
Lalitpur,356440.0,137588.0,236469.0,257559.0,494028.0,465967.0,113.32,27379.0,419224.0,380089.0,81.57,89.97
Lucknow,447913.0,832103.0,602368.0,677648.0,1280016.0,1228710.0,613.79,111393.0,989377.0,1003527.0,81.67,80.52
Mahoba,203419.0,69506.0,131218.0,141707.0,272925.0,232205.0,130.98,6847.0,142004.0,209795.0,90.35,61.15
Mathura,415404.0,286389.0,344183.0,357610.0,701793.0,619228.0,217.56,46394.0,567118.0,549682.0,88.77,91.58
