District,Total Branch,Micro No.,Micro Amt,Small No.,Small Amt,Medium No.,Medium Amt,KVIC No.,KVIC Amt,Other MSME No.,Other MSME Amt,Tot MSME (PS) NPA No.,Tot MSME (PS) NPA Amt
Baksa,57,"4,310","3,157.36",17,30.45,0,0,595,754.42,28,9.58,"4,950","3,951.81"
Barpeta,124,"7,302","8,476.17",76,443.69,2,9.58,228,378.27,102,35.90,"7,710","9,343.61"
Bongaigaon,61,"1,578","1,699.22",62,626.62,2,155.2,214,275.85,40,13.01,"1,896","2,769.90"
Cachar,163,"5,001","7,486.40",79,"1,638.35",4,86.4,203,292.99,15,10.15,"5,302","9,514.29"
Charaideo,36,"1,470","1,568.99",14,265.08,0,0,74,138.28,2,0.45,"1,560","1,972.80"
Chirang,36,"2,220","2,098.85",27,61.12,0,0,755,843.58,6,4.21,"3,008","3,007.76"
Darrang,68,"3,996","4,757.08",67,802.37,2,8.02,316,481.98,126,80.71,"4,507","6,130.16"
Dhemaji,46,"2,601","2,627.73",35,703.82,1,5.48,127,204.44,81,27.91,"2,845","3,569.38"
Dhubri,88,"4,973","3,384.29",36,226.33,1,9.6,397,491.99,4,0.45,"5,411","4,112.66"
Dibrugarh,183,"7,562","9,723.41",294,"4,738.78",8,456.98,232,384.76,132,37.40,"8,228","15,341.33"
Dima Hasao,30,279,221.13,7,18.90,0,0,12,33.71,1,0.02,299,273.76
Goalpara,72,"3,912","3,643.44",29,932.10,0,0,292,398.14,41,36.28,"4,274","5,009.96"
Golaghat,122,"3,990","4,336.50",147,"1,114.06",4,9.68,108,177.54,225,57.48,"4,474","5,695.26"
Hailakandi,45,"1,874","1,872.39",34,411.95,0,0,211,333.88,22,14.16,"2,141","2,632.38"
Jorhat,134,"5,284","6,650.50",198,"4,199.76",6,668.95,108,153.55,223,47.02,"5,819","11,719.78"
Kamrup Metro,175,"8,518","8,753.46",159,374.52,22,302.25,498,876.20,93,37.14,"9,290","10,343.57"
Karbi Anglong,65,"1,747",987.17,3,27.50,0,0,97,26.07,8,2.43,"1,855","1,043.17"
Karimganj,89,"3,201","2,895.93",36,466.74,1,99.04,113,174.87,115,64.09,"3,466","3,700.67"
Kokrajhar,53,"2,915","2,951.21",12,29.85,0,0,747,894.78,3,0.87,"3,677","3,876.71"
Lakhimpur,93,"5,601","6,276.18",77,"1,239.44",2,68.8,114,184.34,278,154.43,"6,072","7,923.19"
Majuli,16,521,488.33,3,66.15,0,0,18,16.99,40,16.78,582,588.25
Morigaon,67,"2,956","3,502.18",19,138.79,1,35.2,255,387.84,56,11.25,"3,287","4,075.26"
Nagaon,210,"8,200","10,057.62",173,"1,531.12",1,32,348,520.03,119,136.21,"8,841","12,276.98"
Nalbari,87,"5,000","4,763.54",50,302.55,1,0.28,447,744.13,39,15.10,"5,537","5,825.60"
Sivasagar,105,"4,399","4,176.66",92,678.28,0,0,132,298.92,161,44.44,"4,784","5,198.30"
Sonitpur,185,"8,920","8,733.55",148,"1,308.34",10,219.58,403,787.98,137,45.45,"9,618","11,094.90"
South Salmara,12,852,"1,055.98",1,1.56,0,0,168,293.68,0,0.00,"1,021","1,351.22"
Tinsukia,149,"4,836","6,552.44",113,"1,125.36",1,112,259,384.73,71,62.17,"5,280","8,236.70"
Udalguri,49,"5,035","5,593.13",16,97.31,0,0,593,"1,029.83",48,22.74,"5,692","6,743.01"
West Karbi Anglong,22,591,144.42,1,0.11,0,0,0,0,0,0.00,592,144.53
