district,Total Branch,Number of operative CASA,Number of Aadhaar seeded CASA,Number of Authenticated CASA
Baksa,58,"10,00,768","3,12,300","1,45,045"
Barpeta,125,"26,31,264","8,30,156","6,60,658"
Bongaigaon,61,"9,37,623","2,47,335","1,49,702"
Cachar,165,"23,48,014","6,33,134","3,14,475"
Charaideo,37,"5,65,541","1,53,071","57,141"
Chirang,36,"7,45,782","2,09,053","1,21,999"
Darrang,68,"14,91,309","4,34,343","2,59,361"
Dhemaji,46,"12,23,317","2,92,450","2,11,371"
Dhubri,89,"23,49,975","6,83,786","3,91,177"
Dibrugarh,184,"19,05,046","4,11,915","2,81,975"
Dima Hasao,30,"2,28,741","62,718","40,785"
Goalpara,73,"13,93,853","3,81,011","2,03,508"
Golaghat,123,"16,29,792","4,70,398","2,09,853"
Hailakandi,46,"9,34,697","3,34,381","2,26,809"
Jorhat,134,"14,49,033","3,82,648","2,33,458"
Kamrup,177,"24,07,728","6,04,824","3,45,718"
Kamrup Metro,419,"28,57,109","6,89,717","6,38,367"
Karbi Anglong,67,"7,96,827","1,99,376","1,47,598"
Karimganj,90,"15,86,542","4,72,911","1,93,726"
Kokrajhar,54,"11,08,693","3,46,500","2,64,564"
Lakhimpur,94,"14,30,192","3,53,227","1,74,705"
Majuli,17,"2,85,905","1,09,709","52,966"
Morigaon,68,"15,83,088","5,56,878","3,25,132"
Nagaon,213,"43,33,118","16,01,644","7,78,398"
Nalbari,87,"12,41,889","3,97,985","2,43,484"
Sivasagar,105,"10,65,358","3,03,074","1,58,118"
Sonitpur,188,"25,25,070","6,95,279","4,60,962"
South Salmara,12,"3,27,135","1,08,870","80,734"
Tinsukia,149,"16,69,637","4,41,247","3,35,857"
Udalguri,50,"11,73,838","3,01,881","1,91,385"
West Karbi Anglong,22,"2,72,483","66,714","53,106"
