District,No. of camps conducted during the June'23 Quarter of FY(2023-24),No. of camps conducted during the Sept'23 Quarter of FY(2023-24),No. of camps conducted during the Dec'23 Quarter of FY(2023-24),No. of camps conducted during the Mar24 Quarter of FY(2023-24),Total No. of Camps during the FY(2023-24),No of rural branches in district
Baksa,32,NOT YET,,,32,57
Barpeta,115,,,,115,63
Biswanath,11,,,,11,34
Bongaigaon,0,,,,0,23
Cachar,0,,,,0,88
Charaideo,48,,,,48,23
Chirang,8,,,,8,23
Darrang,20,,,,20,39
Dhemaji,43,,,,43,23
Dhubri,98,,,,98,41
Dibrugarh,48,,,,48,91
Dima Hasao,24,,,,24,58
Goalpara,2,,,,2,13
Golaghat,33,,,,33,43
Hailakandi,10,,,,10,71
Hojai,48,,,,48,18
Jorhat,22,,,,22,20
Kamrup Metro,84,,,,84,54
Karbi Anglong,27,,,,27,39
Karimganj,12,,,,12,39
Kokrajhar,76,,,,76,54
Lakhimpur,26,,,,26,33
Majuli,94,,,,94,53
Morigaon,28,,,,28,15
Nagaon,34,,,,34,41
Nalbari,23,,,,23,91
Sivasagar,14,,,,14,56
Sonitpur,24,,,,24,59
South Salmara,18,,,,18,8
Tinsukia,19,,,,19,58
Udalguri,155,,,,155,30
West Karbi Anglong,8,,,,8,22
