District,Total Branch,Agri (PS) Target No.,Agri (PS) Target Amt,Agri (PS) Achieved No.,Agri (PS) Achieved Amt,Agri(PS) Achv% Amt,Crop Loan Target No.,Crop Loan Target Amt,Crop Loan Achieved No.,Crop Loan Achieved Amt,Crop Loan Achv% Amt,MSME (PS) Target No.,MSME (PS) Target Amt,MSME (PS) Achieved No.,MSME (PS) Achieved Amt,MSME (PS) Achv% Amt,Other PS Target No.,Other PS Target Amt,Other PS Achieved No.,Other PS Achieved Amt,Other PS Achv% Amt,Total (PS) Target No.,Total (PS) Target Amt,Total (PS) Achieved No.,Total (PS) Achieved Amt,Total(PS) Achv% Amt
Baksa,57,"99,306","42,936.60","2,966","3,285.60",7.65,"35,153","26,998.00","2,011","1,863.09",6.90,"5,520","5,264.00",391,"4,804.56",91.27,"12,189","14,999.00",456,422.07,2.81,"1,17,015","63,199.60","3,813","8,512.23",13.47
Barpeta,124,"84,350","1,19,503.37","10,188","11,912.56",9.97,"66,594","77,545.01","4,700","5,826.80",7.51,"9,320","36,746.62","1,850","23,473.53",63.88,"5,136","25,708.93","2,745","1,636.92",6.37,"98,806","1,81,958.92","14,783","37,023.01",20.35
Bongaigaon,61,"45,626","69,384.56","4,116","6,316.83",9.10,"30,800","46,475.58","1,945","3,433.34",7.39,"8,141","35,558.90",935,"15,618.12",43.92,"4,085","16,529.16","1,227",896.76,5.43,"57,852","1,21,472.62","6,278","22,831.71",18.80
Cachar,163,"51,906","44,795.04","4,797","7,944.06",17.73,"27,556","26,529.00","1,527","1,765.75",6.66,"14,764","71,519.94","2,664","38,626.28",54.01,"4,535","16,451.51","5,333","2,577.28",15.67,"71,205","1,32,766.49","12,794","49,147.62",37.02
Charaideo,36,"28,965","44,327.76","2,809","2,715.87",6.13,"19,084","20,271.75","2,076","1,703.67",8.40,"1,769","8,952.00",413,"3,402.96",38.01,"1,486","5,643.92",403,259.56,4.60,"32,220","58,923.68","3,625","6,378.39",10.82
Chirang,36,"34,976","39,204.62","2,506","2,976.49",7.59,"22,902","27,892.04","1,518","1,696.97",6.08,"1,369","4,936.00",406,"3,401.03",68.90,"1,840","3,802.52",787,558.70,14.69,"38,185","47,943.14","3,699","6,936.22",14.47
Darrang,68,"51,710","43,926.95","7,269","6,602.05",15.03,"32,416","21,732.58","3,015","3,211.64",14.78,"11,010","28,790.17",984,"13,773.88",47.84,"2,749","8,482.52","1,209",821.71,9.69,"65,469","81,199.64","9,462","21,197.64",26.11
Dhemaji,46,"37,924","46,975.18","4,804","5,238.35",11.15,"29,375","33,357.10","2,940","3,311.71",9.93,"2,860","20,524.00",788,"5,576.15",27.17,"1,680","6,551.10",620,500.38,7.64,"42,464","74,050.28","6,212","11,314.88",15.28
Dhubri,88,"72,811","74,341.11","4,232","6,078.30",8.18,"20,620","15,816.53","2,517","3,517.95",22.24,"5,302","21,951.07",952,"14,619.83",66.60,"5,450","12,590.97","2,372","2,321.14",18.43,"83,563","1,08,883.15","7,556","23,019.27",21.14
Dibrugarh,183,"38,806","69,030.83","10,791","16,091.81",23.31,"23,302","33,557.76","5,863","5,482.57",16.34,"9,860","53,476.67","3,004","48,270.75",90.27,"3,070","20,369.55","1,968","1,375.81",6.75,"51,736","1,42,877.05","15,763","65,738.37",46.01
