District,Total Branch,Export Credit A/C,Export Credit Amt,Education (PS) A/C,Education (PS) Amt,Housing (PS) A/C,Housing (PS) Amt,Social Infrastructure A/C,Social Infrastructure Amt,Renewable Energy A/C,Renewable Energy Amt,Informal Credit A/C,Informal Credit Amt,Total Other PS Disb No.,Total Other PS Disb Amt,Loans to weaker No.,Loans to weaker Amt
Baksa,57,0,0.00,10,9.00,6,30.66,0,0,0,0,440,382.41,456,422.07,"3,327","3,504.65"
Barpeta,124,0,0.00,29,37.22,83,209.61,0,0,0,0,"2,633","1,390.09","2,745","1,636.92","13,143","12,907.16"
Bongaigaon,61,0,0.00,18,20.02,79,266.84,0,0,0,0,"1,130",609.90,"1,227",896.76,"5,508","6,913.13"
Cachar,163,0,0.00,12,12.43,175,437.87,1,1.35,0,0,"5,145","2,125.63","5,333","2,577.28","10,221","6,980.05"
Charaideo,36,0,0.00,5,7.36,18,91.67,0,0,0,0,380,160.53,403,259.56,"3,016","2,589.31"
Chirang,36,0,0.00,2,9.99,2,15.00,0,0,0,0,783,533.71,787,558.70,"3,126","3,378.47"
Darrang,68,0,0.00,31,71.42,17,128.49,0,0,0,0,"1,161",621.80,"1,209",821.71,"8,466","6,997.82"
Dhemaji,46,0,0.00,17,15.36,10,33.56,0,0,0,0,593,451.46,620,500.38,"5,465","5,775.71"
Dhubri,88,0,0.00,18,20.20,34,85.68,0,0,0,0,"2,320","2,215.26","2,372","2,321.14","6,585","7,397.72"
Dibrugarh,183,0,0.00,29,37.44,94,504.03,0,0,0,0,"1,845",834.34,"1,968","1,375.81","12,471","10,864.32"
Dima Hasao,30,0,0.00,2,1.50,1,1.50,0,0,0,0,0,0,3,3.00,487,832.81
Goalpara,72,0,0.00,9,15.50,2,11.00,0,0,1,0.01,1813,767.97,"1,825",794.48,"5,376","5,189.68"
Golaghat,122,0,0.00,24,30.28,19,171.73,0,0,0,0,"2,472","1,018.91","2,515","1,220.92","10,656","7,653.09"
Hailakandi,45,0,0.00,1,0.73,4,46.18,0,0,0,0,773,388.08,778,434.99,"2,136","1,858.36"
Jorhat,134,0,0.00,62,100.20,71,501.07,0,0,0,0,"1,889",943.65,"2,022","1,544.92","8,662","6,233.81"
Kamrup Metro,175,0,0.00,89,97.73,434,657.25,0,0,0,0,"3,217","1,645.40","3,740","2,400.38","14,913","11,864.26"
Karbi Anglong,65,0,0.00,6,8.39,4,29.07,2,1030,0,0,300,189.79,312,"1,257.25","2,847","2,706.88"
Karimganj,89,0,0.00,7,16.26,45,81.08,0,0.00,0,0,"2,461","1,160.20","2,513","1,257.54","3,829","4,012.47"
Kokrajhar,53,0,0.00,13,19.61,8,74.89,1,10,0,0,"1,956","1,028.36","1,978","1,132.86","6,178","6,212.91"
Lakhimpur,93,0,0.00,48,119.09,63,330.21,0,0,0,0,"1,733",655.79,"1,844","1,105.09","9,771","8,207.90"
Majuli,16,0,0.00,2,0.88,5,40.05,0,0,0,0,17,69.00,24,109.93,972,"1,519.71"
Morigaon,67,0,0.00,13,10.00,24,152.59,0,0,0,0,904,414.90,941,577.49,"6,160","4,560.63"
Nagaon,210,0,0.00,44,49.88,47,196.28,0,0,0,0,"3,333","1,809.23","3,424","2,055.39","17,915","14,162.25"
Nalbari,87,0,0.00,42,39.23,21,164.89,0,0,0,0,977,580.99,"1,040",785.11,"7,596","7,308.79"
Sivasagar,105,0,0.00,34,45.23,48,344.93,0,0,0,0,"1,402",690.71,"1,484","1,080.87","8,341","5,956.64"
Sonitpur,185,0,0.00,60,104.23,128,511.14,0,0,0,0,"3,524","2,108.86","3,712","2,724.23","14,027","11,725.08"
South Salmara,12,0,0.00,0,0,0,0,0,0,0,0,17,52.50,17,52.50,297,630.92
Tinsukia,149,0,0.00,46,120.61,58,405.75,0,0,0,0,"1,666",802.61,"1,770","1,328.97","9,023","7,815.83"
Udalguri,49,0,0.00,46,45.72,3,30.87,0,0,0,0,780,485.13,829,561.72,"3,646","3,416.10"
West Karbi Anglong,22,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,553,791.01
