District,Total Branch,Housing Loan (PS) O/S No.,Housing Loan (PS) O/S Amt,Housing Loan (NPS) O/S No.,Housing Loan (NPS) O/S Amt,Rural Housing Loan O/S No.,Rural Housing Loan O/S Amt,Housing Loan Eligible under PMAY O/S No.,Housing Loan Eligible under PMAY O/S Amt,Current Year Disbursed under PMAY No.,Current Year Disbursed under PMAY Amt,PMAY O/S No.,PMAY O/S Amt
Baksa,57,954,"8,665.92",574,"3,204.49",940,"9,562.88",5,50.01,0,0,5,51.62
Barpeta,124,"3,421","29,711.49","2,713","20,239.12",713,"6,753.46",15,187.99,0,0,24,244.57
Bongaigaon,61,"1,873","15,919.36","2,201","19,924.31",311,"3,509.48",48,452.42,0,0,51,490.94
Cachar,163,"3,527","25,339.90","2,702","20,733.27",418,"4,371.57",100,982.04,1,1,99,"1,039.18"
Charaideo,36,412,"3,269.84",344,"2,415.35",136,"1,446.44",1,10.13,0,0,1,10.16
Chirang,36,601,"5,695.55",599,"3,466.11",579,"6,922.40",0,0,0,0,0,0
Darrang,68,"1,527","13,236.80","1,696","12,441.17",390,"4,878.77",10,102.92,0,0,10,103.13
Dhemaji,46,"1,630","14,435.88","1,682","6,727.30",627,"7,309.66",11,99.91,0,0,21,185.86
Dhubri,88,"1,945","16,602.45","1,704","8,356.66",547,"5,739.20",41,237.47,0,0,44,270.71
Dibrugarh,183,"4,467","39,257.65","4,947","49,250.26","1,696","17,415.74",73,802.98,0,0,76,843.82
Dima Hasao,30,443,"3,266.77",168,"1,109.80",116,667.08,0,0,0,0,1,5.98
Goalpara,72,"1,098","10,094.17",927,"4,182.90",280,"2,715.48",5,43.83,0,0,8,55.76
Golaghat,122,"2,265","18,364.38","2,561","16,655.70",613,"7,369.32",19,170.16,0,0,18,170.41
Hailakandi,45,946,"6,599.12",660,"2,798.66",28,136.49,17,142.24,0,0,19,169.78
Jorhat,134,"4,298","37,669.25","6,445","50,875.52",871,"9,577.44",38,477.06,0,0,55,800.36
Kamrup Metro,175,"4,704","32,481.18","3,603","37,947.42","2,516","27,848.77",48,514.44,0,0,80,991.82
Karbi Anglong,65,"2,163","21,704.59",814,"5,391.81","1,177","11,818.76",1,10.13,0,0,4,25.95
Karimganj,89,"1,165","6,508.24",550,"5,032.30",215,"1,769.36",22,217.60,0,0,22,218.15
Kokrajhar,53,"1,043","10,199.10","1,148","11,763.68",400,"5,233.63",3,34.59,0,0,3,34.62
Lakhimpur,93,"3,337","26,494.87","2,185","16,493.24",748,"8,406.23",51,527.58,0,0,49,530.85
Majuli,16,302,"2,090.54",143,515.82,138,"1,635.17",9,97.06,0,0,10,100.59
Morigaon,67,"1,628","11,337.76",615,"5,039.01",724,"4,060.99",46,465.68,0,0,47,523.86
Nagaon,210,"5,042","40,766.54","3,920","25,967.72","1,004","10,309.55",84,774.05,0,0,88,850.17
Nalbari,87,"2,563","21,718.39","2,755","19,264.78",733,"7,129.15",7,44.50,0,0,10,61.78
Sivasagar,105,"2,638","21,711.63","2,772","21,889.81",604,"6,277.33",19,293.70,0,0,29,478.10
Sonitpur,185,"4,935","38,539.17","5,103","46,289.83","1,632","17,421.83",54,480.81,1,1,78,738.74
South Salmara,12,277,"2,814.89",271,310.76,131,"1,269.20",0,0,0,0,0,0
Tinsukia,149,"2,941","24,236.10","2,920","30,021.24",581,"5,746.52",46,396.88,0,0,49,463.51
Udalguri,49,"1,662","15,906.42","1,807","2,978.58",415,"4,596.29",3,21.4,0,0,3,21.4
West Karbi Anglong,22,566,"5,935.79",86,204.14,575,"6,082.24",0,0,0,0,0,0
