District,Total Branch,Agriculture (NPS) No.,Agriculture (NPS) Amt,MSME (NPS) No.,MSME (NPS) Amt,Exp Credit (NPS) A/C,Exp Credit (NPS) Amt,Education (NPS) A/C,Education (NPS) Amt,Housing (NPS) A/C,Housing (NPS) Amt,Personal Loans under NPS A/C,Personal Loans under NPS Amt,Others NPS A/C,Others NPS Amt,Total ACP (NPS) Disb No.,Total ACP (NPS) Disb Amt
Baksa,57,0,0,0,0,0,0,0,0,16,123.54,71,342.58,863,"1,551.54",950,"2,017.66"
Barpeta,124,3,1.71,0,0,0,0,8,25.01,154,"1,206.54",380,"1,519.99","4,052","11,818.88","4,597","14,572.13"
Bongaigaon,61,1,1.35,0,0,0,0,1,3.9,91,389.38,372,"1,760.54","3,745","10,207.31","4,210","12,362.48"
Cachar,163,4,1.94,4,97.89,0,0,2,14.11,178,909.30,848,"2,739.85","9,611","19,466.14","10,647","23,229.23"
Charaideo,36,1,3.00,0,0,0,0,0,0,31,40.49,44,141.78,517,"1,297.65",593,"1,482.92"
Chirang,36,4,5.98,0,0,0,0,0,0,25,49.48,16,46.39,363,883.01,408,984.86
Darrang,68,14,8.27,0,0,0,0,4,26.39,88,439.49,277,"1,050.35","2,312","6,144.59","2,695","7,669.09"
Dhemaji,46,11,10.44,0,0,0,0,0,0,67,248.07,244,"1,319.20","2,222","4,267.85","2,544","5,845.56"
Dhubri,88,19,22.32,0,0,0,0,1,0.7,43,190.22,206,741.13,"2,639","5,183.70","2,908","6,138.07"
Dibrugarh,183,34,401.20,7,186.15,0,0,5,22.22,256,"2,854.10","1,540","9,010.10","9,782","43,575.27","11,624","56,049.04"
Dima Hasao,30,0,0,0,0,0,0,0,0,41,74.59,137,790.86,233,941.11,411,"1,806.56"
Goalpara,72,6,5.76,0,0,0,0,2,2.92,36,151.97,154,665.60,"2,450","6,852.66","2,648","7,678.91"
Golaghat,122,12,15.29,0,0,0,0,1,29.6,106,528.99,604,"2,158.57","3,502","37,400.38","4,225","40,132.83"
Hailakandi,45,2,0.89,0,0,0,0,1,1.52,26,259.67,100,397.42,"1,645","4,022.45","1,774","4,681.95"
Jorhat,134,6,2.93,5,21.45,0,0,2,7.69,242,"1,378.00",888,"4,802.82","6,930","12,996.72","8,073","19,209.61"
Kamrup Metro,175,13,9.72,0,0,0,0,3,21.65,180,"2,192.79","1,511","6,835.30","17,398","65,960.14","19,105","75,019.60"
Karbi Anglong,65,6,2.70,0,0,0,0,1,2.67,35,70.97,316,"1,811.77","1,515","4,247.07","1,873","6,135.18"
Karimganj,89,1,0.34,0,0.00,0,0,4,10.70,21,151.12,301,"1,298.95","2,115","4,513.18","2,442","5,974.29"
Kokrajhar,53,5,3.9,0,0,0,0,2,13.03,47,282.31,190,985.73,"2,649","6,180.65","2,893","7,465.62"
Lakhimpur,93,11,5.87,4,126.35,0,0,3,6.14,157,817.76,579,"2,804.21","3,789","8,663.63","4,543","12,423.96"
Majuli,16,0,0,0,0,0,0,0,0,17,159.65,100,637.73,137,506.98,254,"1,304.36"
Morigaon,67,13,5.87,0,0,0,0,1,9.11,41,218.62,304,"1,445.47","2,014","5,181.44","2,373","6,860.51"
Nagaon,210,62,53.71,0,0,0,0,11,193.93,146,"1,046.55",912,"4,245.33","7,441","18,207.84","8,572","23,747.36"
Nalbari,87,6,1.02,6,131.15,0,0,1,2.5,96,826.58,413,"1,884.82","2,982","9,717.58","3,504","12,563.65"
Sivasagar,105,9,5.7,0,0,0,0,2,20.99,126,658.38,610,"2,475.55","5,979","9,594.19","6,726","12,754.81"
Sonitpur,185,19,11.49,0,0,0,0,5,52.07,290,"1,424.58",885,"4,113.74","7,738","17,625.70","8,937","23,227.58"
South Salmara,12,0,0,0,0,0,0,0,0,0,0,0,0,148,401.88,148,401.88
Tinsukia,149,19,224.29,8,546,0,0,6,21.35,186,"1,647.59",886,"3,887.92","5,469","21,528.39","6,574","27,855.54"
Udalguri,49,8,7.97,0,0,0,0,5,4.33,237,26.58,24,101.35,485,"1,516.97",759,"1,657.20"
West Karbi Anglong,22,3,1.01,0,0,0,0,1,0.28,3,0.08,42,231.89,55,103.58,104,336.84
