District,Total Branch,Agri NPS No.,Agri NPS Amt,Education NPS No.,Education NPS Amt,Housing NPS No.,Housing NPS Amt,Personal Loan No.,Personal Loan Amt,Other NPS No.,Other NPS Amt,Tot NPS O/S No.,Tot NPS O/S Amt,Tot Non Prio Sec NPA No.,Tot Non Prio Sec NPA Amt,NPS NPA Pct
Baksa,57,17,46.60,4,53.04,571,3220.01,2533,4866.54,10653,36249.39,13778,44435.58,1184,1125.05,2.53
Barpeta,124,87,57.60,60,503.81,2643,18341.30,10271,20282.50,63056,165104.76,76117,204289.97,5998,4840.35,2.37
Bongaigaon,61,26,45.48,11,203.60,2228,20510.57,7194,15744.04,35223,107426.01,44682,143929.70,3277,2239.76,1.56
Cachar,163,38,318.39,27,351.55,2908,24674.49,12446,24118.95,103734,209107.88,119153,258571.26,14767,11668.71,4.51
Charaideo,36,2,3.37,2,39.93,344,2429.43,1450,2614.23,8373,26811.88,10171,31898.84,774,980.55,3.07
Chirang,36,305,1020.89,3,69.63,599,3466.12,1964,3208.66,10881,33442.75,13752,41208.05,1438,997.79,2.42
Darrang,68,76,106.47,10,101.04,1741,12862.61,5685,10316.78,32508,73375.18,40020,96762.08,3600,2763.82,2.86
Dhemaji,46,42,39.43,3,47.33,1682,6726.41,4893,11748.77,21109,69119.06,27729,87681.00,907,1273.42,1.45
Dhubri,88,291,852.67,6,64.62,1705,8371.22,5883,8852.33,45680,99900.22,53565,118041.06,8149,6211.91,5.26
Dibrugarh,183,51,50.96,59,866.91,5011,50616.84,19602,49368.86,86902,269549.75,111625,370453.32,6716,3721.82,1.00
Dima Hasao,30,2,4.01,1,18.25,178,1558.64,2957,9560.96,7478,27548.61,10616,38690.47,374,390.70,1.01
Goalpara,72,70,54.92,6,63.57,926,4160.38,4213,7425.70,27207,72631.82,32422,84336.39,2793,2119.05,2.51
Golaghat,122,42,368.10,18,257.88,2580,17275.26,7934,17428.89,47670,146005.61,58244,181335.74,2844,1678.31,0.93
Hailakandi,45,370,1026.22,6,18.74,670,3011.26,2517,5249.60,17836,39532.72,21399,48838.54,3106,2120.12,4.34
Jorhat,134,23,272.47,51,1222.08,6532,51938.89,13372,30036.95,70993,196549.22,90971,280019.61,5059,5253.45,1.88
Kamrup Metro,175,35,254.57,22,387.27,3659,39461.58,18857,49237.85,95082,233740.45,117655,323081.72,10682,8883.19,2.75
Karbi Anglong,65,33,20.08,2,18.35,814,5398.43,6353,21422.85,20486,73663.17,27688,100522.88,840,966.45,0.96
Karimganj,89,2,2.00,12,97.47,550,5031.75,4399,9713.88,34905,57323.54,39868,72168.64,7528,6226.57,8.63
Kokrajhar,53,771,2666.38,11,140.18,1168,11991.03,4700,10311.36,28857,86144.49,35507,111253.44,2448,2129.99,1.91
Lakhimpur,93,32,20.60,17,175.58,2221,16699.08,8506,21670.59,41970,115876.56,52746,154442.41,2936,2312.07,1.50
Majuli,16,4,25.89,1,25.46,143,524.32,1673,5749.55,2302,9693.36,4123,16018.58,214,204.26,1.28
Morigaon,67,89,89.87,11,192.13,628,5152.64,4732,14152.11,19903,53314.93,25363,72901.68,2779,2594.51,3.56
Nagaon,210,473,346.35,36,395.36,3969,26626.67,14399,32032.62,105284,257635.47,124161,317036.47,11742,8612.60,2.72
Nalbari,87,15,27.87,12,153.93,2770,19548.46,7622,19605.17,36536,92248.30,46955,131583.73,4005,3841.07,2.92
Sivasagar,105,33,30.68,15,298.77,2835,22873.35,9733,23757.27,61078,163604.95,73694,210565.02,3812,2283.33,1.08
Sonitpur,185,36,158.03,31,827.96,5187,47874.93,15354,31032.54,82045,211054.09,102653,290947.55,6751,4779.21,1.64
South Salmara,12,1,1.06,0,0.00,271,310.75,659,700.56,2156,8847.46,3087,9859.83,254,300.52,3.05
Tinsukia,149,49,676.19,47,436.42,2957,31433.66,11400,25762.79,55041,160955.11,69494,219264.17,4692,3220.07,1.47
Udalguri,49,64,153.14,18,69.48,1807,2978.58,2473,3155.91,14274,52540.13,18636,58897.24,1462,1092.90,1.86
West Karbi Anglong,22,4,4.33,4,16.41,86,204.14,1185,4002.38,3083,11848.14,4362,16075.40,178,188.79,1.17
