district,Total Branch,Crop No,Crop Amt,Term Loan No,Term Loan Amt,Agri Infra No,Agri Infra Amt,Ancillary No,Ancillary Amt,Tot Agri (PS) NPA No.,Tot Agri (PS) NPA Amt.
Baksa,57,"6,439","3,404.55","4,589","2,648.33",1,1.68,534,228.79,"11,563","6,283.35"
Barpeta,124,"20,311","12,406.53","16,939","6,572.01",5,2.96,"1,022",666.60,"38,277","19,648.10"
Bongaigaon,61,"2,842","1,617.58","2,231",749.93,0,0,333,311.06,"5,406","2,678.57"
Cachar,163,"18,244","13,860.30","5,470","3,292.42",2,51.94,"1,636","1,882.07","25,352","19,086.73"
Charaideo,36,"2,557","2,135.52","1,345",801.21,11,0.85,346,232.90,"4,259","3,170.48"
Chirang,36,"7,289","3,856.07","2,268","1,509.73",0,0,191,181.60,"9,748","5,547.40"
Darrang,68,"12,821","7,847.00","9,575","4,982.22",3,4.87,501,446.01,"22,900","13,280.10"
Dhemaji,46,"8,458","5,155.70","2,767","1,694.51",2,0.24,494,393.32,"11,721","7,243.77"
Dhubri,88,"13,964","7,291.30","5,548","2,796.64",8,0.99,763,610.45,"20,283","10,699.38"
Dibrugarh,183,"28,721","18,332.23","8,476","4,067.05",3,7.55,"1,664","1,957.71","38,864","24,364.54"
Dima Hasao,30,474,177.53,270,157.39,0,0,28,22.31,772,357.23
Goalpara,72,"8,742","4,337.87","4,445","3,491.55",7,1.75,"1,129",731.04,"14,323","8,562.21"
Golaghat,122,"22,092","11,355.22","8,476","3,433.88",0,0,"1,289","1,088.69","31,857","15,877.79"
Hailakandi,45,"6,647","3,853.92","1,693","1,088.27",0,0,288,215.28,"8,628","5,157.47"
Jorhat,134,"19,229","9,761.82","8,177","3,390.51",5,45.12,"1,060",705.84,"28,471","13,903.29"
Kamrup,175,"27,564","16,451.88","12,410","5,166.63",8,19.25,"2,380","1,489.41","42,362","23,127.17"
Kamrup Metro,419,"5,958","4,175.55","7,661","7,809.16",4,407.26,687,"2,843.81","14,310","15,235.78"
Karbi Anglong,65,"7,863","3,610.18","1,801",955.54,0,0,216,177.73,"9,880","4,743.45"
Karimganj,89,"7,976","6,966.51","4,975","2,546.13",1,0.23,966,"1,200.53","13,918","10,713.40"
Kokrajhar,53,"9,583","5,208.72","1,822","1,317.56",5,0.12,113,111.41,"11,523","6,637.81"
Lakhimpur,93,"18,138","12,654.11","9,499","3,593.87",0,0,"1,208",918.15,"28,845","17,166.13"
Majuli,16,"1,672",906.25,949,775.78,0,0,49,60.93,"2,670","1,742.96"
Morigaon,67,"10,819","8,560.32","6,387","3,576.03",10,8.8,875,726.17,"18,091","12,871.32"
Nagaon,210,"44,773","25,454.49","25,628","9,495.70",54,48.13,"3,117","2,550.15","73,572","37,548.47"
Nalbari,87,"12,852","6,425.61","14,700","4,480.78",8,8.21,587,480.35,"28,147","11,394.95"
Sivasagar,105,"9,379","5,168.33","6,267","2,897.50",3,2.43,"1,423",793.54,"17,072","8,861.80"
Sonitpur,185,"16,136","10,631.71","13,606","6,751.00",40,16.14,"1,736","1,148.19","31,518","18,547.04"
South Salmara,12,"1,654",512.88,304,357.60,0,0,1,0.97,"1,959",871.45
Tinsukia,149,"16,734","12,757.50","5,585","2,752.02",1,0.54,836,876.21,"23,156","16,386.27"
Udalguri,49,"19,415","11,819.87","8,402","4,507.14",0,0,441,165.98,"28,258","16,492.99"
West Karbi Anglong,22,"1,881",852.34,910,286.22,1,0,79,30.98,"2,871","1,169.54"
