District,Total Branch,Small and Marginal Farmers No.,Small and Marginal Farmers Amt,Scheduled Castes No.,Scheduled Castes Amt,Scheduled Tribes No.,Scheduled Tribes Amt,DRI scheme No.,DRI scheme Amt,Self Help Groups No.,Self Help Groups Amt,women beneficiaries No.,women beneficiaries Amt,Minority communities No.,Minority communities Amt,PMJDY No.,PMJDY Amt,Others No.,Others Amt,Total Weaker Sec O/S No.,Total Weaker Sec O/S Amt
Baksa,57,20445,14713.70,2571,2388.68,9364,10107.81,12,1.02,7189,10252.71,3850,1383.32,2266,3172.96,182,4.73,6186,2166.74,52065,44191.67
Barpeta,124,62690,46507.21,4795,4344.72,3182,3092.62,123,9.40,24522,15162.90,21121,6988.13,39307,47632.48,1041,20.76,11797,6399.06,168578,130157.28
Bongaigaon,61,19193,17952.08,3052,3227.51,2527,4674.37,30,5.36,7591,5655.66,8325,3633.25,8145,11532.98,921,16.41,7364,5953.82,57148,52651.44
Cachar,163,64632,35210.44,18131,12923.42,5921,5219.91,23,1.08,9693,7231.70,24007,10194.89,34056,41197.53,1977,78.68,13003,13329.54,171443,125387.19
Charaideo,36,14300,9262.06,1240,1095.80,962,819.32,6,0.39,3150,4651.29,4210,1655.81,733,1413.75,140,9.10,2070,1736.12,26811,20643.64
Chirang,36,18837,14088.01,1193,1134.04,9761,10246.18,1,0.11,4030,6326.37,3760,1609.43,5215,4491.37,23,4.31,2531,1919.39,45351,39819.21
Darrang,68,40902,29725.02,2298,1974.00,1500,1561.00,14,0.94,12636,10564.75,10650,3625.61,19520,25451.66,826,11.04,7364,3688.57,95710,76602.59
Dhemaji,46,29695,23383.18,4094,3468.09,13288,15623.86,4,0.20,12449,11624.52,6512,2979.15,201,368.58,174,16.37,9480,5647.50,75897,63111.45
Dhubri,88,37765,23726.34,4969,3383.03,2357,1689.50,20,1.49,8917,9047.58,9374,3775.97,24814,27653.07,705,25.31,7814,6204.32,96735,75506.61
Dibrugarh,183,67351,46832.95,9685,8844.39,10696,12288.78,169,17.17,16707,12041.28,23786,10717.01,3806,11942.34,691,39.83,16975,11692.25,149866,114416.00
Dima Hasao,30,2238,2409.75,597,417.44,2403,4979.79,18,1.56,1192,1663.96,1979,1076.32,1354,2168.64,64,4.44,857,1001.99,10702,13723.89
Goalpara,72,31758,19125.07,2831,2246.81,9300,6176.11,9,0.91,9836,10101.06,10838,4970.56,16185,21426.64,294,9.80,8283,4095.94,89334,68152.90
Golaghat,122,64797,38341.31,8318,6576.12,10774,8391.15,20,3.00,15884,14632.28,21874,7528.62,6420,6283.78,1076,38.20,17619,9481.17,146782,91275.63
Hailakandi,45,20013,10434.34,4591,3257.54,1385,1171.45,4,0.33,2643,3028.52,5055,2334.78,16843,17272.66,133,19.14,2459,2107.38,53126,39626.14
Jorhat,134,46870,26086.57,9302,7220.68,11495,8706.04,65,7.06,10658,12161.88,23305,8701.25,3754,7385.34,931,30.82,14626,7741.79,121006,78041.43
Kamrup Metro,175,77891,50733.14,7490,6160.13,8395,6749.48,182,12.00,32610,20546.93,24698,7641.97,24001,28857.18,746,29.74,17705,9469.18,193718,130199.75
Karbi Anglong,65,15567,10846.98,960,1328.58,10279,14780.44,8,4.22,7433,11214.25,10432,4129.18,1693,2197.04,186,2.64,1308,920.92,47866,45424.25
Karimganj,89,29635,17096.13,8912,5164.55,2124,1595.64,33,2.61,4380,4467.77,10987,3735.78,16342,19123.50,411,44.40,5321,3141.73,78145,54372.11
Kokrajhar,53,19639,16974.15,2488,1992.04,14054,16834.61,9,0.62,4445,4669.16,11215,4397.34,8821,6965.65,115,2.99,3543,3563.30,64329,55399.86
Lakhimpur,93,65923,47116.21,9062,7503.83,16928,19686.23,9,0.44,19832,13190.43,19341,10089.83,10680,12679.30,154,37.11,19537,10088.68,161466,120392.06
Majuli,16,8443,8713.11,616,576.88,2750,2431.44,3,0.45,1174,2073.62,918,447.57,21,76.97,91,3.87,1435,1221.05,15451,15544.96
Morigaon,67,47924,30457.64,7145,5314.91,9759,7721.14,108,10.62,8650,6985.55,9885,4210.14,17814,19802.59,1905,41.67,6269,3077.13,109459,77621.39
Nagaon,210,114726,68607.19,18752,15524.31,12143,9627.32,130,10.75,34653,23984.79,40461,15515.45,64735,68847.11,2103,91.94,27907,17068.85,315610,219277.71
Nalbari,87,39410,24753.78,3511,2890.27,2821,2792.44,28,5.89,21471,15471.53,18548,4472.35,11418,12100.87,506,12.04,6183,3503.45,103896,66002.62
Sivasagar,105,43803,21396.26,5016,4669.95,4079,3878.48,69,5.67,8753,6119.16,22384,7684.69,12334,12559.31,1060,23.99,21697,9610.22,119195,65947.73
Sonitpur,185,66296,47901.11,9607,9074.25,14029,11404.43,40,3.83,24420,27498.44,21764,9007.52,13887,18262.97,1072,21.04,23239,15319.45,174354,138493.04
South Salmara,12,2423,1225.06,27,75.12,32,34.68,5,0.64,714,1068.77,245,108.95,2315,5704.61,15,0.07,306,411.23,6082,8629.13
Tinsukia,149,45804,37791.24,3727,3922.85,4998,6017.09,89,8.37,16571,11272.94,14897,5937.08,1800,7939.52,1395,33.67,7060,5183.70,96341,78106.46
Udalguri,49,36351,24148.34,2159,1766.70,23294,24279.74,3,2.44,4638,7082.90,8940,3976.24,7554,9788.17,82,2.75,7586,5139.76,90607,76187.04
West Karbi Anglong,22,3313,2521.83,128,184.28,2070,3562.90,0,0,2662,3277.97,3615,1300.06,234,435.62,12,0.23,459,86.10,12493,11368.99
