district,Total Branch,Total Deposit,Total Advances,Overall CD Ratio
Baksa,58,"1,40,093","1,00,186",72
Barpeta,125,"5,75,324","3,86,002",67
Bongaigaon,61,"3,69,304","2,40,348",65
Cachar,165,"10,70,982","4,95,954",46
Charaideo,37,"1,40,732","65,449",47
Chirang,36,"1,69,966","87,138",51
Darrang,68,"2,99,220","2,03,192",68
Dhemaji,46,"1,91,507","1,66,288",87
Dhubri,89,"3,82,736","2,23,151",58
Dibrugarh,184,"12,87,379","6,84,628",53
Dima Hasao,30,"1,66,049","57,165",34
Goalpara,73,"2,79,220","1,74,621",63
Golaghat,123,"4,40,379","3,46,816",79
Hailakandi,46,"2,08,200","1,11,053",53
Jorhat,134,"8,44,351","5,32,150",63
Kamrup,177,"7,87,100","6,23,768",79
Kamrup Metro,419,"81,37,916","38,84,953",48
Karbi Anglong,67,"2,17,714","1,75,634",81
Karimganj,90,"4,72,634","1,61,215",34
Kokrajhar,54,"3,87,369","1,79,217",46
Lakhimpur,94,"3,49,006","3,10,699",89
Majuli,17,"55,441","35,919",65
Morigaon,68,"2,15,986","2,12,166",98
Nagaon,213,"10,23,271","6,39,605",63
Nalbari,87,"3,77,648","2,50,413",66
Sivasagar,105,"5,71,499","3,57,471",63
Sonitpur,188,"8,98,900","5,66,212",63
South Salmara,12,"34,055","20,307",60
Tinsukia,149,"8,63,435","4,73,970",55
Udalguri,50,"1,82,845","1,32,211",72
West Karbi Anglong,22,"36,527","32,007",88
