District,Total Branch,Total Agri (PS) O/S No.,Total Agri (PS) O/S Amt,Total Agri (PS) NPA No.,Total Agri (PS) NPA Amt,Agri NPA Pct,Total Msme (PS) O/S No.,Total Msme (PS) O/S Amt,Total Msme (PS) NPA No.,Total Msme (PS) NPA Amt,Msme NPA Pct,Total Other PS O/S No.,Total Other PS O/S Amt,Total Other (PS) NPA No.,Total Other (PS) NPA Amt,Other(PS) NPA Pct,Total PS O/S No.,Total PS O/S Amt,Total PSA NPA No.,Total PSA NPA Amt,TOTAL PSA NPA Pct
Baksa,57,36356,26625.03,11563,6283.35,23.60,16605,18860.36,4950,3951.81,20.95,6930,10860.45,1529,960.30,8.84,59891,56345.84,18042,11195.46,19.87
Barpeta,124,107892,76608.93,38277,19648.10,25.65,30444,79310.08,7710,9343.61,11.78,41046,43606.85,7316,3664.71,8.40,179382,199525.86,53303,32656.42,16.37
Bongaigaon,61,30406,27786.72,5406,2678.57,9.64,14260,50754.54,1896,2769.90,5.46,19578,23744.71,3818,1601.13,6.74,64244,102285.97,11120,7049.60,6.89
Cachar,163,81375,63896.05,25352,19086.73,29.87,33432,123878.14,5302,9514.29,7.68,82940,53929.09,13112,6555.13,12.16,197747,241703.28,43766,35156.15,14.55
Charaideo,36,19601,14797.11,4259,3170.48,21.43,5689,12803.59,1560,1972.80,15.41,5348,7361.90,1046,659.26,8.96,30638,34962.60,6865,5802.54,16.60
Chirang,36,28351,23003.67,9748,5547.40,24.12,9240,15276.90,3008,3007.76,19.69,9887,8693.71,883,401.50,4.62,47478,46974.28,13639,8956.66,19.07
Darrang,68,67085,45560.47,22900,13280.10,29.15,16608,41358.59,4507,6130.16,14.82,21706,21169.46,4150,2010.80,9.50,105399,108088.52,31557,21421.06,19.82
Dhemaji,46,45265,33853.64,11721,7243.77,21.40,18882,28033.19,2845,3569.38,12.73,8558,17576.58,2339,1083.67,6.17,72705,79463.41,16905,11896.82,14.97
Dhubri,88,51789,37231.70,20283,10699.38,28.74,18192,40858.81,5411,4112.66,10.07,37652,28561.24,9072,4535.68,15.88,107633,106651.75,34766,19347.72,18.14
Dibrugarh,183,115067,95021.19,38864,24364.54,25.64,39465,190478.00,8228,15341.33,8.05,36662,57460.88,5333,2435.80,4.24,191194,342960.07,52425,42141.67,12.29
Dima Hasao,30,3246,2744.05,772,357.23,13.02,2953,5576.09,299,273.76,4.91,511,3436.80,20,45.32,1.32,6710,11756.94,1091,676.31,5.75
Goalpara,72,47058,33652.52,14323,8562.21,25.44,18009,33602.83,4274,5009.96,14.91,20959,17436.43,5285,1975.89,11.33,86026,84691.78,23882,15548.06,18.36
Golaghat,122,97224,71118.10,31857,15877.79,22.33,22887,59483.02,4474,5695.26,9.57,32124,29112.83,3704,1287.91,4.42,152235,159713.95,40035,22860.96,14.31
Hailakandi,45,24390,17184.45,8628,5157.47,30.01,8882,23120.99,2141,2632.38,11.39,14017,11301.61,2528,1360.30,12.04,47289,51607.05,13297,9150.15,17.73
Jorhat,134,82605,82067.51,28471,13903.29,16.94,29394,141188.96,5819,11719.78,8.30,30008,50721.56,6863,2031.74,4.01,142007,273978.03,41153,27654.81,10.09
Kamrup Metro,175,137564,85350.81,42362,23127.17,27.10,40887,114719.45,9290,10343.57,9.02,70071,56896.36,20182,5851.20,10.28,248522,256966.62,71834,39321.94,15.30
Karbi Anglong,65,50108,33813.57,9880,4743.45,14.03,11601,16675.44,1855,1043.17,6.26,5587,23505.01,842,420.31,1.79,67296,73994.02,12577,6206.93,8.39
Karimganj,89,41416,33856.88,13918,10713.40,31.64,14019,36602.02,3466,3700.67,10.11,37025,24410.22,6739,2851.48,11.68,92460,94869.12,24123,17265.55,18.20
