District,Total Branch,Sanctioned No.,of which girl student Sanctioned No.,Sanctioned Amt,of which girl student Sanctioned Amt,Disb. Number,of which girl student Disb No.,Disb. Amt,of which girl student Disb Amt,O/S No.,of which girl student O/S No.,O/S amt,of which girl student O/S Amt
Baksa,57,8,2,22.21,16.87,11,3,11.65,5.07,106,52,270.94,143.20
Barpeta,124,12,2,38.28,5.00,29,16,30.13,10.34,456,171,1573.15,538.20
Bongaigaon,61,12,5,55.81,11.43,13,11,25.87,15.17,148,52,645.00,257.42
Cachar,163,40,10,100.83,34.05,15,9,25.79,18.87,1087,214,3042.27,623.38
Charaideo,36,6,2,57.81,10.24,5,2,7.36,4.27,73,27,230.93,96.07
Chirang,36,1,0,1.42,0,2,0,9.99,0,54,10,221.84,23.93
Darrang,68,39,14,84.71,24.85,32,11,33.15,13.21,380,163,1165.76,524.17
Dhemaji,46,9,5,8.81,5.42,17,11,15.36,8.97,156,67,472.00,222.33
Dhubri,88,8,6,16.65,12.84,18,7,20.20,10.48,177,44,644.14,169.32
Dibrugarh,183,41,15,193.86,142.50,35,25,71.03,56.42,873,377,3237.11,1446.76
Dima Hasao,30,1,1,1.20,1.20,2,1,1.50,0.30,34,14,92.41,29.62
Goalpara,72,15,7,96.29,23.45,12,7,23.73,14.69,150,59,620.28,212.18
Golaghat,122,17,9,94.19,44.62,26,14,63.49,39.02,364,159,1327.39,594.01
Hailakandi,45,4,0,6.37,0,1,0,0.73,0,80,20,226.90,76.68
Jorhat,134,39,21,290.89,147.53,66,35,134.08,65.50,861,393,3415.18,1566.70
Kamrup Metro,175,67,27,149.79,91.12,91,40,107.42,43.66,1349,419,4529.47,1486.99
Karbi Anglong,65,2,1,13.78,3.32,7,4,8.99,3.30,116,47,285.50,107.12
Karimganj,89,11,4,44.86,22.03,9,6,19.42,16.83,119,33,363.08,96.98
Kokrajhar,53,7,3,15.34,4.48,12,4,17.32,4.39,113,37,332.82,94.29
Lakhimpur,93,12,2,81.28,31.62,43,17,71.36,18.75,327,132,1016.01,390.99
Majuli,16,1,0,0,0,2,1,0.88,0.31,30,4,58.68,7.40
Morigaon,67,3,1,3.90,1.39,13,6,12.76,3.32,136,47,423.26,124.91
Nagaon,210,17,8,123.79,37.82,45,21,51.62,26.44,499,170,1832.79,627.27
Nalbari,87,20,7,66.70,17.46,43,23,40.77,22.34,389,136,1383.15,533.84
Sivasagar,105,16,12,81.27,57.35,32,16,49.61,29.10,312,139,1099.05,428.18
Sonitpur,185,34,11,183.11,28.20,61,25,112.35,32.50,677,262,2659.56,984.20
South Salmara,12,0,0,0,0,0,0,0,0,13,2,49.64,6.70
Tinsukia,149,28,9,169.65,69.55,52,21,113.32,32.82,606,219,2278.65,779.29
Udalguri,49,30,23,40.64,35.76,48,30,47.80,33.03,300,200,831.55,529.95
West Karbi Anglong,22,0,0,0,0,0,0,0,0,17,5,63.50,18.61
