district,Total Branch,O/S No.,O/S Amt.,CY Disb No.,CY Disb Amt.
Baksa,57,"29,506","21,644.08","1,316","1,330.72"
Barpeta,124,"1,16,984","80,949.84","8,683","8,711.69"
Bongaigaon,61,"45,695","44,345.38","4,053","4,223.91"
Cachar,163,"1,50,825","1,02,473.31","10,300","8,073.25"
Charaideo,36,"17,420","17,161.59","1,485","1,363.78"
Chirang,36,"23,743","18,033.53","1,685","1,048.36"
Darrang,68,"69,037","45,867.10","5,491","3,775.08"
Dhemaji,46,"43,851","41,920.13","3,172","2,982.02"
Dhubri,88,"71,313","44,065.45","3,788","2,636.90"
Dibrugarh,183,"1,23,101","1,26,653.66","10,144","10,391.22"
Dima Hasao,30,"5,547","14,061.46",370,932.21
Goalpara,72,"54,957","37,576.30","3,402","3,230.45"
Golaghat,122,"96,714","62,799.65","8,677","5,119.65"
Hailakandi,45,"26,434","22,539.18","1,572","1,724.46"
Jorhat,134,"1,00,161","1,18,528.51","7,898","6,943.64"
Kamrup,175,"1,79,406","1,34,742.79","13,885","12,299.92"
Kamrup Metro,419,"2,59,571","4,53,762.78","18,662","34,248.68"
Karbi Anglong,65,"38,669","47,518.60","2,312","2,825.08"
Karimganj,89,"68,318","37,224.34","3,518","2,974.54"
Kokrajhar,53,"40,021","36,673.27","3,887","3,035.00"
Lakhimpur,93,"1,00,555","73,795.68","6,101","5,081.33"
Majuli,16,"6,418","6,842.05",438,493.41
Morigaon,67,"55,149","37,809.27","3,292","2,881.09"
Nagaon,210,"2,10,460","1,44,761.43","12,902","10,180.69"
Nalbari,87,"79,894","56,377.17","5,350","5,529.22"
Sivasagar,105,"89,467","84,662.32","7,315","6,221.12"
Sonitpur,185,"1,39,081","1,18,676.04","10,789","10,353.17"
South Salmara,12,"1,306","2,157.28",45,76.37
Tinsukia,149,"82,644","82,153.79","6,859","7,865.36"
Udalguri,49,"31,197","27,378.33","1,797","1,500.84"
West Karbi Anglong,22,"7,212","8,376.87",412,504.73
