District,Total Branch,Current Year No. of Female Account,Current Year Sum of Female Amt,Current Year No. of Male Account to SC,Current Year Sum of Male Amount to SC,Current Year No. of Male Account to ST,Current Year Sum of Male Amount to ST,Total Current Year SUI Disb No.,Total Current Year SUI Disb Amt,SUI O/S No.,SUI O/S Amt,SUI NPA No.,SUI NPA Amt,SUI NPA Amt. %
Baksa,57,0,0.00,0,0.00,0,0.00,0,0.00,8,159.19,2,12.39,7.78
Barpeta,124,9,219.62,2,23.50,1,2.52,12,245.64,60,851.08,12,135.56,15.93
Bongaigaon,61,2,80.52,4,47.00,4,55.00,10,182.52,70,762.98,7,72.44,9.49
Cachar,163,2,24.00,1,14.98,0,0.00,3,38.98,60,918.49,5,45.48,4.95
Charaideo,36,0,0.00,0,0.00,0,0.00,0,0.00,11,160.65,0,0.00,0.00
Chirang,36,1,0.00,0,0.00,1,10.50,2,10.50,19,284.90,0,0.01,0.00
Darrang,68,1,5.10,0,0.00,0,0.00,1,5.10,35,501.31,9,88.53,17.66
Dhemaji,46,0,0.00,0,0.00,0,0.00,0,0.00,11,123.02,1,0.26,0.21
Dhubri,88,3,22.00,1,13.54,0,0.00,4,35.54,30,597.07,0,0.05,0.01
Dibrugarh,183,4,40.06,1,0.75,1,5.84,6,46.65,178,"2,607.66",18,202.91,7.78
Dima Hasao,30,1,25.00,0,0.00,0,0.00,1,25.00,7,76.74,1,15.65,20.39
Goalpara,72,3,14.37,0,0.00,0,0.00,3,14.37,30,242.15,10,41.05,16.95
Golaghat,122,1,10.30,0,0.00,1,12.00,2,22.30,56,708.90,5,21.29,3.00
Hailakandi,45,0,0.00,0,0.00,0,0.00,0,0.00,9,203.04,2,21.74,10.71
Jorhat,134,10,166.43,0,0.00,0,0.00,10,166.43,79,"1,021.88",7,31.06,3.04
Kamrup Metro,175,7,108.19,1,19.55,0,0.00,8,127.74,72,"1,029.80",6,84.61,8.22
Karbi Anglong,65,0,0.00,0,0.00,0,0.00,0,0.00,29,468.28,5,27.20,5.81
Karimganj,89,2,58.75,0,0.00,0,0.00,2,58.75,26,510.54,5,74.52,14.60
Kokrajhar,53,0,0.00,0,0.00,2,18.48,2,18.48,16,371.33,2,27.58,7.43
Lakhimpur,93,2,1.99,1,25.00,2,69.65,5,96.64,39,467.88,7,55.17,11.79
Majuli,16,1,0.22,0,0.00,0,0.00,1,0.22,13,126.10,1,1.23,0.98
Morigaon,67,2,4.00,0,0.00,0,0.00,2,4.00,40,358.36,14,106.70,29.77
Nagaon,210,5,86.12,1,24.87,0,0.00,6,110.99,156,"1,632.73",45,263.68,16.15
Nalbari,87,6,53.98,0,0.00,0,0.00,6,53.98,42,667.64,3,29.51,4.42
Sivasagar,105,11,142.07,1,11.00,0,0.00,12,153.07,59,674.81,7,69.36,10.28
Sonitpur,185,10,160.70,2,15.17,0,0.00,12,175.87,160,"2,298.86",26,180.39,7.85
South Salmara,12,0,0.00,0,0.00,0,0.00,0,0.00,2,53.81,0,0.00,0.00
Tinsukia,149,8,180.32,6,83.29,1,29.30,15,292.91,119,"1,950.39",8,83.83,4.30
Udalguri,49,0,0.00,0,0.00,0,0.00,0,0.00,10,226.64,1,21.14,9.33
West Karbi Anglong,22,0,0.00,0,0.00,0,0.00,0,0.00,7,67.58,0,0.00,0.00
