District,Total Branch,NRLM O/S No.,NRLM O/S Amt,NRLM Irregular A/C No.,NRLM Irregular A/C Amt,NRLM NPA No.,NRLM NPA AMT,NULM O/S No.,NULM O/S Amt,NULM NPA No.,NULM NPA AMT,PMEGP O/S No.,PMEGP O/S Amt,PMEGP NPA No.,PMEGP NPA AMT,SHG O/S No.,SHG O/S Amt,SHG NPA No.,SHG NPA AMT,SUI O/S No.,SUI O/S Amt,SUI NPA No.,SUI NPA AMT
Baksa,57,5834,10170.86,190,460.47,107,81.20,48,41.84,7,1.19,1036,1670.64,741,995.61,5756,9344.07,923,437.11,8,159.19,2,12.39
Barpeta,124,8840,13173.22,312,568.68,429,253.55,865,1065.13,202,56.29,1749,3792.63,769,1403.33,10515,15030.33,1358,964.94,60,851.08,12,135.56
Bongaigaon,61,4368,7232.02,198,344.30,47,29.23,75,70.29,23,11.66,618,955.38,328,416.23,3923,6667.91,182,82.59,70,762.98,7,72.44
Cachar,163,5210,7043.09,436,667.11,195,88.75,263,457.29,23,15.27,1482,2893.26,515,721.31,6161,7233.58,1024,537.68,60,918.49,5,45.48
Charaideo,36,3518,5287.66,214,255.26,89,28.53,6,6.19,0,0,205,438.23,120,228.14,4071,5534.65,220,120.16,11,160.65,0,0
Chirang,36,4088,6438.21,252,290.32,127,56.52,38,37.27,3,3.11,1328,1584.55,1138,1236.14,3165,5227.84,563,420.39,19,284.90,0,0.01
Darrang,68,5730,9187.27,237,313.37,155,142.07,316,614.26,5,5.80,807,1462.47,477,731.94,6451,9357.64,1071,855.01,35,501.31,9,88.53
Dhemaji,46,6748,11582.85,541,586.87,189,75.33,129,226.38,2,2.54,910,2236.27,423,692.32,6721,10755.68,867,376.27,11,123.02,1,0.26
Dhubri,88,7404,10072.71,456,442.22,358,103.64,245,151.80,193,108.29,1800,2663.37,1012,1260.06,6819,8596.09,1311,594.44,30,597.07,1,0.05
Dibrugarh,183,7421,11904.92,450,716.50,217,109.58,509,1061.32,42,24.59,1347,3481.66,586,948.64,7590,11996.39,448,235.00,178,2607.66,18,202.91
Dima Hasao,30,842,1290.89,401,385.88,6,3.06,36,48.81,1,1.81,249,542.75,78,101.43,1131,1424.38,87,33.62,7,76.74,1,15.65
Goalpara,72,5731,8394.08,435,741.18,217,123.42,59,48.73,8,4.93,896,1184.46,556,683.46,7172,9794.05,1117,607.90,30,242.15,10,41.05
Golaghat,122,8862,16673.66,658,880.49,113,73.50,116,288.98,11,7.13,778,1833.04,386,602.83,8786,16037.94,394,217.92,56,708.90,5,21.29
Hailakandi,45,2691,3778.08,171,151.08,119,56.36,246,327.63,20,24.60,612,1307.16,343,498.29,2524,3180.25,569,287.01,9,203.04,2,21.74
Jorhat,134,7469,14723.20,382,773.44,41,27.91,1035,2016.27,11,5.68,710,1524.60,277,369.14,6773,13851.77,361,240.72,79,1021.88,7,31.06
Kamrup Metro,175,10662,18219.45,464,574.54,547,467.33,261,573.74,19,11.84,1524,2596.11,758,1015.44,11655,17844.70,1683,1209.11,72,1029.80,6,84.61
Karbi Anglong,65,5217,10475.88,1817,3750.15,15,24.19,22,33.20,1,1.84,429,597.08,198,157.63,6387,11558.65,425,136.05,29,468.28,5,27.20
Karimganj,89,3006,4155.70,312,459.51,132,96.19,138,203.69,41,12.94,728,1460.75,283,477.62,4328,4888.28,1226,584.89,26,510.54,5,74.52
Kokrajhar,53,4183,5276.77,424,588.48,78,46.80,55,55.57,10,11.02,1671,2134.38,1389,1622.80,3276,4354.33,430,363.27,16,371.33,2,27.58
Lakhimpur,93,8727,13268.77,560,912.28,255,105.99,116,140.17,13,7.92,1107,2866.38,578,1077.16,9071,12727.51,900,448.81,39,467.88,7,55.17
Majuli,16,1859,3213.41,128,196.65,24,16.86,0,0,0,0,165,277.17,52,68.76,1564,3175.31,185,85.67,13,126.10,1,1.23
Morigaon,67,4573,6620.98,202,328.02,489,281.07,296,293.48,61,14.08,698,1281.09,588,853.16,6925,8352.26,2252,1172.78,40,358.36,14,106.70
Nagaon,210,16271,24579.08,869,965.56,487,255.22,462,954.16,8,4.97,1904,4021.40,767,1174.45,16004,25192.58,1374,897.68,156,1632.73,45,263.68
Nalbari,87,7286,12370.06,98,165.85,174,117.34,241,519.32,17,16.44,1061,2106.76,624,1023.64,8854,15029.20,985,526.13,42,667.64,3,29.51
Sivasagar,105,4660,7176.35,361,394.14,100,38.87,166,245.11,8,7.49,858,2454.97,277,505.50,4860,7504.16,317,246.79,59,674.81,7,69.36
Sonitpur,185,15360,27321.47,1119,1436.28,515,322.21,324,532.46,6,4.60,1546,3062.94,612,959.69,16973,25406.03,3340,1585.34,160,2298.86,26,180.39
South Salmara,12,750,931.16,24,17.14,141,29.49,4,5.08,0,0,473,630.18,384,475.12,760,1000.97,173,50.67,2,53.81,0,0
Tinsukia,149,6727,11332.67,330,438.62,180,88.60,1022,2037.95,47,38.21,1129,2564.63,534,792.45,6789,11169.81,510,241.69,119,1950.39,8,83.83
Udalguri,49,4375,7430.95,233,400.91,92,120.46,30,44.47,4,3.5,1619,2654.12,1420,2273.74,4194,6038.46,888,597.01,10,226.64,1,21.14
West Karbi Anglong,22,1765,2936.18,780,1181.33,0,0,45,99.73,0,0,8,14.04,6,7.41,2627,3296.65,590,152.31,7,67.58,0,0
