District,Total Branch,CY SANCTION A/C No.,CY SANCTION Amt,CY DISBURSED A/C No.,CY DISBURSED Amt,PMEGP O/S No.,PMEGP O/S Amt,PMEGP NPA No.,PMEGP NPA Amt,PMEGP NPA Amt. %
Baksa,57,2,8.55,12,12.69,"1,036","1,670.64",741,995.61,59.59
Barpeta,124,68,298.24,95,257.87,"1,749","3,792.63",769,"1,403.33",37.00
Bongaigaon,61,7,32.40,23,33.03,618,955.38,328,416.23,43.57
Cachar,163,10,124.35,27,139.44,"1,482","2,893.26",515,721.31,24.93
Charaideo,36,0,0,1,3.65,205,438.23,120,228.14,52.06
Chirang,36,11,54.54,12,38.60,"1,328","1,584.55","1,138","1,236.14",78.01
Darrang,68,0,0,8,7.83,807,"1,462.47",477,731.94,50.05
Dhemaji,46,49,172.06,87,126.56,910,"2,236.27",423,692.32,30.96
Dhubri,88,9,26.65,29,30.45,"1,800","2,663.37","1,012","1,260.06",47.31
Dibrugarh,183,47,260.44,99,214.11,"1,347","3,481.66",586,948.64,27.25
Dima Hasao,30,4,10.45,5,11.70,249,542.75,78,101.43,18.69
Goalpara,72,4,12.90,7,15.99,896,"1,184.46",556,683.46,57.70
Golaghat,122,10,37.52,65,60.98,778,"1,833.04",386,602.83,32.89
Hailakandi,45,11,67.70,20,83.77,612,"1,307.16",343,498.29,38.12
Jorhat,134,19,131.22,26,102.89,710,"1,524.60",277,369.14,24.21
Kamrup Metro,175,65,197.73,87,171.26,"1,524","2,596.11",758,"1,015.44",39.11
Karbi Anglong,65,19,95.62,12,45.34,429,597.08,198,157.63,26.40
Karimganj,89,4,13.62,10,13.56,728,"1,460.75",283,477.62,32.70
Kokrajhar,53,12,27.00,16,27.54,"1,671","2,134.38","1,389","1,622.80",76.03
Lakhimpur,93,23,190.95,51,203.02,"1,107","2,866.38",578,"1,077.16",37.58
Majuli,16,1,4.88,1,1.90,165,277.17,52,68.76,24.81
Morigaon,67,10,31.71,33,58.88,698,"1,281.09",588,853.16,66.60
Nagaon,210,33,128.37,59,169.72,"1,904","4,021.40",767,"1,174.45",29.21
Nalbari,87,9,43.23,11,38.98,"1,061","2,106.76",624,"1,023.64",48.59
Sivasagar,105,44,240.65,73,210.27,858,"2,454.97",277,505.50,20.59
Sonitpur,185,42,189.76,100,206.37,"1,546","3,062.94",612,959.69,31.33
South Salmara,12,5,10.35,5,6.46,473,630.18,384,475.12,75.39
Tinsukia,149,44,285.60,50,283.31,"1,129","2,564.63",534,792.45,30.90
Udalguri,49,0,0,0,0,"1,619","2,654.12","1,420","2,273.74",85.67
West Karbi Anglong,22,0,0,0,0,8,14.04,6,7.41,52.78
