district,Total Branch,Sishu O/S No.,Sishu O/S Amt.,Sishu NPA No.,Sishu NPA Amt.,Kishore O/S No.,Kishore O/S Amt.,Kishore NPA No.,Kishore NPA Amt.,Tarun O/S No.,Tarun O/S Amt.,Tarun NPA No.,Tarun NPA Amt.,Total MUDRA O/S No.,Total MUDRA O/S Amt.,Total MUDRA NPA No.,Total MUDRA NPA Amt.,MUDRA NPA Amt.%
Baksa,57,"4,797",938.52,758,206.90,"6,339","6,031.35",755,"1,026.57",199,"1,048.23",20,107.73,"11,335","8,018.10","1,533","1,341.20",16.73
Barpeta,124,"30,589","5,524.30","10,234","1,838.03","34,746","28,687.57","8,451","6,927.98","1,869","9,062.11",138,661.82,"67,204","43,273.98","18,823","9,427.83",21.79
Bongaigaon,61,"15,032","2,735.05","4,412",608.83,"11,979","9,389.90","2,047","1,601.79",940,"4,091.85",40,189.90,"27,951","16,216.80","6,499","2,400.52",14.80
Cachar,163,"53,365","9,623.45","14,468","2,669.95","65,428","40,737.26","15,634","11,204.03","2,243","9,426.94",158,823.10,"1,21,036","59,787.65","30,260","14,697.08",24.58
Charaideo,36,"6,301","1,159.84","1,728",274.82,"5,160","4,455.03",400,454.53,419,"1,894.60",11,42.93,"11,880","7,509.47","2,139",772.28,10.28
Chirang,36,"7,125","1,350.91","1,511",285.03,"8,108","5,965.18","1,704","1,549.72",155,847.37,23,85.18,"15,388","8,163.46","3,238","1,919.93",23.52
Darrang,68,"17,940","3,159.85","6,966","1,058.49","18,132","14,839.58","4,503","3,697.98","1,008","5,653.48",138,823.54,"37,080","23,652.91","11,607","5,580.01",23.59
Dhemaji,46,"8,856","1,797.65","3,323",689.21,"7,743","7,737.29","1,820","1,790.44",727,"3,836.74",74,353.25,"17,326","13,371.68","5,217","2,832.90",21.19
Dhubri,88,"25,448","4,861.77","10,098","1,923.17","29,381","21,508.87","10,903","8,403.55",714,"3,474.18",110,365.90,"55,543","29,844.82","21,111","10,692.62",35.83
Dibrugarh,183,"39,569","6,141.69","10,402","1,457.75","30,859","25,097.38","3,786","3,762.83","2,529","13,099.09",309,"1,597.46","72,957","44,338.16","14,497","6,818.04",15.38
Dima Hasao,30,"1,173",192.02,281,46.87,"1,004","1,469.16",121,160.74,143,787.47,6,33.85,"2,320","2,448.65",408,241.46,9.86
Goalpara,72,"17,168","3,264.96","6,758","1,215.01","17,016","12,745.76","4,422","3,340.19",630,"2,859.43",60,351.72,"34,814","18,870.15","11,240","4,906.92",26.00
Golaghat,122,"24,110","4,207.53","5,795",989.91,"27,201","18,397.69","3,040","2,246.14","1,297","5,069.88",63,301.30,"52,608","27,675.10","8,898","3,537.35",12.78
Hailakandi,45,"8,353","1,546.47","1,991",381.73,"13,547","10,109.35","3,116","2,530.85",540,"2,295.83",42,177.73,"22,440","13,951.65","5,149","3,090.31",22.15
Jorhat,134,"26,739","4,076.17","7,991",782.69,"22,733","18,610.34","2,899","2,384.48","1,576","7,354.61",147,660.57,"51,048","30,041.12","11,037","3,827.74",12.74
Kamrup,175,"46,009","8,551.90","16,402","2,635.48","53,977","36,619.57","11,343","8,379.59","1,663","8,651.97",170,823.58,"1,01,649","53,823.44","27,915","11,838.65",22.00
Kamrup Metro,419,"36,313","7,099.83","13,972","2,664.50","52,278","46,427.93","9,721","8,097.50","5,220","30,687.77",947,"4,218.18","93,811","84,215.53","24,640","14,980.18",17.79
Karbi Anglong,65,"4,033",769.14,638,106.00,"4,236","4,976.53",318,364.09,398,"2,199.48",30,148.15,"8,667","7,945.15",986,618.24,7.78
Karimganj,89,"24,628","4,448.79","7,274","1,450.56","31,874","20,637.80","8,239","6,641.65","1,062","4,801.42",123,770.31,"57,564","29,888.01","15,636","8,862.52",29.65
Kokrajhar,53,"16,344","3,283.66","1,664",320.67,"11,247","8,260.91","2,126","1,871.50",311,"1,806.49",23,144.47,"27,902","13,351.06","3,813","2,336.64",17.50
Lakhimpur,93,"18,603","3,832.43","6,259","1,400.74","21,166","17,022.36","4,439","3,946.39","1,146","5,426.05",189,852.70,"40,915","26,280.84","10,887","6,199.83",23.59
Majuli,16,"2,109",447.34,556,116.62,"1,010","1,368.38",163,163.61,386,"1,200.58",37,220.44,"3,505","3,016.30",756,500.67,16.60
Morigaon,67,"10,071","2,093.47","2,191",527.79,"17,532","13,807.12","3,214","3,336.47","1,103","5,646.93",209,"1,118.41","28,706","21,547.52","5,614","4,982.67",23.12
Nagaon,210,"42,299","8,215.90","13,566","2,643.50","66,324","47,599.47","13,172","11,052.06","4,236","18,590.57",699,"3,528.13","1,12,859","74,405.94","27,437","17,223.69",23.15
Nalbari,87,"14,910","2,810.46","4,752",846.86,"15,742","12,239.55","2,672","2,329.63",626,"3,349.76",66,333.66,"31,278","18,399.77","7,490","3,510.15",19.08
Sivasagar,105,"19,266","3,281.91","4,013",578.18,"20,928","17,032.64","1,904","1,513.31","1,638","6,842.63",73,321.13,"41,832","27,157.18","5,990","2,412.62",8.88
Sonitpur,185,"33,764","6,218.26","11,144","1,811.01","44,451","33,097.52","8,010","6,481.13","2,335","11,038.08",212,"1,098.59","80,550","50,353.86","19,366","9,390.73",18.65
South Salmara,12,260,70.14,112,23.92,965,"1,421.61",396,455.94,82,452.10,8,47.35,"1,307","1,943.85",516,527.21,27.12
Tinsukia,149,"20,792","3,571.38","5,663",745.87,"23,119","21,638.13","2,860","2,927.92","2,126","12,481.41",209,"1,191.42","46,037","37,690.92","8,732","4,865.21",12.91
Udalguri,49,"6,342","1,328.59","1,021",233.54,"5,712","5,827.76","1,656","2,116.09",167,"1,053.34",18,90.47,"12,221","8,209.69","2,695","2,440.10",29.72
West Karbi Anglong,22,346,56.97,113,6.30,252,342.29,22,33.51,51,178.57,2,2.57,649,577.83,137,42.38,7.33
