District,Total Branch,Inactive CSP,Ru Pay card active in PMJDY,First time active Ru Pay card,Aadhaar Authenticated Sb accounts,Ru Pay card issued in KCC
Baksa,57,21,185346,125408,105361,9104
Barpeta,124,34,449346,301335,424061,25094
Bongaigaon,61,12,150969,101803,108398,6181
Cachar,163,272,290020,167875,227897,14508
Charaideo,36,7,59257,22897,37421,4900
Chirang,36,1,114585,80245,85537,11219
Darrang,68,37,174446,120785,148396,16307
Dhemaji,46,20,171898,168693,74200,9413
Dhubri,88,23,255869,209952,281646,14353
Dibrugarh,183,110,265914,176782,184586,28963
Dima Hasao,30,4,30847,8671,19390,239
Goalpara,72,18,196141,142846,141507,15311
Golaghat,122,25,163183,141194,144083,22606
Hailakandi,45,16,113839,77570,111971,7872
Jorhat,134,92,152300,95023,135178,20029
Kamrup Metro,175,49,380818,200476,264243,36806
Karbi Anglong,65,10,61197,38092,50835,5279
Karimganj,89,19,140225,120887,107911,5668
Kokrajhar,53,30,144371,113748,180418,10859
Lakhimpur,93,14,219556,199940,120828,16255
Majuli,16,2,21135,13092,22324,2977
Morigaon,67,37,153760,60882,122458,13767
Nagaon,210,586,538727,390986,600093,36499
Nalbari,87,21,123735,82721,145704,14758
Sivasagar,105,77,119255,77623,102973,10043
Sonitpur,185,156,298170,211673,332470,26694
South Salmara,12,2,46367,44437,48624,1184
Tinsukia,149,128,245879,109499,221537,20247
Udalguri,49,20,171707,135744,112399,14199
West Karbi Anglong,22,1,21222,17632,23766,737
