District,Total Branch,Sishu No.,Sishu amt,Kishore no,Kishore Amt,Tarun No.,Tarun Amt,Total MUDRA Disb No.,Total MUDRA Disb Amt
Baksa,57,475,144.44,389,593.19,28,179.28,892,916.91
Barpeta,124,"3,037",910.04,"1,875","2,606.22",147,985.13,"5,059","4,501.39"
Bongaigaon,61,"1,949",622.90,663,987.08,99,584.55,"2,711","2,194.53"
Cachar,163,"6,633","1,731.01","2,572","3,615.84",226,"1,562.89","9,431","6,909.74"
Charaideo,36,732,213.55,326,506.58,58,386.82,"1,116","1,106.95"
Chirang,36,"1,032",312.56,412,574.49,29,168.41,"1,473","1,055.46"
Darrang,68,"1,998",609.03,968,"1,426.28",114,880.80,"3,080","2,916.11"
Dhemaji,46,881,262.09,428,676.24,109,677.14,"1,418","1,615.47"
Dhubri,88,"2,331",692.46,"1,207","1,701.02",96,606.40,"3,634","2,999.88"
Dibrugarh,183,"3,712",843.50,"1,778","2,601.06",358,"2,067.03","5,848","5,511.59"
Dima Hasao,30,53,9.62,93,180.85,10,87.56,156,278.03
Goalpara,72,"2,083",594.41,845,"1,230.00",52,377.48,"2,980","2,201.89"
Golaghat,122,"3,200",807.83,"1,647","2,109.13",179,"1,114.44","5,026","4,031.40"
Hailakandi,45,840,252.23,567,724.77,52,349.44,"1,459","1,326.44"
Jorhat,134,"3,305",823.22,"1,480","2,318.95",187,"1,188.75","4,972","4,330.92"
Kamrup Metro,175,"5,372","1,704.21","3,035","3,935.09",205,"1,282.25","8,612","6,921.55"
Karbi Anglong,65,445,139.13,478,872.55,35,275.39,958,"1,287.07"
Karimganj,89,"2,337",729.28,"1,250","1,490.98",102,686.51,"3,689","2,906.77"
Kokrajhar,53,"2,527",819.04,700,970.36,54,305.29,"3,281","2,094.69"
Lakhimpur,93,"2,357",649.40,"1,054","1,507.75",187,"1,141.42","3,598","3,298.57"
Majuli,16,209,67.81,25,44.35,7,48.00,241,160.16
Morigaon,67,"1,181",382.45,812,"1,203.15",96,658.91,"2,089","2,244.51"
Nagaon,210,"4,845","1,443.86","2,953","4,216.90",361,"2,635.59","8,159","8,296.35"
Nalbari,87,"1,659",539.19,741,"1,051.72",66,501.34,"2,466","2,092.25"
Sivasagar,105,"2,169",560.64,"1,173","1,753.50",209,"1,177.03","3,551","3,491.17"
Sonitpur,185,"5,487","1,496.49","2,518","3,733.39",308,"1,989.91","8,313","7,219.79"
South Salmara,12,3,0.80,31,83.14,5,42.80,39,126.74
Tinsukia,149,"2,362",646.89,"1,564","2,727.66",353,"2,359.07","4,279","5,733.62"
Udalguri,49,996,325.22,371,563.97,24,180.91,"1,391","1,070.10"
West Karbi Anglong,22,6,1.59,18,39.21,6,53.02,30,93.82
