District,Total Branch,Christians No.,Christians Amt,Muslims No.,Muslims Amt,Buddhists No.,Buddhists Amt,Sikhs No.,Sikhs Amt,Zoroastrians No.,Zoroastrians Amt,Jains No.,Jains Amt,Tot Minority Disb No.,Tot Minority Disb Amt
Baksa,57,66,8.68,965,506.82,1,0,3,0,0,0,0,0,"1,035",515.50
Barpeta,124,42,69.38,"17,999","7,425.79",7,6.16,3,3.9,0,0,4,87.61,"18,055","7,592.84"
Bongaigaon,61,49,103.97,"5,905","3,413.97",15,13,0,0,10,4.24,7,13.55,"5,986","3,548.73"
Cachar,163,116,98.39,"9,292","3,584.46",7,15.79,5,0,0,0,2,6.95,"9,422","3,705.59"
Charaideo,36,30,4.78,409,181.03,38,17.87,8,16.9,0,0,0,0,485,220.58
Chirang,36,87,72.10,802,886.01,0,0,0,0,0,0,0,0,889,958.11
Darrang,68,97,36.87,"11,844","4,730.97",2,0.15,2,0,0,0,6,110.47,"11,951","4,878.46"
Dhemaji,46,28,14.34,121,102.53,10,8.9,7,1.6,0,0,0,0,166,127.37
Dhubri,88,67,37.13,"20,546","4,388.81",2,1.15,10,0,0,0,8,100,"20,633","4,527.09"
Dibrugarh,183,170,67.31,"1,046","1,346.03",34,21.94,37,30.49,1,0.61,5,18.76,"1,293","1,485.14"
Dima Hasao,30,112,193.41,30,25.67,0,0,0,0,0,0,0,0,142,219.08
Goalpara,72,342,111.84,"4,371","3,298.82",1,5,4,0,0,0,2,24.5,"4,720","3,440.16"
Golaghat,122,155,68.71,"1,211",946.01,69,45.22,8,16.3,1,0.39,8,3.13,"1,452","1,079.76"
Hailakandi,45,53,23.94,"8,264","1,371.59",1,0,4,0,0,0,1,4.7,"8,323","1,400.23"
Jorhat,134,154,66.82,"1,233","1,492.54",85,88.97,18,136.82,0,0,10,42.22,"1,500","1,827.37"
Kamrup Metro,175,130,59.16,"12,364","3,916.54",17,22.88,16,15.25,0,0,13,136.71,"12,540","4,150.54"
Karbi Anglong,65,348,180.21,296,204.95,23,3.66,1,0,0,0,1,5,669,393.82
Karimganj,89,59,29.62,"4,240","2,005.01",1,0,2,0,0,0,1,7.78,"4,303","2,042.41"
Kokrajhar,53,637,449.03,"1,483","1,352.69",0,0,3,1.9,0,0,1,34.76,"2,124","1,838.38"
Lakhimpur,93,70,48.31,"2,364","1,468.81",1,0,2,1.13,5,2.98,2,0.98,"2,444","1,522.21"
Majuli,16,-,-,14,3.35,1,0.73,0,0,0,0,0,0,15,4.08
Morigaon,67,28,4.92,"2,872","2,069.56",2,1.5,4,4,0,0,0,0,"2,906","2,079.98"
Nagaon,210,110,77.25,"24,502","9,288.63",13,15.02,25,22.27,1,0.46,4,71.63,"24,655","9,475.26"
Nalbari,87,26,3.23,"5,915","2,444.66",3,6.38,7,0.69,0,0,3,292.32,"5,954","2,747.28"
Sivasagar,105,75,46.79,"5,224","2,724.14",35,18.17,6,21.58,0,0,3,1.74,"5,343","2,812.42"
Sonitpur,185,259,125.20,"4,182","2,951.37",14,42.69,36,38.4,0,0,3,0.58,"4,494","2,645.96"
South Salmara,12,8,7.79,"2,126",423.47,1,0,1,0,0,0,0,0,"2,136",431.26
Tinsukia,149,290,84.35,584,735.58,55,74.77,33,52.06,0,0,5,59.66,967,"1,006.42"
Udalguri,49,171,122.56,321,458.60,0,0,0,0,0,0,1,2,493,583.16
West Karbi Anglong,22,115,57.50,34,5.00,1,0,4,0.61,0,0,0,0,154,63.11
