District,Total Branch,BHIM/UPI A/C,BHIM/UPI Amt,BHIM Aadhaar A/C,BHIM Aadhaar Amt,Bharat QR Code A/C,Bharat QR Code Amt,IMPS A/C,IMPS Amt,Cards (Debit & Credit) A/C,Cards (Debit & Credit) Amt,USSD A/C,USSD Amt
Baksa,57,"8,66,542","27,914.70","38,32,434","54,000.71","2,316",494.76,"1,26,770","20,033.71","1,56,399","7,349.72","50,974","1,105.00"
Barpeta,124,"78,12,699","2,70,297.01","1,07,81,059","2,02,431.59","5,501","1,229.47","5,70,669","3,33,00,139.16","3,95,293","26,74,761.07","1,38,205","3,124.87"
Bongaigaon,61,"31,30,878","3,13,35,218.71","38,78,558","71,425.22","4,309",873.31,"1,95,618","2,05,29,391.17","2,82,955","1,23,21,729.04","95,186","2,147.64"
Cachar,163,"80,98,916","2,06,307.43","88,33,078","1,36,415.61","7,943","1,831.57","6,98,965","7,23,67,063.40","9,07,869","4,16,39,094.34","1,90,340","4,320.92"
Charaideo,36,"13,80,265","27,168.94","20,66,711","27,547.78",937,366.97,"1,43,436","1,08,439.87","1,69,247","6,225.51","37,013",806.19
Chirang,36,"7,02,371","35,126.48","25,67,501","41,512.65","1,469",287.96,"1,08,122","1,37,823.58","1,02,084","5,385.88","73,562","1,601.85"
Darrang,68,"43,15,554","1,42,504.57","44,02,121","74,502.79","3,947",872.61,"2,95,031","7,95,150.66","2,68,130","39,648.29","57,750","1,350.82"
Dhemaji,46,"26,35,918","65,111.86","51,63,021","69,820.13","2,284",600.81,"2,18,906","3,64,180.16","1,94,177","56,956.99","54,944","1,300.15"
Dhubri,88,"43,31,147","1,55,306.20","69,68,835","1,40,933.52","3,330",644.66,"4,69,863","5,87,299.98","3,59,256","75,850.87","62,279","1,871.76"
Dibrugarh,183,"81,34,980","1,63,344.27","96,65,142","1,31,700.64","10,661","2,322.06","7,49,560","12,11,66,790.61","12,37,270","1,00,78,203.01","3,49,298","7,068.56"
Dima Hasao,30,"5,99,057","17,969.68","16,85,270","28,199.88",958,180.25,"30,253","1,19,612.75","77,693","27,779.01","24,061",660.60
Goalpara,72,"27,34,384","1,21,567.00","40,78,937","83,970.39","3,448","1,302.07","2,60,907","3,43,805.88","2,30,236","82,450.46","45,842","1,240.53"
Golaghat,122,"57,01,636","3,88,15,275.75","61,83,093","81,840.28","3,751","1,057.32","4,62,558","2,50,85,568.90","6,39,851","3,36,27,220.66","1,38,893","3,092.93"
Hailakandi,45,"30,32,148","72,517.12","31,37,774","42,309.90","1,205",237.24,"1,75,752","99,784.96","1,79,815","44,672.93","25,050",641.37
Jorhat,134,"62,00,713","5,94,98,588.83","67,71,588","86,814.32","7,837","1,722.23","4,77,535","3,81,06,273.27","8,33,320","2,01,16,952.66","2,89,843","5,739.43"
Kamrup Metro,175,"75,24,428","3,99,50,688.50","78,76,335","1,27,894.01","7,722","1,548.11","5,17,723","7,69,30,633.71","7,39,605","3,18,01,567.19","1,82,214","4,041.17"
Karbi Anglong,65,"11,59,887","38,854.20","44,53,364","68,715.37","1,606",391.97,"99,884","1,34,972.24","1,46,832","1,01,877.53","71,175","1,802.58"
Karimganj,89,"62,24,448","1,78,692.25","52,67,509","92,493.55","3,674",771.11,"4,71,680","4,43,841.78","4,76,080","91,797.95","54,505","1,458.73"
Kokrajhar,53,"10,16,308","51,538.37","40,43,797","64,326.72","2,346",460.31,"1,58,678","4,48,778.81","1,43,277","38,491.09","85,455","2,080.91"
Lakhimpur,93,"47,11,748","1,09,260.99","72,35,736","1,02,143.71","2,990",765.70,"4,17,802","2,68,46,061.12","4,10,728","29,58,518.17","79,788","1,840.02"
Majuli,16,"9,22,880","18,306.41","8,86,669","10,023.18",874,170.86,"90,610","78,153.09","1,60,483","6,479.63","8,618",193.59
Morigaon,67,"53,55,193","1,46,410.44","25,27,560","46,650.42","3,322",894.57,"4,05,505","2,75,37,947.58","4,13,011","76,25,450.32","40,379",944.76
Nagaon,210,"1,33,25,480","5,79,47,463.12","1,45,37,660","2,45,688.83","10,977","3,435.83","11,72,449","1,31,21,256.24","10,44,996","2,34,99,946.44","2,03,201","5,048.36"
Nalbari,87,"24,76,985","71,990.05","41,08,388","65,494.66","2,684","1,054.59","2,03,820","1,81,85,219.60","2,73,012","13,34,604.96","99,710","2,027.06"
Sivasagar,105,"44,52,226","29,22,89,478.52","58,02,321","79,094.45","4,553","1,161.88","3,52,172","10,23,31,862.43","5,68,777","10,20,97,495.66","2,26,136","4,750.90"
Sonitpur,185,"74,26,157","1,92,677.62","1,16,78,815","1,62,300.51","8,968","2,059.89","7,88,371","6,11,84,033.66","9,12,437","32,98,677.13","3,35,704","6,481.41"
South Salmara,12,"51,210","23,544.43","9,64,259","29,598.52","1,103",170.53,"34,198","2,41,520.07","11,538",613.66,"4,154",167.88
Tinsukia,149,"77,13,311","1,77,245.67","66,05,730","93,507.86","7,726","1,942.99","6,30,412","1,99,64,515.56","8,01,117","75,16,170.03","1,62,294","3,184.82"
Udalguri,49,"5,80,758","36,475.95","44,85,920","58,629.77","1,653",266.46,"1,23,345","2,00,827.45","1,03,532","78,026.17","48,671","1,013.83"
West Karbi Anglong,22,"3,63,563","5,638.52","16,29,908","22,557.21",-,-,"22,356","1,172.86","17,423",750.48,"13,153",333.65
