District,Total Branch,Export No.,Export Amt,Education PS No.,Education PS Amt,Housing PS No.,Housing PS Amt,Social Infra No.,Social Infra Amt,Renewable No.,Renewable Amt,Other PS No.,Other PS Amt,Total Other (PS) NPA No.,Total Other (PS) NPA Amt
Baksa,57,0,0.00,9,21.01,113,504.85,0,0.00,38,10.30,1369,424.14,1529,960.30
Barpeta,124,0,0.00,32,77.14,122,463.10,0,0.00,447,212.68,6715,2911.79,7316,3664.71
Bongaigaon,61,0,0.00,9,18.28,46,206.30,0,0.00,100,49.06,3663,1327.49,3818,1601.13
Cachar,163,0,0.00,68,188.66,135,624.83,0,0.00,10,4.21,12899,5737.43,13112,6555.13
Charaideo,36,0,0.00,8,32.09,7,56.94,0,0.00,47,18.98,984,551.25,1046,659.26
Chirang,36,0,0.00,12,33.87,14,18.75,0,0.00,121,39.78,736,309.10,883,401.50
Darrang,68,0,0.00,13,26.25,96,331.65,0,0.00,44,20.99,3997,1631.91,4150,2010.80
Dhemaji,46,0,0.00,16,45.62,33,191.62,0,0.00,12,3.71,2278,842.72,2339,1083.67
Dhubri,88,0,0.00,17,56.47,58,233.57,0,0.00,247,145.81,8750,4099.83,9072,4535.68
Dibrugarh,183,0,0.00,48,130.57,128,1126.61,0,0.00,14,4.59,5143,1174.03,5333,2435.80
Dima Hasao,30,0,0.00,0,0,15,31.63,0,0.00,0,0.00,5,13.69,20,45.32
Goalpara,72,0,0.00,10,32.89,50,149.03,1,0.06,431,275.94,4793,1517.97,5285,1975.89
Golaghat,122,0,0.00,23,50.80,56,233.66,0,0.00,2,0.54,3623,1002.91,3704,1287.91
Hailakandi,45,0,0.00,9,13.58,55,252.44,0,0.00,23,12.70,2441,1081.58,2528,1360.30
Jorhat,134,0,0.00,39,141.49,140,640.95,0,0.00,0,0.00,6684,1249.30,6863,2031.74
Kamrup Metro,175,0,0.00,55,140.83,220,578.72,0,0.00,12,5.43,19895,5126.22,20182,5851.20
Karbi Anglong,65,0,0.00,19,46.34,42,133.49,0,0.00,0,0.00,781,240.48,842,420.31
Karimganj,89,0,0.00,9,25.35,61,232.17,0,0.00,9,2.88,6660,2591.08,6739,2851.48
Kokrajhar,53,0,0.00,6,17.53,20,75.96,0,0.00,0,0.00,2805,875.38,2831,968.87
Lakhimpur,93,0,0.00,27,54.83,124,368.74,0,0.00,83,37.16,3952,2073.11,4186,2533.84
Majuli,16,0,0.00,3,5.95,27,105.00,0,0.00,0,0.00,561,35.63,591,146.58
Morigaon,67,0,0.00,16,43.25,173,536.72,0,0.00,22,9.03,1810,868.06,2021,1457.06
Nagaon,210,0,0.00,48,176.82,234,887.35,0,0.00,2,1.57,10911,4964.23,11195,6029.97
Nalbari,87,0,0.00,40,105.81,203,535.60,0,0.00,8,2.27,6967,2129.74,7218,2773.42
Sivasagar,105,0,0.00,16,43.66,68,391.20,0,0.00,11,4.69,3236,937.59,3331,1377.14
Sonitpur,185,0,0.00,66,136.87,198,543.60,0,0.00,1,0.44,10083,4027.80,10348,4708.71
South Salmara,12,0,0.00,7,29.69,12,32.08,0,0.00,6,4.38,200,228.40,225,294.55
Tinsukia,149,0,0.00,30,75.32,88,396.97,1,0.00,12,3.57,3575,903.71,3706,1379.57
Udalguri,49,0,0.00,19,74.00,25,88.69,0,0.00,1,0.28,3250,1377.11,3295,1540.08
West Karbi Anglong,22,0,0.00,2,2.00,14,23.83,0,0.00,6,0.51,2,3.65,24,29.99
