district,Lead Bank Name,Sep-23,Dec-23,Mar-23,Jun-23
Baksa,SBI,01.12.2022,08.06.2023,08.06.2023,14.08.2023
Barpeta,UCO,22.12.2022,14.06.2023,14.06.2023,
Biswanath,UCO,19.04.2023,19.04.2023,17.08.2023,17.08.2023
Bongaigaon,SBI,21.12.2022,03.08.2023,03.08.2023,03.08.2023
Cachar,PNB,20.05.2023,20.05.2023,20.05.2023,24.08.2023
Charaideo,PNB,10.11.2022,03.04.2023,16.06.2023,04.08.2023
Chirang,SBI,05.12.2022,27.02.2023,16.06.2023,11.08.2023
Darrang,UCO,13.12.2022,28.02.2023,21.06.2023,
Dhemaji,PNB,13.12.2022,14.03.2023,07.07.2023,
Dhubri,UCO,27.01.2023,04.04.2023,,
Dibrugarh,PNB,29.12.2022,23.06.2023,23.06.2023,11.08.2023
Dima Hasao,SBI,22.12.2022,24.03.2023,12.06.2023,
Goalpara,UCO,22.12.2022,29.03.2023,28.06.2023,30.08.2023
Golaghat,PNB,07.01.2023,26.05.2023,26.05.2023,23.08.2023
Hailakandi,PNB,05.01.2023,30.03.2023,27.06.2023,
Hojai,PNB,20.03.2023,20.03.2023,,
Jorhat,PNB,27.12.2022,03.03.2023,20.05.2023,21.08.2023
Kamrup (Rural),UCO,13.03.2023,13.03.2023,26.06.2023,29.08.2023
Kamrup Metro,UCO,10.03.2023,10.03.2023,27.04.2023,
Karbi Anglong,SBI,19.12.2022,23.03.2023,08.06.2023,10.08.2023
Karimganj,PNB,27.01.2023,20.05.2023,20.05.2023,30.08.2023
Kokrajhar,UCO,17.11.2022,16.03.2023,30.06.2023,
Lakhimpur,PNB,07.01.2023,15.03.2023,03.07.2023,10.08.2023
Majuli,PNB,12.04.2023,12.04.2023,22.05.2023,24.08.2023
Morigaon,PNB,25.04.2023,25.04.2023,28.07.2023,28.07.2023
Nagaon,PNB,29.12.2022,22.03.2023,22.06.2023,
Nalbari,UCO,21.12.2022,24.03.2023,,
Sivasagar,PNB,16.02.2023,16.02.2023,16.06.2023,09.08.2023
Sonitpur,UCO,29.12.2022,22.03.2023,17.08.2023,17.08.2023
South Salmara,UCO,04.04.2023,04.04.2023,,
Tinsukia,PNB,07.12.2022,29.03.2023,28.06.2023,
Udalguri,SBI,20.12.2022,24.05.2023,24.05.2023,22.08.2023
West Karbi Anglong,SBI,19.12.2022,23.03.2023,08.06.2023,10.08.2023
