District,Total Branch,No. of KCC issued during quarter (Including renewal),KCC Disbursed Amount during quarter,Total O/S KCC No.,Total O/S KCC Amt,Number of rupay card Issued,KCC Card activated,KCC Animal Husbandry Issued (Incl Renewal),KCC for animal husbandary Amount disbursed during quarter,AH Total no. of KCC,AH Outstanding amount,AH Number of rupay card Issued,AH Card activated,KCC Fisheries Issued (Incl Renewal),KCC for Fishery Amount disbursed during quarter,Fishery Total no. of KCC,Fishery Outstanding amount,Fishery Number of rupay card Issued,Fishery Card activated
Baksa,57,2140,1478.04,18467,10964.37,7167,5789,3,0.37,487,644.52,18,18,1,4.00,19,23.34,11,11
Barpeta,124,7510,5101.13,67882,42599.66,23820,15378,81,64.97,1486,1586.27,84,86,7,14.25,320,469.40,43,42
Bongaigaon,61,1612,1232.87,15962,10592.43,6510,5652,5,1.35,249,305.10,19,19,3,0.87,149,169.97,2,2
Cachar,163,2043,1038.49,46509,25735.71,26591,23934,17,12.58,1560,3360.48,24,29,63,42.37,479,551.38,80,74
Charaideo,36,1857,1194.76,10471,6742.01,6629,6273,24,24.35,448,533.32,7,7,0,0,91,76.72,3,3
Chirang,36,1411,1131.25,17384,11769.81,7229,6214,5,2.85,211,245.32,2,2,0,0,15,60.58,1,1
Darrang,68,4945,2519.18,38345,23175.86,15975,12280,39,31.93,728,783.23,65,65,84,57.05,653,797.85,19,18
Dhemaji,46,3503,2205.00,33061,19547.41,12596,8540,490,204.34,975,1036.88,33,33,10,31.09,90,88.47,19,19
Dhubri,88,2342,1414.72,30439,18120.82,13855,10259,7,9.17,882,1089.70,23,23,2,0.81,81,346.45,2,2
Dibrugarh,183,7167,4878.19,72412,47527.65,31426,20526,32,17.53,1087,1236.04,55,59,12,5.68,162,160.19,3,3
Dima Hasao,30,32,25.13,1513,647.95,783,713,24,20.30,72,64.06,13,13,12,4.74,18,7.24,6,6
Goalpara,72,2158,1308.73,26007,14698.52,12619,11223,6,4.50,858,1063.35,9,9,4,1.44,450,352.34,6,6
Golaghat,122,5129,2904.08,61731,33133.16,25220,14504,72,54.45,1014,1350.38,13,13,7,2.02,66,71.75,4,4
Hailakandi,45,678,263.27,18093,9925.20,10343,9565,24,14.40,575,607.38,21,21,20,17.37,34,53.48,7,4
Jorhat,134,3695,1734.98,45174,22608.81,22545,12325,40,21.63,887,1164.37,18,17,14,13.59,184,143.76,7,5
Kamrup Metro,175,7059,4401.78,84426,45694.22,33259,24027,42,34.94,851,1137.35,45,48,1,2.05,250,336.70,20,19
Karbi Anglong,65,2896,1538.69,31680,16857.35,3416,2406,13,7.83,181,155.03,4,4,4,2.80,87,79.87,5,5
Karimganj,89,488,232.64,24362,16753.77,15412,14422,5,6.10,1169,1530.71,12,12,36,133.65,162,341.91,26,26
Kokrajhar,53,2228,1910.84,22997,18150.79,8966,8353,3,3.15,88,97.04,9,9,1,1.05,119,89.98,8,8
Lakhimpur,93,5661,3463.83,65313,39715.06,25222,20212,18,25.25,863,1256.87,15,16,8,4.12,256,387.76,3,3
Majuli,16,451,279.12,4825,2513.24,2548,1898,6,1.60,63,85.86,3,3,11,3.89,105,74.30,9,9
Morigaon,67,4157,2467.62,40499,26548.98,23494,20879,34,40.78,1453,1740.33,235,236,6,7.39,355,629.45,84,84
Nagaon,210,10387,5145.37,126067,67498.80,50618,39879,129,14.54,2352,3004.55,167,162,21,8.11,976,1877.89,141,131
Nalbari,87,4527,2472.15,47190,20680.49,12844,10627,25,27.76,579,556.40,135,135,16,11.03,151,130.46,25,25
Sivasagar,105,3106,1444.46,30077,15942.96,12582,8827,77,62.97,490,531.64,20,19,8,3.83,259,431.97,101,101
Sonitpur,185,6007,3405.27,60123,38422.43,23641,18560,46,29.26,1102,1220.29,135,131,8,7.93,198,459.43,13,13
South Salmara,12,115,9.61,2144,750.70,341,308,0,0,477,569.10,0,0,1,2.89,17,19.58,2,2
Tinsukia,149,5092,3611.92,58470,39759.17,26190,21787,104,91.03,1130,1395.10,76,79,14,6.46,167,228.72,2,2
Udalguri,49,1996,1313.04,31341,20851.17,13180,11736,3,0.50,44,128.98,7,7,3,0.71,149,149.33,1,1
West Karbi Anglong,22,1281,661.89,10377,4671.50,820,466,0,0,13,7.04,0,0,0,0,7,0.81,0,0
