district,Total Branch,Crop Loan A/C,Crop Loan Amt,Forestry and wasteland Dev. A/C Nos,Forestry and wasteland Dev. Amt,Water Resource A/C Nos,Water Resource Amount,Farm mechanization A/C Nos,Farm mechanization Amount,Plantation & horticulture A/C Nos,Plantation & horticulture Amount,Animal Husbandry A/C Nos,Animal Husbandry Amount,Fishery A/C Nos,Fishery Amount,Farm Credit Others A/C Nos,Farm Credit Others Amount,Agri. Infrastructure Ac,Agri. Infrastructure Amt,Ancillary Activities Ac,Ancillary Activities Amt,Tot Agri (PS) Disb No.,Tot Agri (PS) Disb Amt
Baksa,57,"2,011","1,863.09",3,1.38,0,0,291,79.28,0,0,73,181.73,2,2.50,472,"1,050.07",0,0,114,107.55,"2,966","3,285.60"
Barpeta,124,"4,700","5,826.80",114,87.94,0,0,"3,206","1,309.13",18,25.33,361,366.14,11,17.00,"1,466","2,282.78",2,34.22,310,"1,963.22","10,188","11,912.56"
Bongaigaon,61,"1,945","3,433.34",29,23.04,0,0,371,167.37,13,15.47,64,64.01,1,0.19,"1,342","1,221.41",2,75.22,349,"1,316.78","4,116","6,316.83"
Cachar,163,"1,527","1,765.75",177,133.98,0,0,953,406.64,4,5.5,89,104.38,17,49.68,"1,788","1,557.65",7,156.67,235,"3,763.81","4,797","7,944.06"
Charaideo,36,"2,076","1,703.67",0,0,0,0,14,25.49,0,0,56,86.57,1,5.00,510,786.27,0,0,152,108.87,"2,809","2,715.87"
Chirang,36,"1,518","1,696.97",0,0,0,0,32,55.27,0,0,18,18.09,1,0.88,651,900.85,3,0.55,283,303.88,"2,506","2,976.49"
Darrang,68,"3,015","3,211.64",49,45.85,1,1.33,2159,708.32,4,7.8,176,173.31,7,2.20,"1,516","1,280.18",55,24.3,287,"1,147.12","7,269","6,602.05"
Dhemaji,46,"2,940","3,311.71",0,0,0,0,995,452.29,0,0,161,418.07,5,5.32,422,766.57,0,0,281,284.39,"4,804","5,238.35"
Dhubri,88,"2,517","3,517.95",87,69.84,0,0,597,539.25,0,0,87,153.90,2,0.36,481,653.67,1,1,460,"1,142.33","4,232","6,078.30"
Dibrugarh,183,"5,863","5,482.57",100,70.56,2,4.31,"1,766",761.10,2,5.27,277,647.66,10,5.84,"1,716","1,882.84",41,52.16,"1,014","7,179.50","10,791","16,091.81"
Dima Hasao,30,52,61.48,0,0,0,0,0,0,0,0,44,56.07,2,0.06,43,92.90,0,0,25,75.60,166,286.11
Goalpara,72,"2,502","2,596.93",24,17.8,0,0,107,188.61,0,0,61,138.57,5,1.64,566,"1,135.47",0,0,268,234.68,"3,533","4,313.70"
Golaghat,122,"4,276","3,588.69",33,25.79,0,0,"1,205",480.87,7,25.82,220,474.02,13,17.93,"2,321","2,505.08",14,53.69,759,"3,332.10","8,848","10,503.99"
Hailakandi,45,682,478.14,0,0,0,0,115,94.33,0,0,50,70.76,5,9.50,296,421.48,1,1.5,117,177.63,"1,266","1,253.34"
Jorhat,134,"2,871","2,136.94",66,41.09,1,0.3,"1,015",335.58,4,1.67,67,119.17,8,11.07,"2,179","2,066.00",41,36.13,919,"7,542.20","7,171","12,290.15"
Kamrup Metro,175,"4,700","4,940.63",324,312.53,0,0,"3,023","1,697.40",3,2.45,327,411.64,1,1.43,"3,063","2,547.94",6,3.3,740,729.47,"12,187","10,646.79"
Karbi Anglong,65,"2,658","1,488.84",4,2.66,0,0,278,127.31,23,34.9,233,437.51,5,5.80,664,"1,138.02",0,0,145,86.23,"4,010","3,321.27"
Karimganj,89,628,682.89,30,22.39,0,0,50,34.78,0,0,68,122.05,40,59.70,517,771.19,0,0,172,451.62,"1,505","2,144.62"
Kokrajhar,53,"2,552","3,731.61",31,33.17,0,0,315,352.21,2,2.28,71,62.47,4,4.48,"1,008",800.01,0,0,220,262.83,"4,203","5,249.06"
Lakhimpur,93,"4,936","3,973.61",1,0.23,0,0,"1,642",748.99,7,13.49,135,329.41,-,1.00,823,"1,137.10",2,4.81,474,812.15,"8,020","7,020.79"
Majuli,16,602,769.40,0,0,0,0,0,0,0,0,39,77.59,-,-,227,172.93,0,0,91,83.78,959,"1,103.70"
Morigaon,67,"3,640","2,785.23",16,12.21,5,12.32,827,447.98,0,0,160,137.82,1,7.39,468,423.03,3,12.03,248,149.97,"5,368","3,987.98"
Nagaon,210,"7,223","6,382.06",22,16.61,0,0,3686,1207.45,17,10.92,590,502.00,22,65.56,"2,935","3,206.27",31,27.72,818,"1,843.03","15,344","13,261.62"
Nalbari,87,"2,475","3,221.19",42,25.95,0,0,"2,446","1,036.14",3,7.99,91,215.57,6,21.33,"1,373","1,516.29",6,5.59,326,"1,211.63","6,768","7,261.68"
Sivasagar,105,"2,625","2,133.82",58,47.73,0,0,"1,019",355.35,0,0,82,110.34,2,0.61,"2,609","1,545.93",14,13.1,624,"1,641.74","7,033","5,848.62"
Sonitpur,185,"4,667","4,760.66",57,43.38,0,0,"2,012",774.13,12,7.79,511,910.08,7,6.22,"2,761","3,035.17",5,60,905,"2,915.46","10,937","12,512.89"
South Salmara,12,154,150.55,0,0,0,0,0,0,0,0,-,-,1,2.89,63,96.36,0,0,5,41.69,223,291.49
Tinsukia,149,"4,001","4,653.35",36,26.22,0,0,"1,574",562.97,4,2.5,149,438.93,4,5.62,"1,189","1,637.36",18,660.11,545,"9,598.92","7,520","17,585.98"
Udalguri,49,"2,030","1,484.57",0,0,0,0,5,2.63,1,4,25,53.66,3,0.71,695,"1,044.31",4,10.8,228,264.24,"2,991","2,864.92"
West Karbi Anglong,22,"1,191",695.25,0,0,0,0,1,1.01,0,0.00,45,87.58,-,-,276,591.56,0,0,2,4.00,"1,515","1,379.40"
