District,Total Branch,CHRISTIANS No.,CHRISTIANS Amt,MUSLIMS No.,MUSLIMS Amt,BUDDHISTS No.,BUDDHISTS Amt,SIKHS No.,SIKHS Amt,ZORASTRIANS No.,ZORASTRIANS Amt,JAINS No.,JAINS Amt,Tot Loan to Minority O/S No.,Tot Loan to Minority O/S Amt
Baksa,57,136,270.90,"6,132","6,029.95",16,50.57,4,10.97,0,0,12,7.31,"6,300","6,369.70"
Barpeta,124,177,574.70,"1,00,614","1,08,587.81",35,41.66,14,60.42,2,2.93,26,181.91,"1,00,868","1,09,449.43"
Bongaigaon,61,874,"1,158.26","24,036","33,761.93",183,148.92,15,54.25,58,15.61,25,91.27,"25,191","35,230.24"
Cachar,163,"2,033","5,058.03","84,712","95,005.18",62,231.89,49,204.46,4,8.81,21,249.05,"86,881","1,00,757.42"
Charaideo,36,154,178.35,"1,646","2,552.41",63,151.09,20,75.19,5,14.58,5,3.40,"1,893","2,975.02"
Chirang,36,"2,836","2,218.12","8,739","8,342.75",33,13.94,4,17.84,5,4.08,3,1.41,"11,620","10,598.14"
Darrang,68,219,401.66,"56,301","53,374.63",49,169.41,14,56.58,1,0.24,16,430.92,"56,600","54,433.44"
Dhemaji,46,121,290.86,617,912.35,15,58.79,17,81.92,1,2.2,5,10.09,776,"1,356.21"
Dhubri,88,"1,029",760.66,"80,238","84,003.59",10,20.46,23,145.33,0,0,19,200.51,"81,319","85,130.55"
Dibrugarh,183,"1,182","2,691.32","10,109","19,099.35",190,617.99,263,"1,210.60",7,319504.15,51,416.08,"11,802","3,43,539.49"
Dima Hasao,30,"2,952","8,058.36",317,920.69,9,42.31,5,21.83,0,0,0,0,"3,283","9,043.19"
Goalpara,72,"4,396","2,549.86","40,977","49,209.58",15,22.17,11,53.63,13,8.8,7,42.31,"45,419","51,886.35"
Golaghat,122,"1,466","1,200.88","12,627","12,278.84",819,407.62,55,80.23,5,2.61,20,132.11,"14,992","14,102.29"
Hailakandi,45,221,404.01,"29,609","37,117.86",3,8.09,5,4.71,0,0,2,4.87,"29,840","37,539.54"
Jorhat,134,877,"2,864.98","8,347","13,838.05",422,665.27,131,972.77,3,34.52,61,"1,565.67","9,841","19,941.26"
Kamrup Metro,175,"1,186","1,639.14","68,607","73,143.93",326,284.60,49,325.73,0,0,48,748.33,"70,216","76,141.73"
Karbi Anglong,65,"3,998","4,794.08","1,650","2,352.70",63,217.15,29,90.26,2,0.74,12,150.99,"5,754","7,605.92"
Karimganj,89,602,558.82,"38,253","39,280.13",13,18.59,14,68.63,1,3.27,8,151.33,"38,891","40,080.77"
Kokrajhar,53,"4,816","4,420.37","16,852","16,036.08",9,9.52,17,69.38,3,230.55,11,80.62,"21,708","20,846.52"
Lakhimpur,93,"1,200","1,519.59","26,610","23,965.62",61,207.13,43,132.48,22,16.22,7,25.80,"27,943","25,866.84"
Majuli,16,9,16.59,37,94.66,3,5.12,0,0,0,0,0,0,49,116.37
Morigaon,67,149,240.93,"32,725","29,626.52",27,41.27,23,48.92,1,0.26,4,2.73,"32,929","29,960.63"
Nagaon,210,"1,320","1,531.19","1,52,605","1,39,010.20",78,141.15,179,708.53,19,7.11,38,80.44,"1,54,239","1,41,478.62"
Nalbari,87,94,241.67,"31,691","32,678.09",22,39.53,32,40.21,3,2.23,27,744.86,"31,869","33,746.59"
Sivasagar,105,357,524.59,"21,153","27,541.04",481,460.66,56,160.37,3,7.67,22,57.30,"22,072","28,751.63"
Sonitpur,185,"1,647","3,543.71","43,725","38,335.89",206,894.96,128,622.14,5,3.46,40,469.78,"45,751","43,869.94"
South Salmara,12,20,102.90,"5,516","11,612.43",1,0.96,1,12.75,0,0,1,0.47,"5,539","11,729.51"
Tinsukia,149,"1,184","3,631.25","5,433","9,474.45",455,"1,892.17",166,"2,181.06",1,0.7,33,326.14,"7,272","17,505.77"
Udalguri,49,"5,453","8,606.07","6,821","10,790.85",6,3.13,4,1.83,4,4.02,5,4.28,"12,293","19,410.18"
West Karbi Anglong,22,414,920.22,43,207.46,1,1.11,6,14.69,1,0.37,0,0,465,"1,143.85"
