District,Total Branch,SC Disb No.,SC Disb Amt,SC O/S No.,SC O/S Amt,ST Disb No.,ST Disb Amt,ST O/S No.,ST O/S Amt
Baksa,57,223,219.82,3669,4844.49,844,924.65,14718,26131.75
Barpeta,124,435,369.97,6676,8022.90,184,358.52,5038,9587.09
Bongaigaon,61,394,439.94,4641,8084.94,319,1079.43,5623,14605.26
Cachar,163,1815,1369.60,21348,21998.15,220,335.97,6866,7653.80
Charaideo,36,68,51.35,1055,1170.15,69,86.59,1252,1614.42
Chirang,36,203,237.06,2131,2842.74,848,1036.08,12588,26791.06
Darrang,68,132,129.03,3046,3438.36,110,134.72,2590,3582.57
Dhemaji,46,297,296.02,5019,6296.29,1891,2143.80,24316,45897.76
Dhubri,88,202,241.81,5495,6080.81,93,92.84,3081,4929.44
Dibrugarh,183,881,905.90,12882,16192.37,1239,1535.04,15453,27224.21
Dima Hasao,30,13,42.89,1226,2215.96,307,857.66,5924,18764.72
Goalpara,72,208,144.78,3994,4293.19,889,766.50,13075,14582.33
Golaghat,122,912,584.42,10108,10294.64,1387,941.26,15008,15912.78
Hailakandi,45,367,247.60,4981,4950.42,51,74.17,1544,1079.34
Jorhat,134,889,877.80,11573,13017.70,881,777.38,15766,18371.78
Kamrup Metro,175,818,788.08,11404,12189.96,1029,1225.46,14381,19585.86
Karbi Anglong,65,65,142.54,1534,3573.69,952,1251.46,21274,50216.78
Karimganj,89,830,583.14,9275,6780.46,54,48.83,2280,1002.27
Kokrajhar,53,165,135.75,2989,4993.14,1210,1994.25,21344,62819.58
Lakhimpur,93,732,722.02,13647,13965.69,1635,1810.22,24182,40390.50
Majuli,16,86,139.31,1334,1461.42,215,548.88,2735,8207.94
Morigaon,67,586,448.24,7542,6399.49,1292,1097.22,12121,11418.46
Nagaon,210,1619,1550.72,22605,21649.95,868,832.70,16162,17300.03
Nalbari,87,243,310.05,4350,4920.53,138,129.56,4092,5244.74
Sivasagar,105,453,374.14,7272,9526.33,316,449.31,5719,8970.76
Sonitpur,185,1109,1016.35,12765,16763.21,1571,1200.75,19412,22298.05
South Salmara,12,0,0,58,275.26,0,0,69,326.74
Tinsukia,149,296,448.48,4616,6976.76,568,905.10,8411,17468.24
Udalguri,49,164,205.65,3089,3644.97,1446,1943.74,29589,41940.33
West Karbi Anglong,22,17,27.52,273,705.34,99,207.26,4296,11499.46
