district,Total Branch,Rural No,Urban No,Male No,Female No,Total PMJDY No.,No of Zero Balance A/c,Amt Deposits held in the A/c,No of Rupay Card Issued,No of Rupay Card Activated,No of Aadhaar Seeded
Baksa,57,"5,32,727",0,"2,06,172","3,26,363","5,32,535","39,651","14,907","3,01,897","1,74,496","1,72,917"
Barpeta,124,"11,72,354","3,65,357","6,99,195","9,06,313","16,05,508","1,92,662","39,841","8,50,918","4,36,011","4,91,809"
Bongaigaon,61,"2,15,036","1,43,418","1,72,120","2,44,231","4,16,351","32,382","15,996","2,68,024","1,35,752","97,748"
Cachar,163,"7,78,826","3,55,635","5,19,990","6,14,543","11,34,533","72,713","53,090","5,70,004","4,02,972","2,90,077"
Charaideo,36,"2,54,525","63,133","1,29,432","1,88,201","3,17,633","25,675","12,305","1,54,194","95,977","75,122"
Chirang,36,"3,82,992","14,870","1,55,426","2,42,299","3,97,725","26,286","11,858","2,46,570","1,22,986","1,15,027"
Darrang,68,"6,56,898","2,14,752","3,69,566","5,02,040","8,71,606","83,130","21,876","3,81,571","2,04,495","2,04,697"
Dhemaji,46,"5,63,608","1,23,863","2,94,859","3,92,486","6,87,345","46,284","18,665","3,98,583","1,89,866","1,03,142"
Dhubri,88,"13,60,609","2,76,984","6,94,757","9,42,119","16,36,876","2,22,569","34,041","6,51,097","3,08,116","3,91,913"
Dibrugarh,183,"4,77,159","2,24,512","2,92,045","4,13,727","7,05,772","62,624","28,797","4,22,855","2,71,526","1,33,116"
Dima Hasao,30,"51,241","18,711","34,279","38,010","72,289","1,299","5,832","39,572","26,069","18,692"
Goalpara,72,"5,50,409","2,08,362","3,09,661","4,48,872","7,58,533","75,525","17,447","3,72,633","2,08,798","2,14,698"
Golaghat,122,"5,43,524","1,19,755","2,77,465","3,98,797","6,76,262","50,796","24,916","3,22,163","1,97,915","1,95,090"
Hailakandi,45,"3,55,031","1,46,503","2,31,561","2,80,019","5,11,580","54,679","15,474","2,28,244","1,53,340","1,66,258"
Jorhat,134,"2,82,050","2,47,025","2,24,153","3,04,884","5,29,037","50,153","17,381","3,02,892","2,06,284","1,26,911"
Kamrup Metro,175,"8,59,140","1,07,239","4,05,181","5,60,595","9,65,776","76,462","32,929","5,79,718","3,83,450","2,52,031"
Karbi Anglong,65,"2,10,839","42,728","1,13,429","1,63,892","2,77,321","13,967","11,540","92,023","49,237","63,836"
Karimganj,89,"6,61,005","82,979","3,40,256","4,03,485","7,43,741","57,025","34,152","3,42,115","2,41,451","1,97,841"
Kokrajhar,53,"5,07,434","94,195","2,73,628","3,58,356","6,31,984","75,578","19,467","3,14,937","1,34,796","2,05,894"
Lakhimpur,93,"5,74,035","2,18,579","3,52,907","4,66,201","8,19,108","51,309","30,429","5,05,988","2,85,121","1,77,479"
Majuli,16,"1,36,053","17,118","67,622","85,532","1,53,154","16,463","5,369","79,083","45,385","41,752"
Morigaon,67,"7,65,219","2,22,489","4,23,339","5,64,162","9,87,501","54,439","28,517","4,13,049","3,06,537","2,07,489"
Nagaon,210,"16,87,147","8,49,190","10,97,775","14,38,348","25,36,123","2,23,583","69,678","11,98,166","6,13,078","6,71,432"
Nalbari,87,"4,08,899","81,274","2,12,531","2,98,331","5,10,862","49,748","18,346","2,08,653","1,27,248","1,79,368"
Sivasagar,105,"2,74,148","85,984","1,59,610","2,13,293","3,72,903","22,170","18,205","2,46,865","1,55,875","98,528"
Sonitpur,185,"8,93,159","2,75,059","5,09,706","7,49,222","12,58,928","1,43,018","44,809","5,89,209","2,94,405","3,39,110"
South Salmara,12,"2,48,294","22,247","1,05,944","1,64,548","2,70,492","37,727","4,252","1,05,506","44,025","77,043"
Tinsukia,149,"4,40,629","3,32,121","3,31,808","4,40,007","7,71,815","62,557","24,585","4,21,821","2,95,046","1,75,278"
Udalguri,49,"6,17,534","1,07,903","2,95,660","4,29,641","7,25,301","91,192","18,140","3,38,524","1,75,124","1,74,287"
West Karbi Anglong,22,"1,14,249",0,"48,841","65,400","1,14,241","5,992","3,059","38,491","17,007","27,764"
