District,Total Branch,Agri NPS No.,Agri NPS Amt,Education NPS No.,Education NPS Amt,Housing NPS No.,Housing NPS Amt,Personal Loan No.,Personal Loan Amt,Other NPS No.,Other NPS Amt,Total Non Prio Sec NPA No.,Total Non Prio Sec NPA Amt
Baksa,57,0,0.00,0,0.00,8,36.65,384,379.75,792,708.65,1184,1125.05
Barpeta,124,11,7.02,6,31.45,27,155.74,604,583.13,5350,4063.01,5998,4840.35
Bongaigaon,61,5,0.82,0,0.00,5,53.59,209,175.97,3058,2009.38,3277,2239.76
Cachar,163,4,268.65,1,2.18,17,225.11,286,335.00,14459,10837.77,14767,11668.71
Charaideo,36,0,0.00,0,0.00,7,647.11,65,69.88,702,263.56,774,980.55
Chirang,36,2,5.89,0,0.00,1,4,95,71.91,1340,915.99,1438,997.79
Darrang,68,6,6.17,2,3.75,11,123.13,376,279.39,3205,2351.38,3600,2763.82
Dhemaji,46,1,0.92,0,0.00,3,18.36,129,195.18,774,1058.96,907,1273.42
Dhubri,88,19,51.50,2,7.46,6,4.29,503,464.32,7619,5684.34,8149,6211.91
Dibrugarh,183,1,1.50,1,19.67,26,376.01,601,685.28,6087,2639.36,6716,3721.82
Dima Hasao,30,1,2.61,1,2.81,8,55,51,122.04,313,208.24,374,390.70
Goalpara,72,4,3.66,0,0.00,0,0,197,173.11,2592,1942.28,2793,2119.05
Golaghat,122,7,2.36,0,2.10,9,87.87,299,263.72,2529,1322.26,2844,1678.31
Hailakandi,45,322,140.40,2,1.74,1,27.24,110,158.22,2671,1792.52,3106,2120.12
Jorhat,134,7,3.16,3,42.81,20,249.82,523,463.48,4506,4494.18,5059,5253.45
Kamrup Metro,175,6,14.51,0,0.00,16,212.56,686,883.53,9974,7772.59,10682,8883.19
Karbi Anglong,65,1,1.07,0,0.00,7,50.58,116,196.31,716,718.49,840,966.45
Karimganj,89,2,2.00,0,0.00,5,79.71,144,207.39,7377,5937.47,7528,6226.57
Kokrajhar,53,5,13.05,0,0.00,2,41.27,227,168.59,2214,1907.08,2448,2129.99
Lakhimpur,93,4,1.82,0,0.00,7,54.37,308,375.02,2617,1880.86,2936,2312.07
Majuli,16,0,0.00,0,0.00,1,4,82,35.32,131,164.94,214,204.26
Morigaon,67,18,23.35,0,0.00,4,27,431,896.36,2326,1647.80,2779,2594.51
Nagaon,210,54,33.68,2,9.17,15,162.66,686,984.39,10985,7422.70,11742,8612.60
Nalbari,87,4,19.42,1,1.94,25,248.81,592,869.05,3383,2701.85,4005,3841.07
Sivasagar,105,4,1.23,1,0.11,11,138.71,292,372.87,3504,1770.41,3812,2283.33
Sonitpur,185,9,13.81,0,0.00,19,115.89,718,563.80,6005,4085.71,6751,4779.21
South Salmara,12,0,0.00,0,0.00,0,0,80,76.32,174,224.20,254,300.52
Tinsukia,149,2,3.48,3,5.48,15,211.28,348,508.00,4324,2491.83,4692,3220.07
Udalguri,49,6,11.66,0,0.00,1,5,183,147.34,1272,928.90,1462,1092.90
West Karbi Anglong,22,0,0.00,0,0.00,0,0,21,49.22,157,139.57,178,188.79
