district,Total Branch,Current Year Crop Loan Achievement Amount,Kharif No. of Farmers covered under PMFBY,Kharif Amount insured under PMFBY,Kharif Insurance Number (Others),Kharif Insurance Amount (Others),Rabi No. of Farmers covered under PMFBY,Rabi Amount insured under PMFBY,Rabi Insurance Number (Others),Rabi Insurance Amount (Others)
Baksa,57,"2,995.37",39,15.65,0,0.00,3,1.00,0,0.00
Barpeta,124,"15,140.37",79,15.89,0,0.00,128,11.50,0,0.00
Bongaigaon,61,"2,635.11",102,63.94,0,0.00,20,18.00,0,0.00
Cachar,163,"7,526.43",295,174.81,0,0.00,0,0.00,0,0.00
Charaideo,36,"1,483.48",0,0,0,0.00,0,0.00,0,0.00
Chirang,36,"2,744.68",29,14.52,0,0.00,0,0.00,0,0.00
Darrang,68,"6,078.03",11,2.66,0,0.00,0,0.00,0,0.00
Dhemaji,46,"7,205.41",71,34.73,0,0.00,0,0.00,0,0.00
Dhubri,88,"6,452.46",242,146.6,0,0.00,78,47.00,0,0.00
Dibrugarh,183,"22,200.83",31,14.24,0,0.00,0,0.00,0,0.00
Dima Hasao,30,141.78,0,0,0,0.00,0,0.00,0,0.00
Goalpara,72,"3,651.25",1,0.01,0,0.00,80,54.00,0,0.00
Golaghat,122,"10,795.40",5,0.08,0,0.00,0,0.00,0,0.00
Hailakandi,45,"2,111.89",69,37.62,0,0.00,42,29.00,0,0.00
Jorhat,134,"8,878.87",131,85.33,0,0.00,0,0.00,0,0.00
Kamrup,175,"14,458.99",6,3.17,0,0.00,0,0.00,0,0.00
Kamrup Metro,419,"3,585.34",0,0,0,0.00,43,29.00,0,0.00
Karbi Anglong,65,"4,653.95",1,0,0,0.00,0,0.00,0,0.00
Karimganj,89,"1,750.94",34,11.44,0,0.00,0,0.00,0,0.00
Kokrajhar,53,"4,112.66",124,71.75,0,0.00,98,100.75,0,0.00
Lakhimpur,93,"16,209.95",2683,1111.26,0,0.00,578,772.48,0,0.00
Majuli,16,779.44,17,5.9,0,0.00,0,0.00,0,0.00
Morigaon,67,"5,939.04",132,41.27,0,0.00,55,25.00,0,0.00
Nagaon,210,"21,980.06",22,12.59,0,0.00,0,0.00,0,0.00
Nalbari,87,"5,724.89",0,0,0,0.00,0,0.00,0,0.00
Sivasagar,105,"4,221.12",5,1.67,0,0.00,0,0.00,0,0.00
Sonitpur,185,"8,617.68",436,276.95,0,0.00,216,172.00,0,0.00
South Salmara,12,269.99,13,3.75,0,0.00,0,0.00,0,0.00
Tinsukia,149,"15,818.34",0,0,0,0.00,0,0.00,0,0.00
Udalguri,49,"10,860.71",1,0.41,0,0.00,0,0.00,0,0.00
West Karbi Anglong,22,"1,293.42",0,0,0,0.00,0,0.00,0,0.00
