District,Total Branch,Sep-I No.,Sep-I Amt,Sep-G No.,Sep-G Amt,Sep-G No. of Beneficiary,SHG No.,SHG Amt,SHG No. of Beneficiary,Women SHG No.,Women SHG Amt,Women SHG No. of Beneficiary,Total Current Year NULM Disb No.,Total Current Year NULM Disb Amt,NULM O/S No.,NULM O/S Amt,NULM NPA No.,NULM NPA Amt,NULM NPA Pct
Baksa,57,0,0.00,0,0.00,0,2,0.16,2,0,0.00,0,2,0.16,48,41.84,7,1.19,2.84
Barpeta,124,4,2.00,0,0.00,0,23,11.80,125,11,11.60,113,27,13.80,865,1065.13,202,56.29,5.28
Bongaigaon,61,1,2.00,1,2.00,10,6,8.05,53,6,10.00,52,8,12.05,75,70.29,23,11.66,16.59
Cachar,163,5,7.31,0,0.00,0,13,25.78,115,12,15.78,87,18,33.09,263,457.29,23,15.27,3.34
Charaideo,36,3,2.51,0,0.00,0,0,0.00,0,0,0.00,0,3,2.51,6,6.19,0,0.00,0.00
Chirang,36,0,0.00,0,0.00,0,1,1.00,10,1,1.00,10,1,1.00,38,37.27,3,3.11,8.34
Darrang,68,0,0.00,0,0.00,0,20,49.42,156,19,48.42,155,20,49.42,316,614.26,5,5.80,0.94
Dhemaji,46,0,0.00,1,0.47,0,28,78.08,200,28,78.08,200,29,78.55,129,226.38,2,2.54,1.12
Dhubri,88,0,0.00,1,0.01,0,4,4.83,28,3,2.83,27,5,4.84,245,151.80,193,108.29,71.34
Dibrugarh,183,43,77.27,0,0.00,0,29,59.36,299,31,60.36,301,72,136.63,509,1061.32,42,24.59,2.32
Dima Hasao,30,4,4.94,1,6.00,10,1,6.00,10,1,6.00,10,6,16.94,36,48.81,1,1.81,3.71
Goalpara,72,0,0.00,1,3.00,10,13,14.10,94,6,8.00,60,14,17.10,59,48.73,8,4.93,10.12
Golaghat,122,0,0.00,0,0.00,0,8,30.00,24,2,5.00,9,8,30.00,116,288.98,11,7.13,2.47
Hailakandi,45,0,0.00,0,0.00,0,10,21.20,76,2,0.15,5,10,21.20,246,327.63,20,24.60,7.51
Jorhat,134,0,0.00,4,4.93,32,13,18.86,85,13,18.86,85,17,23.79,1035,2016.27,11,5.68,0.28
Kamrup Metro,175,2,0.04,1,1.30,5,14,18.59,81,11,18.58,74,17,19.93,261,573.74,19,11.84,2.06
Karbi Anglong,65,2,2.70,0,0.00,0,1,4.50,10,0,0.00,0,3,7.20,22,33.20,1,1.84,5.54
Karimganj,89,0,0.00,0,0.00,0,6,5.01,31,1,4.00,8,6,5.01,138,203.69,41,12.94,6.35
Kokrajhar,53,0,0.00,1,2.50,0,3,14.69,21,2,12.00,20,4,17.19,55,55.57,10,11.02,19.83
Lakhimpur,93,2,1.80,0,0.00,0,9,17.24,73,9,22.34,53,11,19.04,116,140.17,13,7.92,5.65
Majuli,16,0,0.00,0,0.00,0,0,0.00,0,1,5.00,1,0,0.00,0,0.00,0,0.00,0.00
Morigaon,67,0,0.00,0,0.00,0,6,11.36,21,3,4.36,21,6,11.36,296,293.48,61,14.08,4.80
Nagaon,210,0,0.00,2,4.50,20,6,14.85,47,6,14.85,47,8,19.35,462,954.16,8,4.97,0.52
Nalbari,87,0,0.00,0,0.00,0,3,2.93,19,1,2.93,8,3,2.93,241,519.32,17,16.44,3.17
Sivasagar,105,3,3.72,6,17.60,30,10,15.94,132,9,13.94,131,19,37.26,166,245.11,8,7.49,3.06
Sonitpur,185,0,0.00,7,33.00,100,24,78.60,228,20,60.60,179,31,111.60,324,532.46,6,4.60,0.86
South Salmara,12,0,0.00,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,4,5.08,0,0.00,0.00
Tinsukia,149,14,7.80,2,3.45,10,15,23.09,120,10,14.09,70,31,34.34,1022,2037.95,47,38.21,1.87
Udalguri,49,0,0.00,0,0.00,0,10,21.83,72,9,21.83,71,10,21.83,30,44.47,4,3.50,7.87
West Karbi Anglong,22,0,0.00,0,0.00,0,0,0,0,0,0.00,0,0,0,45,99.73,0,0.00,0.00
