district,Total Branch,Apex,AGVB,Band,BOB,BOI,BOM,Canara,CBI,Federal,HDFC,ICICI,Indian,IOB,Indus,IDBI,KBL,KMB,NESFB,PSB,PNB,SIB,SBI,UCO,Union,YES,Total
Baksa,57,0,43,0,0,7,0,12,15,0,5,0,7,0,0,0,0,0,4,0,13,0,38,26,8,0,178
Barpeta,124,6,56,4,11,9,0,27,14,0,9,0,12,20,6,4,0,0,5,0,32,0,98,32,49,0,394
Bongaigaon,61,3,17,3,10,8,7,8,7,7,5,0,8,8,6,4,0,0,0,0,18,0,32,10,10,0,171
Cachar,163,3,44,3,10,16,0,12,20,6,4,3,13,10,5,3,0,0,4,5,54,0,73,20,12,5,325
Charaideo,36,0,20,0,0,0,0,6,0,0,4,0,0,0,5,3,0,0,0,0,17,0,23,6,0,0,84
Chirang,36,0,21,0,0,0,0,7,10,0,4,0,8,0,6,,0,0,0,0,8,0,20,12,0,0,96
Darrang,68,2,35,2,11,5,0,12,16,0,4,0,10,0,0,3,0,0,4,0,16,0,30,15,10,0,175
Dhemaji,46,3,25,0,0,0,0,7,8,0,4,0,17,0,0,5,0,0,4,0,14,0,31,13,0,0,131
Dhubri,88,3,39,3,0,0,0,9,10,0,4,0,18,0,6,4,0,0,4,5,25,0,90,33,14,0,267
Dibrugarh,183,3,24,3,9,8,7,17,17,5,6,4,27,12,6,3,0,6,4,4,27,0,65,14,12,5,288
Dima Hasao,30,2,12,0,5,7,0,4,4,0,5,0,0,0,0,0,0,0,0,0,5,0,13,0,0,0,57
Goalpara,72,2,32,2,0,8,0,7,23,0,5,0,8,0,0,3,0,0,3,0,17,0,41,31,8,0,190
Golaghat,122,3,39,2,9,5,0,9,9,0,5,3,22,8,6,3,0,0,3,0,27,0,39,7,8,0,207
Hailakandi,45,2,22,0,7,7,0,7,10,0,5,0,7,0,5,,0,0,0,0,17,0,29,8,14,0,140
Jorhat,134,3,16,3,10,4,5,14,10,5,6,0,11,6,5,3,0,5,4,6,24,0,42,9,12,5,208
Kamrup Metro,175,3,39,3,10,9,0,20,36,0,7,0,20,19,0,0,0,0,4,5,30,5,63,21,11,0,305
Karbi Anglong,65,2,42,0,6,6,0,6,8,0,5,0,0,0,5,2,0,0,3,0,8,0,24,8,0,0,125
Karimganj,89,2,44,2,0,8,0,12,17,0,5,0,13,0,5,2,0,0,0,0,41,0,51,8,10,0,220
Kokrajhar,53,3,29,2,8,8,0,8,11,0,6,0,11,0,0,0,0,0,0,0,11,0,41,27,8,0,173
Lakhimpur,93,3,35,2,8,6,0,7,7,0,5,0,22,7,5,2,0,0,4,0,33,0,41,7,7,0,201
Majuli,16,0,6,0,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,10,0,9,6,0,0,43
Morigaon,67,3,32,2,7,8,0,15,8,0,6,0,8,8,0,0,0,0,4,0,30,0,25,11,14,0,181
Nagaon,210,5,128,5,13,12,7,42,37,0,13,0,33,9,6,6,0,0,6,7,107,0,167,22,26,6,657
Nalbari,87,3,25,2,6,9,0,8,18,0,6,0,8,7,5,2,0,0,3,0,14,0,29,15,8,0,168
Sivasagar,105,3,16,2,7,7,4,12,6,0,4,0,12,6,4,2,0,0,3,0,20,0,36,9,7,5,165
Sonitpur,185,6,58,6,9,11,5,17,21,5,10,4,26,8,4,2,0,0,7,4,36,0,66,32,8,5,350
South Salmara,12,0,19,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,41,0,0,103
Tinsukia,149,3,25,2,10,9,6,12,15,6,7,4,18,8,5,3,0,0,3,4,38,0,51,14,24,6,273
Udalguri,49,2,34,0,0,7,0,8,18,0,6,0,0,0,0,0,0,0,3,0,8,0,45,22,7,0,160
West Karbi Anglong,22,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,6,0,50
