district,Total Branch,Farm Credit Crop No,Farm Credit Crop Amt,Farm Credit Term Loan No,Farm Credit Term Loan Amt,Agri Infra No,Agri Infra Amt,Ancillary No,Ancillary Amt,Agri Total O/S No.,Agri Total O/S Amount
Baksa,5 7,"19,354","14,572.54","13,496","10,620.86",2,8.78,"3,504","1,422.85","36,356","26,625.03"
Barpeta,1 24,"49,714","40,448.50","51,812","28,937.38",34,90.60,"6,332","7,132.45","1,07,892","76,608.93"
Bongaigaon,6 1,"12,846","12,807.38","14,724","10,583.87",3,1.04,"2,833","4,394.43","30,406","27,786.72"
Cachar,1 63,"48,064","33,113.24","25,663","15,255.36",36,"2,415.20","7,612","13,112.25","81,375","63,896.05"
Charaideo,3 6,"10,618","6,923.54","6,424","6,440.86",10,4.05,"2,549","1,428.66","19,601","14,797.11"
Chirang,3 6,"19,517","14,422.67","7,150","7,037.73",16,7.95,"1,668","1,535.32","28,351","23,003.67"
Darrang,6 8,"31,205","24,806.74","31,436","16,240.12",319,187.33,"4,125","4,326.28","67,085","45,560.47"
Dhemaji,4 6,"23,942","18,622.66","16,437","11,615.05",5,2.22,"4,881","3,613.71","45,265","33,853.64"
Dhubri,8 8,"30,235","20,427.50","17,221","11,954.20",81,13.06,"4,252","4,836.94","51,789","37,231.70"
Dibrugarh,1 83,"64,602","49,377.25","37,365","20,159.08",238,"2,534.68","12,862","22,950.18","1,15,067","95,021.19"
Dima Hasao,3 0,"1,558",747.21,"1,443","1,608.06",0,0,245,388.78,"3,246","2,744.05"
Goalpara,7 2,"28,268","19,416.55","13,695","10,883.22",17,15.88,"5,078","3,336.87","47,058","33,652.52"
Golaghat,1 22,"49,705","31,121.01","37,413","24,462.07",81,106.63,"10,025","15,428.39","97,224","71,118.10"
Hailakandi,4 5,"17,655","10,795.68","4,847","4,311.07",4,2.07,"1,884","2,075.63","24,390","17,184.45"
Jorhat,1 34,"41,025","31,523.30","33,705","22,070.79",288,"1,270.78","7,587","27,202.64","82,605","82,067.51"
Kamrup Metro,1 75,"66,079","49,216.04","58,318","26,850.52",34,51.34,"13,133","9,232.91","1,37,564","85,350.81"
Karbi Anglong,6 5,"33,673","17,716.74","14,433","15,408.78",2,0.37,"2,000",687.68,"50,108","33,813.57"
Karimganj,8 9,"24,969","18,106.95","11,771","8,379.08",13,9.88,"4,663","7,360.97","41,416","33,856.88"
Kokrajhar,5 3,"23,821","20,296.77","9,540","7,439.47",12,1.97,"1,535","1,394.88","34,908","29,133.09"
Lakhimpur,9 3,"53,981","39,329.98","36,715","18,810.07",18,23.05,"10,694","7,955.94","1,01,408","66,119.04"
Majuli,1 6,"4,789","2,726.82","3,181","3,010.79",2,1.78,541,752.24,"8,513","6,491.63"
Morigaon,6 7,"37,314","27,878.79","21,759","13,559.45",39,79.61,"7,518","6,872.10","66,630","48,389.95"
Nagaon,2 10,"96,321","65,190.88","83,618","41,432.95",188,"1,331.31","16,830","17,335.44","1,96,957","1,25,290.58"
Nalbari,8 7,"28,908","20,596.10","42,512","19,030.17",14,110.10,"3,684","3,767.01","75,118","43,503.38"
Sivasagar,1 05,"23,586","15,907.87","37,016","16,194.23",58,81.19,"9,378","9,299.23","70,038","41,482.52"
Sonitpur,1 85,"54,057","42,968.51","53,862","39,361.86",73,835.02,"11,309","13,030.48","1,19,301","96,195.87"
South Salmara,1 2,"2,447","1,155.18",891,"1,311.94",0,0,31,113.39,"3,369","2,580.51"
Tinsukia,1 49,"46,412","41,765.96","29,043","17,023.59",176,"1,584.26","6,835","21,495.50","82,466","81,869.31"
Udalguri,4 9,"33,704","23,835.51","14,978","10,944.44",3,1.37,"2,452","1,239.76","51,137","36,021.08"
West Karbi Anglong,2 2,"10,689","4,845.54","3,963","4,133.42",1,0,162,59.42,"14,815","9,038.38"
