district,Total Branch,CY Disbursement No.,CY Disbursement Amt.,Outstanding No.,Outstanding Amt.
Baksa,57,102,157.70,"6,192","2,254.48"
Barpeta,124,454,529.34,"18,299","6,166.64"
Bongaigaon,61,877,534.55,"8,017","2,820.05"
Cachar,163,"1,933","1,022.90","12,292","4,313.48"
Charaideo,36,428,294.70,"3,400","1,416.98"
Chirang,36,316,211.00,"3,009","1,240.10"
Darrang,68,690,341.15,"10,594","3,187.22"
Dhemaji,46,275,158.36,"7,753","2,573.00"
Dhubri,88,151,253.24,"3,629","2,241.10"
Dibrugarh,183,245,373.39,"15,586","4,340.17"
Dima Hasao,30,44,79.30,472,384.36
Goalpara,72,497,450.45,"9,215","3,707.19"
Golaghat,122,603,759.85,"19,343","6,148.10"
Hailakandi,45,57,89.60,"1,276",735.83
Jorhat,134,217,367.34,"31,855","7,023.62"
Kamrup,175,"1,397",617.30,"35,885","8,376.39"
Kamrup Metro,419,910,603.14,"1,02,703","10,221.64"
Karbi Anglong,65,661,"1,122.02","5,125","4,870.89"
Karimganj,89,587,378.04,"5,624","2,611.57"
Kokrajhar,53,"1,113",582.44,"5,686","2,186.20"
Lakhimpur,93,107,186.45,"18,185","6,894.72"
Majuli,16,196,65.10,"1,963",434.47
Morigaon,67,24,32.60,"4,660","1,955.46"
Nagaon,210,764,583.11,"30,201","8,672.74"
Nalbari,87,531,268.28,"16,087","3,939.57"
Sivasagar,105,365,810.23,"11,702","5,878.29"
Sonitpur,185,965,524.92,"24,691","6,868.32"
South Salmara,12,0,0,103,127.26
Tinsukia,149,778,536.94,"9,961","3,211.91"
Udalguri,49,584,291.72,"7,134","2,181.74"
West Karbi Anglong,22,104,169.80,"1,655","1,212.25"
