District,Total Branch,Micro Tl A/C,Micro Tl Amt,Micro Wc A/C,Micro Wc Amt,Small Tl A/C,Small Tl Amt,Small Wc A/C,Small Wc Amt,Medium Tl A/C,Medium Tl Amt,Medium Wc A/C,Medium Wc Amt,KVIC Tl A/C,KVIC Tl Amt,KVIC Wc A/C,KVIC Wc Amt,Others under MSMEs A/C,Others under MSMEs Amt,Clf Tl A/C,Clf Tl Amt,Clf Wc A/C,Clf Wc Amt,Tot Msme (PS) Disb No.,Tot Msme (PS) Disb Amt
Baksa,57,298,1167.09,65,444.37,10,283.85,13,1399.17,0,0,1,1500.00,4,10.08,0,0,0,0.00,5,5.50,0,0.00,396,4810.06
Barpeta,124,1090,7210.61,569,6544.58,107,4754.24,41,3128.88,6,633.61,5,1100.10,24,71.80,6,18.23,2,11.48,12,12.60,3,6.50,1865,23492.63
Bongaigaon,61,608,4593.32,227,2911.18,63,5450.57,27,1548.20,4,955.80,2,156.78,2,1.05,2,1.22,0,0.00,0,0.00,0,0.00,935,15618.12
Cachar,163,1771,9122.30,620,5340.97,158,11221.84,67,6870.47,19,4985.66,8,1030.52,20,49.52,0,0,1,5.00,13,20.40,3,5.50,2680,38652.18
Charaideo,36,281,1879.19,100,1328.57,17,127.85,15,67.35,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0.00,413,3402.96
Chirang,36,316,1485.10,62,186.67,21,638.46,5,90.80,1,750,1,250,0,0,0,0,0,0.00,0,0.00,0,0.00,406,3401.03
Darrang,68,617,5442.58,258,2261.40,66,3200.36,23,1919.33,2,701.70,1,225.00,10,17.86,7,5.65,0,0.00,0,0.00,0,0.00,984,13773.88
Dhemaji,46,502,2297.65,242,1379.93,26,793.42,15,1099.21,0,0,0,0,1,1.13,0,0,2,4.81,5,4.60,0,0.00,793,5580.75
Dhubri,88,685,5864.25,185,967.03,65,5563.12,12,1156.37,2,675.00,1,390.00,2,4.06,0,0,0,0.00,12,16.58,8,5.80,972,14642.21
Dibrugarh,183,1992,14379.56,652,7105.27,180,14786.24,126,9226.67,14,1511.41,14,1151.85,22,95.17,3,9.58,1,5.00,29,35.10,10,12.16,3043,48318.01
Dima Hasao,30,280,542.35,50,156.20,1,19.30,1,19.7,0,0,0,0,1,0.27,0,0,0,0.00,0,0.00,0,0.00,333,737.82
Goalpara,72,606,2839.82,183,1217.59,32,2076.46,19,1882.51,1,3.92,7,1193.82,12,19.42,0,0,0,0.00,11,10.25,3,5.50,874,9249.29
Golaghat,122,1078,5453.37,357,1355.56,94,3622.92,24,1039.46,1,100.00,1,5,7,8.45,1,0.25,0,0.00,6,5.20,0,0.00,1569,11590.21
Hailakandi,45,421,2031.80,215,2186.12,11,559.12,26,3161.03,0,0,1,2.00,8,22.23,2,8.31,0,0.00,0,0.00,0,0.00,684,7970.61
Jorhat,134,1056,10308.33,481,5141.26,172,11395.09,53,3995.32,22,10475.31,5,2195.45,2,6.06,0,0,1,2.00,0,0.00,0,0.00,1792,43518.82
Kamrup Metro,175,1186,7173.24,474,7299.32,104,3070.67,78,7660.57,9,529.84,5,327.40,47,116.63,1,0.25,0,0.00,36,40.80,17,13.50,1957,26232.22
Karbi Anglong,65,663,1583.79,113,788.20,6,130.15,6,447.75,0,0,0,0,6,5.55,3,2.55,0,0.00,0,0.00,0,0.00,797,2957.99
Karimganj,89,595,3358.44,254,1902.17,62,3318.57,26,669.48,1,39.00,1,13.00,9,26.75,0,0,0,0.00,0,0.00,0,0.00,948,9327.41
Kokrajhar,53,467,2572.17,132,803.84,31,841.65,9,1125.68,0,0,0,0,4,5.15,0,0,0,0.00,0,0.00,0,0.00,643,5348.49
Lakhimpur,93,928,4594.82,345,3947.52,68,2904.96,69,2950.98,5,382.24,5,617.80,27,157.56,3,8.39,0,0.00,10,8.80,0,0.00,1460,15573.07
Majuli,16,27,168.76,9,31.13,10,41.93,4,10.71,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0.00,50,252.53
Morigaon,67,321,2108.85,145,2344.89,35,779.87,38,2192.12,0,0,5,1195.00,0,0,0,0,1,4.80,5,6.60,0,0.00,550,8632.13
Nagaon,210,1383,9235.32,672,6520.00,131,7507.93,95,6677.72,11,3142.05,5,101.41,16,68.57,6,23.75,1,1.90,0,0.00,0,0.00,2320,33278.65
Nalbari,87,690,4423.07,250,2628.71,59,2636.86,22,2074.45,2,23.6,1,10,11,40.86,5,8.03,0,0.00,8,7.40,0,0.00,1048,11852.98
Sivasagar,105,991,5965.14,494,4832.07,79,5244.10,59,4465.61,6,2004.81,1,90.27,5,27.46,0,0,2,40.02,7,8.60,0,0.00,1644,22678.08
Sonitpur,185,1662,12362.50,520,6872.86,108,8634.44,70,6001.24,24,2909.47,5,364.84,25,106.70,4,6.56,0,0.00,0,0.00,0,0.00,2418,37258.61
South Salmara,12,83,682.40,7,49.57,7,166.97,1,10.14,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0.00,98,909.08
Tinsukia,149,1758,16003.64,817,9479.77,233,15848.88,121,11565.33,15,3375.76,8,1335.38,10,57.03,0,0,1,0.02,5,8.80,0,0.00,2968,57674.61
Udalguri,49,193,1721.00,42,317.06,8,239.36,2,32.00,0,0,0,0,3,4.64,0,0,0,0.00,8,12.60,0,0.00,256,2326.66
West Karbi Anglong,22,31,86.46,23,49.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0.00,54,135.84
