District,Total Branch,KCCs for AH and Allied Activities No.,KCCs for AH and Allied Activities Amt,Farm Production A/C,Farm Production amt,Dairy no,Dairy Amt,Farm Mech No.,Farm Mech Amt,Poultry No.,Poultry Amt,fisheries no,fisheries Amt,Godown No.,Godown Amt,Clinic No.,Clinic Amt,Other No.,Other Amt,Total IC-Agri Disb No.,Total IC-Agri Disb Amt
Baksa,57,74,14.45,0,0.00,6,0.32,279,73.20,10,4.67,2,2.53,0,0.00,0,0.00,168,436.92,539,532.09
Barpeta,124,235,149.17,0,0.00,373,203.62,3025,1093.33,35,10.29,34,27.51,2,52.33,0,0.00,697,1956.93,4401,3493.18
Bongaigaon,61,16,6.64,0,0.00,370,108.71,306,118.41,40,23.14,2,1.56,0,0.00,0,0.00,200,262.19,934,520.65
Cachar,163,258,117.41,14,10.15,154,161.21,698,184.40,97,108.49,72,77.31,0,0.00,0,0.00,742,1031.05,2035,1690.02
Charaideo,36,31,6.52,0,0.00,8,10.64,1,0,30,54.22,1,5.00,0,0.00,0,0.00,15,21.60,86,97.98
Chirang,36,114,64.86,0,0.00,5,7.44,0,0,3,5.01,0,0,0,0.00,0,0.00,195,454.02,317,531.33
Darrang,68,179,88.67,0,0.00,250,241.11,2089,689.81,36,30.10,54,89.08,0,0.00,0,0.00,325,592.81,2933,1731.58
Dhemaji,46,64,15.67,0,0.00,30,56.79,905,319.31,53,24.39,3,2.34,0,0.00,0,0.00,138,305.13,1193,723.63
Dhubri,88,163,8.47,0,0.00,29,11.19,336,82.76,38,29.07,6,0.35,1,39.30,0,0.00,411,583.25,984,754.39
Dibrugarh,183,142,50.88,4,2.45,130,96.56,1487,478.32,46,17.35,18,7.42,0,0.00,0,0.00,646,3076.82,2473,3729.80
Dima Hasao,30,3,3.20,0,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0.00,20,23.08,23,26.28
Goalpara,72,257,44.88,0,0.00,59,18.39,6,0.16,30,20.22,3,0,0,0.00,0,0.00,255,586.77,610,670.42
Golaghat,122,270,158.97,0,0.00,94,58.01,1149,324.29,7,24.28,5,14.00,0,0.00,0,0.00,893,2373.59,2418,2953.14
Hailakandi,45,50,36.43,0,0.00,67,69.56,1,0,33,44.48,7,7.60,0,0.00,0,0.00,259,376.05,417,534.12
Jorhat,134,52,14.24,0,0.00,181,149.09,974,301.78,36,32.63,9,10.17,0,0.00,0,0.00,575,3312.97,1827,3820.88
Kamrup Metro,175,425,229.11,12,5.62,154,121.70,2517,952.58,165,108.67,26,53.01,0,0.00,0,0.00,1536,2371.16,4835,3841.85
Karbi Anglong,65,70,23.87,0,0.00,17,17.98,241,79.65,9,4.84,11,2.09,0,0.00,0,0.00,160,236.29,508,364.72
Karimganj,89,117,78.93,0,0.00,23,29.24,27,9.83,5,14.33,5,12.60,0,0.00,0,0.00,188,330.87,365,475.80
Kokrajhar,53,112,4.91,0,0.00,96,56.68,100,22.40,45,39.67,6,15.88,0,0.00,0,0.00,271,493.62,630,633.16
Lakhimpur,93,97,86.41,7,5.86,48,44.29,1341,419.22,37,51.04,16,5.68,1,3.20,0,0.00,397,533.65,1944,1149.35
Majuli,16,6,0.03,0,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0.00,2,4.00,8,4.03
Morigaon,67,202,48.00,0,0.00,229,123.18,674,186.20,25,17.20,35,155.79,0,0.00,0,0.00,262,357.13,1427,887.50
Nagaon,210,169,107.05,0,0.00,397,271.28,3415,990.98,43,27.24,76,116.01,0,0.00,0,0.00,900,916.06,5000,2428.62
Nalbari,87,351,61.59,0,0.00,141,80.09,2193,806.95,121,54.80,13,22.30,0,0.00,0,0.00,623,1401.80,3442,2427.53
Sivasagar,105,88,20.48,0,0.00,1265,569.15,805,259.97,265,232.59,0,0,0,0.00,1,5.98,569,500.07,2993,1588.24
Sonitpur,185,491,205.16,21,17.24,79,66.03,1804,550.82,128,54.51,10,1.02,0,0.00,1,0.00,712,1592.57,3246,2487.35
South Salmara,12,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tinsukia,149,308,255.26,1,0.75,270,415.86,1447,450.11,83,85.90,5,4.98,0,0.00,1,0.93,620,3903.01,2735,5116.80
Udalguri,49,293,75.94,0,0.00,2,0.61,4,0,31,16.62,6,1.38,0,0.00,0,0.00,120,236.64,456,331.19
West Karbi Anglong,22,0,0,0,0.00,3,6.09,0,0,0,0,0,0,0,0.00,0,0.00,10,17.56,13,23.65
