District,Total Branch,Micro No.,Micro Amt,Small No.,Small Amt,Medium No.,Medium Amt,Other Msme No.,Other Msme Amt,Msme Total O/S No.,Msme Total O/S Amt
Baksa,57,14799,14066.28,140,2859.22,1,600.00,1665,1334.86,16605,18860.36
Barpeta,124,28056,59483.89,714,16964.94,44,1869.51,1630,991.74,30444,79310.08
Bongaigaon,61,12219,30767.47,731,17229.85,42,2159.53,1268,597.69,14260,50754.54
Cachar,163,30530,81088.27,1342,31648.81,101,9682.86,1459,1458.20,33432,123878.14
Charaideo,36,5458,11468.18,171,1136.35,5,151.04,55,48.02,5689,12803.59
Chirang,36,8358,11580.35,131,2576.01,3,674.69,748,445.85,9240,15276.90
Darrang,68,15282,31181.65,375,8609.13,15,956.61,936,611.20,16608,41358.59
Dhemaji,46,16893,20279.62,446,6304.85,7,94.76,1536,1353.96,18882,28033.19
Dhubri,88,17269,30769.64,670,8735.21,8,1122.46,245,231.50,18192,40858.81
Dibrugarh,183,35900,112190.14,1901,67704.85,212,9777.81,1452,805.20,39465,190478.00
Dima Hasao,30,2860,5031.59,89,542.19,0,0,4,2.31,2953,5576.09
Goalpara,72,17265,22284.67,286,9922.01,4,1024.4,454,371.75,18009,33602.83
Golaghat,122,19383,37557.62,987,19195.20,23,1026.33,2494,1703.87,22887,59483.02
Hailakandi,45,8283,16212.42,233,6597.00,3,3.05,363,308.52,8882,23120.99
Jorhat,134,25633,77627.43,1253,41769.38,142,19925.88,2366,1866.27,29394,141188.96
Kamrup Metro,175,35867,81422.44,1475,27478.42,98,3375.39,3447,2443.20,40887,114719.45
Karbi Anglong,65,11193,14885.41,214,1623.86,0,0,194,166.17,11601,16675.44
Karimganj,89,11905,26246.88,492,7694.65,25,1241.03,1597,1419.46,14019,36602.02
Kokrajhar,53,8403,15159.88,222,5995.43,0,0,38,11.05,8663,21166.36
Lakhimpur,93,28190,41530.16,966,19529.94,53,2634.15,6925,4732.92,36134,68427.17
Majuli,16,2625,5297.22,59,743.56,1,2.47,589,462.55,3274,6505.80
Morigaon,67,12842,23553.02,252,3189.48,17,1322.30,1778,1218.88,14889,29283.68
Nagaon,210,38026,78947.66,1223,34270.55,90,6017.37,1125,955.01,40464,120190.59
Nalbari,87,16303,29587.04,339,8110.53,12,81.81,1283,1162.10,17937,38941.48
Sivasagar,105,20593,48929.77,753,24561.54,25,4283.49,1270,784.42,22641,78559.22
Sonitpur,185,36582,83911.06,1163,30639.47,137,5118.17,2375,1661.83,40257,121330.53
South Salmara,12,1754,4098.14,34,436.77,1,17.78,0,0,1789,4552.69
Tinsukia,149,26170,88954.33,1289,40386.40,55,7054.63,1040,889.76,28554,137285.12
Udalguri,49,11833,15723.45,188,1030.71,0,0,1753,1520.58,13774,18274.74
West Karbi Anglong,22,1678,1059.25,2,6.26,0,0,0,0,1680,1065.51
