District,Total No. of Operative Sb Accounts,Digital Coverage SB A/C,% of such Accounts out of total Operative Savings Accounts,Total No. of Operative Current Accounts,Digital Coverage Current A/C,% of such Accounts out of total Operative Current Accounts
Gyalshing,79424,76099,95.81%,1555,1450,93.25%
Mangan,50712,47157,92.99%,1057,980,92.72%
Soreng,103704,92453,89.15%,772,660,85.49%
Namchi,157909,146936,93.05%,9349,8835,94.50%
Pakyong,129415,115817,89.49%,2296,1890,82.32%
Gangtok,347466,336809,96.93%,12073,10937,90.59%
