district,Total No. of Operative SB Accounts,Total No. of Operative SB Accounts covered with at least one of the facilities - Debit/ RuPay cards/ Net Banking/ Mobile Banking/ UPI/ USSD,% of such Accounts out of total Operative Savings Accounts,Total No. of Operative Current Accounts,Total No. of Operative Current Accounts covered with at least one of facilities - Net Banking/ POS/ QR etc.,% of such Accounts out of total Operative Current Accounts
Gangtok,347466,336809,96.93%,12073,10937,90.59%
Gyalshing,79424,76099,95.81%,1555,1450,93.25%
Mangan,50712,47157,92.99%,1057,980,92.72%
Namchi,157909,146936,93.05%,9349,8835,94.50%
Pakyong,129415,115817,89.49%,2296,1890,82.32%
Soreng,103704,92453,89.15%,772,660,85.49%
