District,claims_paid_no,claims_rejected_no,claims_under_process_no,claims_pending_no,claims_total_no
Amethi,62703.0,52481.0,41.0,115225.0,
Ayodhya,110024.0,97967.0,86.0,208077.0,
Bahraich,116226.0,145370.0,29.0,,
Ballia,72550.0,94445.0,214.0,,
Balrampur,46953.0,31171.0,75.0,,
Banda,88227.0,74029.0,20.0,,
Barabanki,174443.0,163335.0,54.0,,
Bareilly,147613.0,113169.0,143.0,,
Basti,46013.0,60885.0,116.0,,
Bhadohi,33156.0,34054.0,52.0,,
Bijnor,86684.0,81095.0,,,
Budaun,77172.0,73344.0,114.0,,
Bulandshahr,69225.0,59440.0,,,
Chandauli,40283.0,42851.0,32.0,,
Chitrakoot,44486.0,40474.0,5.0,,
Deoria,54861.0,66439.0,79.0,,
Etah,86000.0,79713.0,32.0,,
Etawah,37914.0,40314.0,,,
Farrukhabad,95573.0,94980.0,,,
Fatehpur,97340.0,92380.0,51.0,189771.0,
Firozabad,80932.0,94737.0,,,
Gautam Buddha Nagar,145693.0,76033.0,,,
Ghaziabad,138403.0,108992.0,,,
Ghazipur,63633.0,57770.0,,,
Gonda,84212.0,62934.0,,,
Hapur,32218.0,28278.0,,,
Jalaun,71844.0,61731.0,,,
Jaunpur,77805.0,80964.0,,,
Jhansi,60433.0,50265.0,,,
Kannauj,78460.0,81373.0,,,
Kanpur Dehat,54988.0,43398.0,,,
Kanpur Nagar,167490.0,132282.0,,,
Kasganj,54028.0,52686.0,,,
Kaushambi,41486.0,43290.0,,,
Kheri,141167.0,100314.0,,,
Kushi Nagar,53157.0,55395.0,,,
Lalitpur,32926.0,26804.0,,,
Mahoba,44184.0,35389.0,,,
Mainpuri,91151.0,104517.0,,,
Mathura,83672.0,72172.0,,,
Mau,40394.0,36434.0,,,
Meerut,222.0,12.0,,,
Mirzapur,84264.0,85761.0,,,
Moradabad,109277.0,77391.0,126.0,,
Muzaffarnagar,166.0,5.0,41.0,1.0,213.0
Pilibhit,62915.0,39970.0,,,
Pratapgarh,91703.0,98551.0,95.0,,
Prayagraj,164209.0,152293.0,,,
Rae Bareli,107730.0,85189.0,56.0,,
Rampur,87515.0,57894.0,,,
Sambhal,52014.0,38408.0,,,
Sant Kabeer Nagar,27697.0,35461.0,,,
Shamli,27390.0,22566.0,,,
Shravasti,42139.0,39115.0,,,
Siddharth Nagar,48934.0,66284.0,,,
Sitapur,177401.0,141386.0,,,
Sonbhadra,62842.0,60880.0,,,
Unnao,135165.0,125999.0,,,
