District,rural_no,urban_no,male_no,female_no,total_pmjdy_no
Ambedkar Nagar,1144345.0,663206.0,772212.0,99.37,85.34
Auraiya,53995.0,961927.0,1065165.0,94.05,84.94
Azamgarh,1477569.0,276264.0,228789.0,87.11,71.14
Bahraich,171536.0,990290.0,1189372.0,83.72,69.71
Ballia,1012315.0,358632.0,562483.0,95.6,60.95
Basti,99269.0,543467.0,921580.0,97.14,57.28
Bulandshahr,964273.0,689133.0,94.26,68.0,
Chandauli,690358.0,145943.0,374093.0,95.92,53.84
Deoria,869984.0,598291.0,81.75,79.38,
Etah,367955.0,406136.0,367179.0,84.88,73.74
Farrukhabad,39540.0,930939.0,1021022.0,93.86,85.58
Fatehpur,955188.0,951959.0,87.96,84.51,
Gonda,960353.0,1152278.0,1401952.0,79.19,65.09
Jaunpur,47532.0,457855.0,531646.0,86.5,74.5
Kannauj,666176.0,59726.0,709749.0,90.72,82.01
Kanpur Nagar,45623.0,428612.0,461741.0,85.23,79.11
Kasganj,251740.0,592072.0,640780.0,98.46,90.98
Kushi Nagar,1281009.0,380402.0,457666.0,87.15,72.43
Lalitpur,400427.0,156371.0,84.16,75.44,
Lucknow,13551.0,161652.0,253707.0,94.42,60.16
Mahoba,241845.0,781008.0,92.97,70.51,
Mathura,502681.0,318085.0,399870.0,82.85,48.15
Mau,111860.0,826142.0,911743.0,88.82,80.48
Rae Bareli,59773.0,651465.0,731361.0,98.92,88.11
Sambhal,530386.0,433963.0,513958.0,81.28,68.63
Shamli,195936.0,56351.0,266058.0,91.3,40.56
Sitapur,1355334.0,376043.0,519630.0,92.33,66.81
Sonbhadra,587318.0,39307.0,1274025.0,92.41,79.52
Unnao,129423.0,1050507.0,1339653.0,83.31,65.33
Varanasi,1027993.0,618690.0,89.16,71.76,
