District,target_no,target_amt,achievement_no,achievement_amt,achievement_pct_no,achievement_pct_amt
Agra,5.0,7.0,4.0,4.0,3.0,0.0
Aligarh,3.0,3.0,3.0,3.0,0.0,0.0
Ambedkar Nagar,2.0,5.0,1.0,0.0,4.0,1.0
Amethi,1.0,1.0,1.0,1.0,0.0,0.0
Amroha,3.0,3.0,3.0,3.0,0.0,0.0
Auraiya,1.0,2.0,1.0,1.0,1.0,0.0
Ayodhya,2.0,2.0,2.0,2.0,0.0,0.0
Azamgarh,2.0,2.0,2.0,2.0,0.0,0.0
Baghpat,2.0,2.0,2.0,2.0,0.0,0.0
Bahraich,2.0,1.0,1.0,1.0,0.0,0.0
Ballia,1.0,0.0,0.0,0.0,0.0,0.0
Balrampur,1.0,1.0,1.0,1.0,0.0,0.0
Banda,2.0,1.0,1.0,1.0,0.0,0.0
Barabanki,1.0,0.0,0.0,0.0,0.0,0.0
Bareilly,6.0,6.0,6.0,6.0,0.0,0.0
Basti,1.0,1.0,1.0,1.0,0.0,0.0
Bhadohi,1.0,1.0,1.0,1.0,0.0,0.0
Bijnor,5.0,3.0,3.0,3.0,0.0,0.0
Budaun,2.0,1.0,1.0,1.0,0.0,0.0
Bulandshahr,4.0,4.0,4.0,4.0,0.0,0.0
Chandauli,1.0,2.0,2.0,2.0,0.0,0.0
Chitrakoot,14.0,8.0,7.0,7.0,1.0,0.0
Deoria,1.0,2.0,2.0,1.0,0.0,1.0
Etah,1.0,1.0,0.0,0.0,1.0,0.0
Etawah,2.0,1.0,1.0,1.0,0.0,0.0
Farrukhabad,2.0,3.0,3.0,3.0,0.0,0.0
Fatehpur,1.0,1.0,1.0,1.0,0.0,0.0
Firozabad,3.0,3.0,3.0,3.0,0.0,0.0
Gautam Buddha Nagar,0.0,1.0,1.0,1.0,0.0,0.0
Ghaziabad,7.0,8.0,8.0,8.0,0.0,0.0
Ghazipur,21.0,11.0,11.0,11.0,0.0,0.0
Gonda,0.0,1.0,1.0,1.0,0.0,0.0
Gorakhpur,3.0,4.0,3.0,3.0,1.0,0.0
Hamirpur,2.0,1.0,1.0,1.0,0.0,0.0
Hapur,2.0,1.0,1.0,1.0,0.0,0.0
Hardoi,2.0,2.0,2.0,2.0,0.0,0.0
Hathras,1.0,1.0,1.0,1.0,0.0,0.0
Jalaun,2.0,2.0,2.0,2.0,0.0,0.0
Jaunpur,1.0,1.0,1.0,1.0,0.0,0.0
Jhansi,3.0,4.0,2.0,2.0,2.0,0.0
Kannauj,2.0,1.0,1.0,1.0,0.0,0.0
Kanpur Dehat,1.0,0.0,0.0,0.0,0.0,0.0
Kanpur Nagar,315.0,159.0,159.0,155.0,0.0,4.0
Kasganj,0.0,0.0,0.0,0.0,0.0,0.0
Kaushambi,0.0,1.0,0.0,0.0,1.0,0.0
Kheri,2.0,3.0,2.0,1.0,1.0,1.0
Kushi Nagar,0.0,0.0,0.0,0.0,0.0,0.0
Lalitpur,2.0,3.0,2.0,2.0,1.0,0.0
Lucknow,5.0,10.0,5.0,5.0,5.0,0.0
Maharajganj,1.0,1.0,1.0,1.0,0.0,0.0
Mahoba,1.0,1.0,1.0,1.0,0.0,0.0
Mainpuri,1.0,1.0,1.0,1.0,0.0,0.0
Mathura,3.0,4.0,3.0,3.0,1.0,0.0
Meerut,4.0,4.0,4.0,4.0,0.0,0.0
Mirzapur,2.0,1.0,1.0,1.0,0.0,0.0
Moradabad,3.0,6.0,3.0,3.0,3.0,0.0
Muzaffarnagar,3.0,3.0,3.0,3.0,,
Pilibhit,2.0,2.0,2.0,2.0,0.0,0.0
Pratapgarh,1.0,1.0,1.0,1.0,0.0,0.0
Prayagraj,3.0,4.0,4.0,4.0,0.0,0.0
Rae Bareli,1.0,1.0,1.0,1.0,0.0,0.0
Saharanpur,3.0,3.0,3.0,3.0,0.0,0.0
Sambhal,2.0,4.0,4.0,4.0,0.0,0.0
Shahjahanpur,2.0,2.0,2.0,2.0,0.0,0.0
Shamli,2.0,1.0,1.0,1.0,0.0,0.0
Shravasti,0.0,2.0,1.0,1.0,1.0,0.0
Siddharth Nagar,0.0,1.0,1.0,1.0,0.0,0.0
Sitapur,3.0,4.0,4.0,4.0,0.0,0.0
Sonbhadra,0.0,0.0,0.0,0.0,0.0,0.0
Sultanpur,0.0,0.0,0.0,0.0,0.0,0.0
