District,sc_st_loans,sc_st_amount,women_loans,women_amount,total_loans,total_amount
Agra,293.0,293.0,29.0,264.0,0.0,0.0
Aligarh,943.0,943.0,341.0,602.0,0.0,0.0
Ambedkar Nagar,393.0,393.0,280.0,113.0,0.0,0.0
Amethi,189.0,189.0,91.0,98.0,0.0,0.0
Auraiya,179.0,179.0,48.0,131.0,0.0,0.0
Azamgarh,69.0,69.0,69.0,0.0,0.0,0.0
Baghpat,326.0,326.0,32.0,249.0,45.0,17.0
Bahraich,2335.0,2309.0,606.0,1703.0,0.0,0.0
Ballia,25.0,15.0,7.0,8.0,0.0,0.0
Balrampur,76.0,76.0,34.0,42.0,0.0,0.0
Bareilly,1134.0,1128.0,688.0,440.0,0.0,0.0
Basti,36.0,36.0,26.0,10.0,0.0,0.0
Budaun,1691.0,1691.0,1216.0,475.0,0.0,0.0
Chandauli,116.0,116.0,14.0,102.0,0.0,0.0
Etawah,358.0,358.0,206.0,152.0,0.0,0.0
Ghazipur,188.0,188.0,56.0,132.0,0.0,6.0
Gonda,336.0,55.05,,,,
Hardoi,89.0,12.99,,,,
Hathras,55.0,8.32,,,,
Jalaun,65.0,7.95,,,,
Jaunpur,222.0,27.9,,,,
Jhansi,31.0,5.28,,,,
Kannauj,43.0,5.51,,,,
Kanpur Dehat,1922.0,1803.0,1499.0,304.0,0.0,0.0
Mathura,527.0,477.0,,,,
Mau,474.0,89.26,,,,
Mirzapur,248.0,39.83,,,,
Moradabad,194.0,29.54,,,,
Pilibhit,103.0,12.35,,,,
Pratapgarh,373.0,61.6,,,,
Prayagraj,208.0,192.0,143.0,49.0,0.0,0.0
Rampur,232.0,30.18,,,,
Unnao,549.0,91.7,,,,
