District,subscribers_fy15,subscribers_fy16,subscribers_fy17,subscribers_fy18
Agra,36350.0,10802.0,29.72,141221.0
Aligarh,22260.0,12641.0,56.79,142089.0
Ambedkar Nagar,13150.0,15424.0,117.29,116504.0
Amethi,11660.0,9627.0,82.56,84342.0
Auraiya,7520.0,2413.0,32.09,27947.0
Azamgarh,23900.0,12909.0,54.01,144784.0
Baghpat,9720.0,3294.0,33.89,32988.0
Bahraich,15310.0,8544.0,55.81,81979.0
Ballia,17100.0,6868.0,40.16,81838.0
Balrampur,11040.0,4381.0,39.68,57205.0
Banda,10960.0,10284.0,93.83,78229.0
Barabanki,19030.0,10036.0,52.74,122257.0
Bareilly,28780.0,13937.0,48.43,147968.0
Basti,13150.0,8092.0,61.54,70823.0
Bhadohi,8290.0,5196.0,62.68,42231.0
Chitrakoot,5680.0,2730.0,48.06,41947.0
Deoria,16840.0,6413.0,38.08,78287.0
Etawah,9480.0,4259.0,44.93,38126.0
Farrukhabad,10270.0,6432.0,62.63,70471.0
Fatehpur,14720.0,13734.0,93.3,168818.0
Firozabad,11740.0,9385.0,79.94,62754.0
Gautam Buddha Nagar,35240.0,8404.0,23.85,124469.0
Ghaziabad,34850.0,10889.0,31.25,113311.0
Ghazipur,21070.0,13918.0,66.06,106595.0
Gonda,17710.0,7270.0,41.05,92958.0
Hamirpur,8160.0,2500.0,30.64,51162.0
Hathras,10110.0,4230.0,41.84,45184.0
Jalaun,10320.0,4119.0,39.91,60179.0
Jaunpur,25710.0,19791.0,76.98,149717.0
Jhansi,16010.0,4233.0,26.44,56632.0
Kanpur Dehat,11920.0,6463.0,54.22,79645.0
Kanpur Nagar,46500.0,13772.0,29.62,185707.0
Kasganj,6480.0,4791.0,73.94,40100.0
Kaushambi,9440.0,6024.0,63.81,67747.0
Lalitpur,7040.0,2965.0,42.12,40972.0
Lucknow,69040.0,15448.0,22.38,216568.0
Maharajganj,11760.0,7673.0,65.25,76148.0
Mahoba,4160.0,1756.0,42.21,34722.0
Mathura,20720.0,5197.0,25.08,60131.0
Mau,12190.0,4811.0,39.47,51860.0
Mirzapur,14350.0,8875.0,61.85,74091.0
Moradabad,25700.0,6167.0,24.0,109363.0
Muzaffarnagar,21240.0,9541.0,44.92,84544.0
Pratapgarh,18410.0,14861.0,80.72,132380.0
Prayagraj,38640.0,19001.0,49.17,207799.0
Saharanpur,21550.0,10975.0,50.93,104410.0
Sambhal,10000.0,3296.0,32.96,51593.0
Sant Kabeer Nagar,9680.0,6245.0,64.51,54412.0
Shahjahanpur,17320.0,9307.0,53.74,107541.0
Shravasti,5440.0,1246.0,22.9,20252.0
