district,no_of_program_me,no_of_participants_male,no_of_participants_female,no_of_participants_total,out_of_total_participants_sc,out_of_total_participants_st,out_of_total_participants_obc,out_of_total_participants_mc,no_of_trainees_employed_with_owned_fund,no_of_trainees_employed_with_bank_loan,no_of_trainees_employed_wage_employed,no_of_trainees_employed_total,financial_status_of_trainees_apl,financial_status_of_trainees_bpl,financial_status_of_trainees_total
Dhalai,2,4,60,64,13,30,12,0,4,1,0,5,0,64,64
Gomati,4,0,122,122,38,20,30,4,84,0,0,84,0,122,122
Sepahijala,2,0,40,40,17,1,7,5,147,0,0,147,0,40,40
Unakoti,4,1,110,111,30,21,29,0,35,16,0,51,0,111,111
West Tripura,2,14,47,61,12,29,16,1,29,9,0,38,3,58,61
