District,Total No. of Eligible Operative Current/Business Accounts,Eligible Operative Current/Business Accounts covered through Net Banking No. of accounts covered,% coverage,Eligible Operative Current/Business Accounts covered with Pos/QR No. of accounts covered,Eligible Operative Current/Business Accounts covered with Mobile Banking etc. No. of accounts covered,Eligible Operative Current/Business Accounts covered with at least one of facilities - Net Banking/Pos/QR/Mobile Banking No. of accounts covered,No. of Operative Current/Business Accounts ineligible for digital coverage as per bank's Board approved policies
Dhalai,5498,1769,100.00,2814,2690,5498,356
Gomati,11453,3797,100.00,4226,3655,11453,561
Khowai,5925,2113,100.00,2802,3240,5925,407
Sepahijala,8831,2588,100.00,3987,4486,8831,511
