District,Eligible Operative Savings Accounts No. of Accounts,"Of which, no. of women accounts",Debit/RuPay cards coveragee Total No. of Accounts covered,% coveragee,"Out of total no. of women accounts (G6), no of women accounts covered",% coveragee for women accounts,Internet Banking coveragee Total No. of Accounts covered
Dhalai,562288,279351,173231,6.91,14002,5.01,38872
Gomati,750078,380306,275200,11.61,34060,8.96,87070
Khowai,505843,254743,185724,10.43,24597,9.66,52782
Sepahijala,703983,355954,254038,9.24,26644,7.49,65082
