district,c_d_ratio,no_of_brs,total_deposit,total_advance,cd_ratio
Dhalai,99,53,162690.4,160485.87,99
Gomati,66,68,295936.56,196112.88,66
Khowai,62,45,206907.32,129163.22,62
North Tripura,63,56,243793.61,152615.12,63
Sepahijala,58,62,315747.05,183611.92,58
South Tripura,66,68,289095.9,189618.06,66
Unakoti,71,37,157647.4,112351.98,71
West Tripura,40,220,2842092.44,1142659.83,40
