District,State,Address,Name of Sponsoring Bank,FLC Code,Special Camp No. of Literacy Camps undertaken,No. of Persons participated,Target Group Specific camp No. of Literacy Camps undertaken
Gomati,Tripura,TGB Udaipur Branch,TGB,33903,7,631,7
Dhalai,Tripura,LDM(Dhalai),PNB,19302,0,0,0
Sepahijala,Tripura,TGB Bishramganj Branch,TGB,33802,3,60,3
West Tripura,Tripura,LDM(West),PNB,19102,6,266,6
Unakoti,Tripura,LDM(Unakoti ),PNB,35602,7,770,16
Khowai,Tripura,TGB Khowai Branch,TGB,33701,1,15,1
South Tripura,Tripura,TGB Santirbazar Branch,TGB,19201,1,0,0
North Tripura,Tripura,TGB Dharmanagar Branch,TGB,19001,3,0,0
