District,Male,Female,Total,SC,ST,Obc,Mc,With owned fund,With bank Loan,Wage Employed,Apl,Bpl
Gomati,0,122,84,38,20,30,4,84,0,0,0,122
Dhalai,4,60,5,13,30,12,0,4,1,0,0,64
Sepahijala,0,40,147,17,1,7,5,147,0,0,0,40
West Tripura,14,47,38,12,29,16,1,29,9,0,3,58
Unakoti,1,110,51,30,21,29,0,35,16,0,0,111
