district,Coverage percentage (%) of eligible savings accounts,Coverage percentage (%) of eligible current accounts
Dhalai,100.00,100.00
Gomati,100.00,100.00
Khowai,100.00,100.00
North Tripura,100.00,100.00
Sepahijala,100.00,100.00
South Tripura,100.00,100.00
West Tripura,100.00,100.00
