district,total_no_of_kcc_issued,total_no_of_kcc_issued_amt_o_s,total_no_of_kcc_issued_to_sf_mf,total_no_of_kcc_issued_to_sf_mf_amt_o_s
Almora,15391,27000,15391,27000
Bageshwar,4946,7400,4946,7400
Chamoli,5435,10500,5435,10500
Champawat,21480,21000,21480,21000
Dehradun,26746,34800,24065,31400
Haridwar,135356,198300,116046,170500
Nainital,47617,49900,42425,44100
Pauri Garhwal,12790,10900,12790,10900
Pithoragarh,35906,17100,35906,17100
Rudraprayag,10815,21000,10815,21000
Tehri Garhwal,30520,15500,30520,15500
Udham Singh Nagar,161454,381000,139272,331200
Uttarkashi,16143,18400,16143,18400
